onset	duration	trial_type	value	channels
0.52	2.3	New Segment	n/a	['EEG_Cz']
2.92	0.0	IMPEDANCE-START	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
62.946	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
62.946	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E2']
62.98	32.6	New Segment	n/a	['EEG_Cz']
95.701	0.0	IMPEDANCE-START	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
125.734	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
125.734	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E1']
125.78	279.0	New Segment	n/a	['EEG_Cz']
404.875296	0.0	IMPEDANCE-START	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
464.893692	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
464.893692	0.0	IMPEDANCE-REFERENCE	n/a	['EOG_E2']
464.94	361.3	New Segment	n/a	['EEG_Cz']
826.391334	0.0	IMPEDANCE-START	n/a	['EMG.Submental_Chin', 'EEG_REF', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
856.444255	0.0	IMPEDANCE-PASSED	n/a	['EMG.Submental_Chin', 'EOG_E1', 'EOG_E2', 'EEG_M1', 'EEG_C3', 'EEG_C4', 'EEG_M2', 'EEG_O1', 'EEG_O2', 'EEG_F3', 'EEG_Fz', 'EEG_F4', 'EEG_Cz', 'EEG_P3', 'EEG_Pz', 'EEG_P4']
856.444255	0.0	IMPEDANCE-REFERENCE	n/a	['EEG_REF']
856.49	22861.3	New Segment	n/a	['EEG_Cz']
955.252567	0.0	LIGHTS-OFF	n/a	['EEG_C3']
23636.609684	0.0	LIGHTS-ON	n/a	['EEG_C3']
