onset	duration	trial_type	Response	Stimulus	response_time
4.897	0.200	visual standard stimulus presentation	n/a	n/a	n/a
10.523	0.200	visual standard stimulus presentation	0.000	standard	n/a
12.722	0.200	visual standard stimulus presentation	0.000	standard	n/a
14.923	0.200	visual standard stimulus presentation	0.000	standard	n/a
17.124	0.200	visual standard stimulus presentation	0.000	standard	n/a
19.325	0.200	visual standard stimulus presentation	0.000	standard	n/a
21.922	n/a	n/a	1.000	target	n/a
24.321	0.200	visual standard stimulus presentation	0.000	standard	n/a
26.523	0.462	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
26.523	0.200	visual oddball stimulus presentation	1.000	target	n/a
28.524	0.200	visual standard stimulus presentation	0.000	standard	n/a
30.526	0.278	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
30.526	0.200	visual oddball stimulus presentation	1.000	target	n/a
32.529	0.200	visual standard stimulus presentation	0.000	standard	n/a
34.729	0.200	visual standard stimulus presentation	0.000	standard	n/a
37.327	0.200	visual standard stimulus presentation	0.000	standard	n/a
39.329	0.200	visual standard stimulus presentation	0.000	standard	n/a
41.531	0.200	visual standard stimulus presentation	0.000	standard	n/a
44.326	0.200	visual standard stimulus presentation	0.000	standard	n/a
46.528	0.200	visual standard stimulus presentation	0.000	standard	n/a
48.530	0.200	visual standard stimulus presentation	0.000	standard	n/a
50.532	0.200	visual standard stimulus presentation	0.000	standard	n/a
52.930	0.200	visual standard stimulus presentation	0.000	standard	n/a
55.529	0.200	visual standard stimulus presentation	0.000	standard	n/a
57.730	0.200	visual standard stimulus presentation	0.000	standard	n/a
60.724	0.429	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
60.724	0.200	visual oddball stimulus presentation	1.000	target	n/a
62.924	n/a	n/a	0.000	standard	n/a
65.323	0.200	visual standard stimulus presentation	0.000	standard	n/a
67.922	0.200	visual standard stimulus presentation	0.000	standard	n/a
70.917	0.200	visual standard stimulus presentation	0.000	standard	n/a
73.316	0.200	visual standard stimulus presentation	0.000	standard	n/a
75.517	0.200	visual oddball stimulus presentation	1.000	target	n/a
75.517	0.374	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
78.511	0.200	visual standard stimulus presentation	0.000	standard	n/a
81.109	0.200	visual standard stimulus presentation	0.000	standard	n/a
84.105	0.200	visual standard stimulus presentation	0.000	standard	n/a
86.702	0.558	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
86.702	0.200	visual oddball stimulus presentation	1.000	target	n/a
89.697	0.200	visual standard stimulus presentation	0.000	standard	n/a
91.699	0.200	visual standard stimulus presentation	0.000	standard	n/a
94.297	0.200	visual standard stimulus presentation	0.000	standard	n/a
96.298	0.200	visual standard stimulus presentation	0.000	standard	n/a
99.294	0.381	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
99.294	0.200	visual oddball stimulus presentation	1.000	target	n/a
101.494	0.200	visual standard stimulus presentation	0.000	standard	n/a
104.290	0.200	visual standard stimulus presentation	0.000	standard	n/a
106.889	0.570	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
106.889	0.200	visual oddball stimulus presentation	1.000	target	n/a
108.890	0.200	visual standard stimulus presentation	0.000	standard	n/a
111.092	0.200	visual standard stimulus presentation	0.000	standard	n/a
113.887	0.200	visual standard stimulus presentation	0.000	standard	n/a
116.486	0.200	visual standard stimulus presentation	0.000	standard	n/a
118.487	0.286	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
118.487	0.200	visual oddball stimulus presentation	1.000	target	n/a
121.482	0.200	visual standard stimulus presentation	0.000	standard	n/a
124.478	0.200	visual standard stimulus presentation	0.000	standard	n/a
127.473	n/a	n/a	1.000	target	n/a
129.474	0.200	visual standard stimulus presentation	0.000	standard	n/a
132.470	0.200	visual standard stimulus presentation	0.000	standard	n/a
134.868	0.200	visual standard stimulus presentation	0.000	standard	n/a
