onset	duration	trial_type	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT
4.001	1.000	Valid Other Obj Cue: valid cue where following stimulus was an untested or no response object	OBJ	V	1	0.58712	UT	UT	UT	UT
10.001	0.500	Valid Other Obj: stimulus that was an untested or no response object and that followed a valid cue	OBJ	V	1	0.58712	UT	UT	UT	UT
12.001	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.46552	LC-MISS	0.88904	UT	UT
16.001	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.46552	LC-MISS	0.88904	UT	UT
18.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.41678	UT	UT	UT	UT
24.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.41678	UT	UT	UT	UT
28.002	1.000	Invalid HC-Hit Cue: invalid cue where following object was a subsequent high confidence hit	OBJ	NV	1	 0.8197	HC-HIT	 1.2824	1	0.32153
32.002	0.500	Invalid HC-Hit Obj: object that was a subsequent high confidence hit and that followed an invalid cue	OBJ	NV	1	 0.8197	HC-HIT	 1.2824	1	0.32153
34.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.55227	UT	UT	UT	UT
36.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.55227	UT	UT	UT	UT
38.001	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.61235	LC-MISS	 1.6485	UT	UT
40.001	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.61235	LC-MISS	 1.6485	UT	UT
42.002	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.45218	HC-HIT	 1.6116	1	0.24485
44.002	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.45218	HC-HIT	 1.6116	1	0.24485
46.001	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	NR	NR	LC-HIT	 1.7038	0	0.19838
48.001	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	NR	NR	LC-HIT	 1.7038	0	0.19838
50.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.53049	UT	UT	UT	UT
56.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.53049	UT	UT	UT	UT
58.001	1.000	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	 0.5661	UT	UT	UT	UT
60.001	0.500	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	 0.5661	UT	UT	UT	UT
62.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.50779	HC-HIT	 1.0128	1	0.15327
64.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.50779	HC-HIT	 1.0128	1	0.15327
66.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.66702	UT	UT	UT	UT
72.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.66702	UT	UT	UT	UT
76.002	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.53685	LC-MISS	 1.9868	UT	UT
80.002	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.53685	LC-MISS	 1.9868	UT	UT
86.001	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.42918	LC-HIT	  2.444	1	1.0291
88.001	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.42918	LC-HIT	  2.444	1	1.0291
90.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.50888	HC-HIT	 2.8332	NR	NR
94.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.50888	HC-HIT	 2.8332	NR	NR
96.001	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.46565	LC-MISS	 3.0906	UT	UT
100.001	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.46565	LC-MISS	 3.0906	UT	UT
102.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.52516	UT	UT	UT	UT
108.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.52516	UT	UT	UT	UT
110.002	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.50966	HC-HIT	 1.6977	1	0.27512
114.002	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.50966	HC-HIT	 1.6977	1	0.27512
118.002	1.000	Invalid Other Greeble Cue: invalid cue where following stimulus was an untested or no response greeble	GRE	NV	1	0.88784	UT	UT	UT	UT
120.002	0.500	Invalid Other Greeble: stimulus that was an untested or no response greeble and that followed a invalid cue	GRE	NV	1	0.88784	UT	UT	UT	UT
122.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.44488	HC-HIT	 1.0639	1	0.62425
126.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.44488	HC-HIT	 1.0639	1	0.62425
130.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.47109	HC-HIT	 2.4429	1	0.26476
132.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.47109	HC-HIT	 2.4429	1	0.26476
136.001	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.56759	LC-HIT	 1.6525	1	1.5138
142.001	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.56759	LC-HIT	 1.6525	1	1.5138
144.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	  0.587	UT	UT	UT	UT
148.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	  0.587	UT	UT	UT	UT
150.001	1.000	Valid Miss Cue: valid cue where following object was a subsequent miss	OBJ	V	1	0.52308	LC-MISS	 1.9771	UT	UT
154.001	0.500	Valid Miss Obj: object that was a subsequent miss and that followed a valid cue	OBJ	V	1	0.52308	LC-MISS	 1.9771	UT	UT
156.001	1.000	Invalid Miss Cue: invalid cue where following object was a subsequent miss	OBJ	NV	1	 1.0133	LC-MISS	 2.0264	UT	UT
160.001	0.500	Invalid Miss Obj: object that was a subsequent miss and that followed an invalid cue	OBJ	NV	1	 1.0133	LC-MISS	 2.0264	UT	UT
162.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.51752	HC-HIT	 1.2135	1	0.28469
168.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.51752	HC-HIT	 1.2135	1	0.28469
172.002	1.000	Valid LC-Hit Cue: valid cue where following object was a subsequent low confidence hit	OBJ	V	1	0.48774	LC-HIT	 1.8907	1	2.1768
178.002	0.500	Valid LC-Hit Obj: object that was a subsequent low confidence hit and that followed a valid cue	OBJ	V	1	0.48774	LC-HIT	 1.8907	1	2.1768
180.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.56641	UT	UT	UT	UT
182.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.56641	UT	UT	UT	UT
184.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.68182	UT	UT	UT	UT
186.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.68182	UT	UT	UT	UT
188.002	1.000	Invalid HC-Hit Cue: invalid cue where following object was a subsequent high confidence hit	OBJ	NV	1	0.92466	HC-HIT	 1.1168	1	0.088721
192.002	0.500	Invalid HC-Hit Obj: object that was a subsequent high confidence hit and that followed an invalid cue	OBJ	NV	1	0.92466	HC-HIT	 1.1168	1	0.088721
196.001	1.000	Valid Other Greeble Cue: valid cue where following stimulus was an untested or no response greeble	GRE	V	1	0.56885	UT	UT	UT	UT
202.001	0.500	Valid Other Greeble: stimulus that was an untested or no response greeble and that followed a valid cue	GRE	V	1	0.56885	UT	UT	UT	UT
204.001	1.000	Valid HC-Hit Cue: valid cue where following object was a subsequent high confidence hit	OBJ	V	1	0.52428	HC-HIT	 1.9565	1	1.7596
206.001	0.500	Valid HC-Hit Obj: object that was a subsequent high confidence hit and that followed a valid cue	OBJ	V	1	0.52428	HC-HIT	 1.9565	1	1.7596
