onset	duration	value
16.361328	0.0	face-inverted-f1
16.427734	0.0	face-inverted-f2
16.494141	0.0	face-inverted-f3
16.560547	0.0	face-inverted-f4
16.626953	0.0	face-inverted-f5
16.693359	0.0	face-inverted-f6
17.160156	0.0	house-upright-f1
17.209961	0.0	house-upright-f2
17.259766	0.0	house-upright-f3
17.30957	0.0	house-upright-f4
17.359375	0.0	house-upright-f5
17.40918	0.0	house-upright-f6
17.776367	0.0	house-inverted-f1
17.842773	0.0	house-inverted-f2
17.90918	0.0	house-inverted-f3
17.975586	0.0	house-inverted-f4
18.041992	0.0	house-inverted-f5
18.108398	0.0	house-inverted-f6
18.575195	0.0	face-upright-f1
18.658203	0.0	face-upright-f2
18.741211	0.0	face-upright-f3
18.825195	0.0	face-upright-f4
18.908203	0.0	face-upright-f5
18.991211	0.0	face-upright-f6
19.574219	0.0	checker-f1
19.640625	0.0	checker-f2
19.707031	0.0	checker-f3
19.773438	0.0	checker-f4
19.839844	0.0	checker-f5
19.907227	0.0	checker-f6
20.373047	0.0	face-inverted-f1
20.456055	0.0	face-inverted-f2
20.539063	0.0	face-inverted-f3
20.623047	0.0	face-inverted-f4
20.706055	0.0	face-inverted-f5
20.789063	0.0	face-inverted-f6
21.37207	0.0	checker-f1
21.438477	0.0	checker-f2
21.504883	0.0	checker-f3
21.571289	0.0	checker-f4
21.638672	0.0	checker-f5
21.705078	0.0	checker-f6
22.170898	0.0	face-upright-f1
22.237305	0.0	face-upright-f2
22.304688	0.0	face-upright-f3
22.371094	0.0	face-upright-f4
22.4375	0.0	face-upright-f5
22.503906	0.0	face-upright-f6
22.970703	0.0	house-inverted-f1
23.053711	0.0	house-inverted-f2
23.136719	0.0	house-inverted-f3
23.219727	0.0	house-inverted-f4
23.302734	0.0	house-inverted-f5
23.386719	0.0	house-inverted-f6
23.96875	0.0	house-upright-f1
24.036133	0.0	house-upright-f2
24.102539	0.0	house-upright-f3
24.168945	0.0	house-upright-f4
24.235352	0.0	house-upright-f5
24.301758	0.0	house-upright-f6
24.768555	0.0	face-inverted-f1
24.834961	0.0	face-inverted-f2
24.901367	0.0	face-inverted-f3
24.967773	0.0	face-inverted-f4
25.03418	0.0	face-inverted-f5
25.101563	0.0	face-inverted-f6
25.567383	0.0	house-inverted-f1
25.633789	0.0	house-inverted-f2
25.700195	0.0	house-inverted-f3
25.767578	0.0	house-inverted-f4
25.833984	0.0	house-inverted-f5
25.900391	0.0	house-inverted-f6
26.366211	0.0	checker-f1
26.433594	0.0	checker-f2
26.5	0.0	checker-f3
26.566406	0.0	checker-f4
26.632813	0.0	checker-f5
26.699219	0.0	checker-f6
27.166016	0.0	house-upright-f1
27.232422	0.0	house-upright-f2
27.298828	0.0	house-upright-f3
27.365234	0.0	house-upright-f4
27.431641	0.0	house-upright-f5
27.499023	0.0	house-upright-f6
27.964844	0.0	face-upright-f1
28.047852	0.0	face-upright-f2
28.130859	0.0	face-upright-f3
28.214844	0.0	face-upright-f4
28.297852	0.0	face-upright-f5
28.380859	0.0	face-upright-f6
28.963867	0.0	house-upright-f1
29.030273	0.0	house-upright-f2
29.09668	0.0	house-upright-f3
29.163086	0.0	house-upright-f4
29.230469	0.0	house-upright-f5
29.296875	0.0	house-upright-f6
29.762695	0.0	house-inverted-f1
29.845703	0.0	house-inverted-f2
29.913086	0.0	house-inverted-f3
29.996094	0.0	house-inverted-f4
30.079102	0.0	house-inverted-f5
30.145508	0.0	house-inverted-f6
30.695313	0.0	face-upright-f1
30.761719	0.0	face-upright-f2
30.828125	0.0	face-upright-f3
30.894531	0.0	face-upright-f4
30.961914	0.0	face-upright-f5
31.02832	0.0	face-upright-f6
31.494141	0.0	checker-f1
31.560547	0.0	checker-f2
31.62793	0.0	checker-f3
31.694336	0.0	checker-f4
31.760742	0.0	checker-f5
31.827148	0.0	checker-f6
32.292969	0.0	face-inverted-f1
32.360352	0.0	face-inverted-f2
32.426758	0.0	face-inverted-f3
32.493164	0.0	face-inverted-f4
32.55957	0.0	face-inverted-f5
32.625977	0.0	face-inverted-f6
33.092773	0.0	house-upright-f1
33.15918	0.0	house-upright-f2
33.225586	0.0	house-upright-f3
33.291992	0.0	house-upright-f4
33.359375	0.0	house-upright-f5
33.425781	0.0	house-upright-f6
33.891602	0.0	checker-f1
33.958008	0.0	checker-f2
34.024414	0.0	checker-f3
34.091797	0.0	checker-f4
34.158203	0.0	checker-f5
34.224609	0.0	checker-f6
34.69043	0.0	house-inverted-f1
34.774414	0.0	house-inverted-f2
34.857422	0.0	house-inverted-f3
34.94043	0.0	house-inverted-f4
35.023438	0.0	house-inverted-f5
35.107422	0.0	house-inverted-f6
35.706055	0.0	face-inverted-f1
35.790039	0.0	face-inverted-f2
35.873047	0.0	face-inverted-f3
35.956055	0.0	face-inverted-f4
36.039063	0.0	face-inverted-f5
36.12207	0.0	face-inverted-f6
36.705078	0.0	face-upright-f1
36.788086	0.0	face-upright-f2
36.87207	0.0	face-upright-f3
36.955078	0.0	face-upright-f4
37.038086	0.0	face-upright-f5
37.121094	0.0	face-upright-f6
37.704102	0.0	house-inverted-f1
37.770508	0.0	house-inverted-f2
37.836914	0.0	house-inverted-f3
37.904297	0.0	house-inverted-f4
37.970703	0.0	house-inverted-f5
38.037109	0.0	house-inverted-f6
38.50293	0.0	house-upright-f1
38.570313	0.0	house-upright-f2
38.636719	0.0	house-upright-f3
38.703125	0.0	house-upright-f4
38.769531	0.0	house-upright-f5
38.835938	0.0	house-upright-f6
39.302734	0.0	face-inverted-f1
39.369141	0.0	face-inverted-f2
39.435547	0.0	face-inverted-f3
39.501953	0.0	face-inverted-f4
39.568359	0.0	face-inverted-f5
39.635742	0.0	face-inverted-f6
40.101563	0.0	face-upright-f1
40.18457	0.0	face-upright-f2
40.267578	0.0	face-upright-f3
40.351563	0.0	face-upright-f4
40.43457	0.0	face-upright-f5
40.517578	0.0	face-upright-f6
41.100586	0.0	checker-f1
41.183594	0.0	checker-f2
41.266602	0.0	checker-f3
41.350586	0.0	checker-f4
41.433594	0.0	checker-f5
41.516602	0.0	checker-f6
42.099609	0.0	face-upright-f1
42.166016	0.0	face-upright-f2
42.232422	0.0	face-upright-f3
42.298828	0.0	face-upright-f4
42.365234	0.0	face-upright-f5
42.432617	0.0	face-upright-f6
42.898438	0.0	house-inverted-f1
42.964844	0.0	house-inverted-f2
43.03125	0.0	house-inverted-f3
43.098633	0.0	house-inverted-f4
43.165039	0.0	house-inverted-f5
43.231445	0.0	house-inverted-f6
43.697266	0.0	house-upright-f1
43.78125	0.0	house-upright-f2
43.864258	0.0	house-upright-f3
43.947266	0.0	house-upright-f4
44.030273	0.0	house-upright-f5
44.114258	0.0	house-upright-f6
44.712891	0.0	face-inverted-f1
44.779297	0.0	face-inverted-f2
44.84668	0.0	face-inverted-f3
44.913086	0.0	face-inverted-f4
44.979492	0.0	face-inverted-f5
45.045898	0.0	face-inverted-f6
45.512695	0.0	checker-f1
45.579102	0.0	checker-f2
45.645508	0.0	checker-f3
45.711914	0.0	checker-f4
45.77832	0.0	checker-f5
45.845703	0.0	checker-f6
46.311523	0.0	face-inverted-f1
46.394531	0.0	face-inverted-f2
46.477539	0.0	face-inverted-f3
46.561523	0.0	face-inverted-f4
46.644531	0.0	face-inverted-f5
46.727539	0.0	face-inverted-f6
47.310547	0.0	house-inverted-f1
47.376953	0.0	house-inverted-f2
47.443359	0.0	house-inverted-f3
47.509766	0.0	house-inverted-f4
47.577148	0.0	house-inverted-f5
47.643555	0.0	house-inverted-f6
