onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	1.000	.536	SCRAMBLED	17	7	1.036	func/s059.bmp
3.324	.968	.564	SCRAMBLED	17	7	.624	func/s057.bmp
6.631	.922	.479	SCRAMBLED	18	7	.757	func/s057.bmp
9.772	.994	.443	FAMOUS	5	7	.758	func/f058.bmp
12.945	.962	.410	FAMOUS	6	7	.690	func/f058.bmp
16.153	.997	.471	UNFAMILIAR	13	7	.709	func/u061.bmp
19.493	.892	.579	UNFAMILIAR	14	7	.468	func/u061.bmp
22.617	.864	.466	SCRAMBLED	17	7	.968	func/s053.bmp
25.724	.825	.480	SCRAMBLED	17	7	.889	func/s051.bmp
28.881	.950	.566	SCRAMBLED	18	7	.923	func/s051.bmp
32.088	.880	.500	SCRAMBLED	19	7	.632	func/s059.bmp
34.71	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
55.189	.847	.447	FAMOUS	5	4	.818	func/f062.bmp
58.313	.887	.503	FAMOUS	6	4	.631	func/f062.bmp
61.553	.816	.570	SCRAMBLED	17	7	.954	func/s062.bmp
64.677	.988	.539	UNFAMILIAR	13	7	.772	func/u056.bmp
67.984	.937	.547	SCRAMBLED	17	7	.612	func/s054.bmp
71.275	.977	.569	SCRAMBLED	19	7	.643	func/s053.bmp
74.449	.953	.425	SCRAMBLED	17	4	.876	func/s052.bmp
77.672	.988	.513	UNFAMILIAR	13	7	.906	func/u057.bmp
80.863	.899	.427	UNFAMILIAR	14	7	.893	func/u057.bmp
84.103	.997	.583	UNFAMILIAR	13	4	.811	func/u064.bmp
87.461	.820	.592	UNFAMILIAR	14	4	.958	func/u064.bmp
90.551	.974	.509	SCRAMBLED	19	7	1.386	func/s062.bmp
93.758	.909	.453	FAMOUS	5	7	.964	func/f050.bmp
96.948	.849	.512	UNFAMILIAR	15	7	.662	func/u056.bmp
100.105	.951	.547	UNFAMILIAR	13	7	.986	func/u049.bmp
103.413	.973	.596	SCRAMBLED	19	7	1.197	func/s054.bmp
106.72	.838	.557	UNFAMILIAR	13	4	1.015	func/u060.bmp
109.927	.910	.587	UNFAMILIAR	14	4	.918	func/u060.bmp
