onset	duration	trial_type	Response	Stimulus	response_time
4.452	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
7.464	0.200	auditory standard stimulus presentation	n/a	n/a	n/a
10.094	0.200	auditory standard stimulus presentation	0.000	standard	n/a
12.940	0.200	auditory standard stimulus presentation	0.000	standard	n/a
15.570	0.200	auditory standard stimulus presentation	0.000	standard	n/a
18.615	0.200	auditory standard stimulus presentation	0.000	standard	n/a
21.262	0.200	auditory standard stimulus presentation	0.000	standard	n/a
23.712	0.200	auditory standard stimulus presentation	0.000	standard	n/a
25.730	0.200	auditory standard stimulus presentation	0.000	standard	n/a
27.765	0.318	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
27.765	0.200	auditory oddball stimulus presentation	1.000	target	n/a
30.595	0.200	auditory standard stimulus presentation	0.000	standard	n/a
32.829	0.200	auditory standard stimulus presentation	0.000	standard	n/a
35.460	0.200	auditory standard stimulus presentation	0.000	standard	n/a
37.909	0.200	auditory standard stimulus presentation	0.000	standard	n/a
40.557	0.200	auditory standard stimulus presentation	0.000	standard	n/a
42.607	0.200	auditory standard stimulus presentation	0.000	standard	n/a
45.238	0.222	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
45.238	0.200	auditory oddball stimulus presentation	1.000	target	n/a
47.274	0.222	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
47.274	0.200	auditory oddball stimulus presentation	1.000	target	n/a
49.707	0.348	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
49.707	0.200	auditory oddball stimulus presentation	1.000	target	n/a
52.553	0.200	auditory standard stimulus presentation	0.000	standard	n/a
55.382	0.200	auditory standard stimulus presentation	0.000	standard	n/a
57.434	0.200	auditory oddball stimulus presentation	1.000	target	n/a
57.434	0.320	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
59.866	0.221	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
59.866	0.200	auditory oddball stimulus presentation	1.000	target	n/a
61.901	n/a	n/a	1.000	standard	n/a
64.152	0.200	auditory standard stimulus presentation	0.000	standard	n/a
66.782	0.200	auditory standard stimulus presentation	0.000	standard	n/a
69.016	0.336	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
69.016	0.200	auditory oddball stimulus presentation	1.000	target	n/a
71.249	0.200	auditory standard stimulus presentation	0.000	standard	n/a
73.898	0.200	auditory standard stimulus presentation	0.000	standard	n/a
76.842	0.200	auditory standard stimulus presentation	0.000	standard	n/a
79.489	0.200	auditory standard stimulus presentation	0.000	standard	n/a
82.137	0.200	auditory standard stimulus presentation	0.000	standard	n/a
84.387	0.200	auditory standard stimulus presentation	0.000	standard	n/a
86.837	0.200	auditory standard stimulus presentation	0.000	standard	n/a
89.086	0.200	auditory standard stimulus presentation	0.000	standard	n/a
91.138	0.200	auditory standard stimulus presentation	0.000	standard	n/a
93.769	0.200	auditory standard stimulus presentation	0.000	standard	n/a
95.805	0.200	auditory oddball stimulus presentation	1.000	target	n/a
95.805	0.279	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
98.850	0.200	auditory standard stimulus presentation	0.000	standard	n/a
101.082	0.200	auditory standard stimulus presentation	0.000	standard	n/a
104.128	0.200	auditory standard stimulus presentation	0.000	standard	n/a
106.775	0.200	auditory standard stimulus presentation	0.000	standard	n/a
109.025	0.200	auditory standard stimulus presentation	0.000	standard	n/a
111.656	0.257	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
111.656	0.200	auditory oddball stimulus presentation	1.000	target	n/a
114.088	0.200	auditory standard stimulus presentation	0.000	standard	n/a
117.132	0.262	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
117.132	0.200	auditory oddball stimulus presentation	1.000	target	n/a
119.565	0.200	auditory standard stimulus presentation	0.000	standard	n/a
122.412	0.200	auditory standard stimulus presentation	0.000	standard	n/a
125.042	0.200	auditory standard stimulus presentation	0.000	standard	n/a
127.293	0.200	auditory oddball stimulus presentation	1.000	target	n/a
127.293	0.414	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
130.337	0.200	auditory standard stimulus presentation	0.000	standard	n/a
132.769	0.200	auditory standard stimulus presentation	0.000	standard	n/a
135.416	0.200	auditory standard stimulus presentation	0.000	standard	n/a
137.849	0.200	auditory oddball stimulus presentation	1.000	target	n/a
137.849	0.264	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
140.099	0.200	auditory standard stimulus presentation	0.000	standard	n/a
143.127	0.200	auditory standard stimulus presentation	0.000	standard	n/a
146.155	0.200	auditory standard stimulus presentation	0.000	standard	n/a
148.190	0.200	auditory standard stimulus presentation	0.000	standard	n/a
151.019	0.200	auditory standard stimulus presentation	0.000	standard	n/a
153.072	0.200	auditory standard stimulus presentation	0.000	standard	n/a
156.117	0.200	auditory standard stimulus presentation	0.000	standard	n/a
158.963	0.200	auditory standard stimulus presentation	0.000	standard	n/a
162.006	0.200	auditory oddball stimulus presentation	1.000	target	n/a
162.006	0.264	behavioral response time following auditory oddball stimulus onset	1.000	target	n/a
164.439	0.200	auditory standard stimulus presentation	0.000	standard	n/a
166.673	0.200	auditory standard stimulus presentation	0.000	standard	n/a
