onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.119	n/a	n/a	20	5	14.350	0	-1	0.000
4.000	3.000	parametric gain	-0.069	n/a	n/a	22	17	2.800	1	1	2.239
8.000	3.000	parametric gain	-0.369	n/a	n/a	10	16	-8.070	3	0	2.199
12.000	3.000	parametric gain	0.331	n/a	n/a	38	18	17.670	2	1	1.378
16.000	3.000	parametric gain	-0.119	n/a	n/a	20	14	4.190	2	1	2.562
24.000	3.000	parametric gain	-0.269	n/a	n/a	14	13	-0.680	2	1	1.764
28.000	3.000	parametric gain	0.381	n/a	n/a	40	8	30.970	1	1	1.081
32.000	3.000	parametric gain	0.181	n/a	n/a	32	18	11.670	1	1	1.496
36.000	3.000	parametric gain	-0.019	n/a	n/a	24	8	14.970	1	1	1.080
40.000	3.000	parametric gain	0.281	n/a	n/a	36	14	20.190	1	1	1.163
44.000	3.000	parametric gain	0.081	n/a	n/a	28	6	21.220	1	1	1.120
48.000	3.000	parametric gain	-0.219	n/a	n/a	16	14	0.190	2	1	1.408
56.000	3.000	parametric gain	-0.269	n/a	n/a	14	9	3.840	2	1	1.771
60.000	3.000	parametric gain	-0.119	n/a	n/a	20	13	5.320	2	1	1.081
64.000	3.000	parametric gain	0.131	n/a	n/a	30	18	9.670	2	1	1.462
72.000	3.000	parametric gain	-0.269	n/a	n/a	14	15	-2.940	3	0	1.829
76.000	3.000	parametric gain	-0.319	n/a	n/a	12	12	-1.550	3	0	1.657
84.000	3.000	parametric gain	-0.019	n/a	n/a	24	11	11.580	2	1	1.301
88.000	3.000	parametric gain	-0.319	n/a	n/a	12	10	0.710	3	0	1.057
94.000	3.000	parametric gain	-0.219	n/a	n/a	16	6	9.220	2	1	1.001
98.000	3.000	parametric gain	0.331	n/a	n/a	38	20	15.410	2	1	1.449
102.000	3.000	parametric gain	0.081	n/a	n/a	28	10	16.710	1	1	1.041
106.000	3.000	parametric gain	-0.119	n/a	n/a	20	7	12.090	1	1	0.993
110.000	3.000	parametric gain	0.331	n/a	n/a	38	9	27.840	1	1	0.868
120.000	3.000	parametric gain	0.031	n/a	n/a	26	12	12.450	2	1	1.837
132.000	3.000	parametric gain	-0.369	n/a	n/a	10	14	-5.810	4	0	1.501
136.000	3.000	parametric gain	-0.319	n/a	n/a	12	13	-2.680	3	0	1.857
146.000	3.000	parametric gain	-0.019	n/a	n/a	24	15	7.060	2	1	1.653
150.000	3.000	parametric gain	0.181	n/a	n/a	32	15	15.060	1	1	1.353
154.000	3.000	parametric gain	0.281	n/a	n/a	36	15	19.060	1	1	1.306
162.000	3.000	parametric gain	0.281	n/a	n/a	36	18	15.670	1	1	1.580
166.000	3.000	parametric gain	-0.319	n/a	n/a	12	18	-8.330	3	0	1.379
176.000	3.000	parametric gain	-0.119	n/a	n/a	20	9	9.840	1	1	1.069
180.000	3.000	parametric gain	-0.219	n/a	n/a	16	8	6.970	1	1	1.425
184.000	3.000	parametric gain	-0.319	n/a	n/a	12	20	-10.590	4	0	1.955
194.000	3.000	parametric gain	-0.069	n/a	n/a	22	19	0.540	2	1	1.630
200.000	3.000	parametric gain	0.281	n/a	n/a	36	9	25.840	1	1	0.909
204.000	3.000	parametric gain	0.031	n/a	n/a	26	6	19.220	1	1	0.802
208.000	3.000	parametric gain	0.131	n/a	n/a	30	5	24.350	1	1	0.786
212.000	3.000	parametric gain	0.281	n/a	n/a	36	7	28.090	1	1	0.741
216.000	3.000	parametric gain	-0.169	n/a	n/a	18	10	6.710	2	1	1.362
220.000	3.000	parametric gain	0.131	n/a	n/a	30	9	19.840	1	1	0.938
226.000	3.000	parametric gain	0.131	n/a	n/a	30	12	16.450	1	1	1.718
236.000	3.000	parametric gain	-0.269	n/a	n/a	14	8	4.970	2	1	1.238
240.000	3.000	parametric gain	-0.119	n/a	n/a	20	19	-1.460	0	-1	0.000
244.000	3.000	parametric gain	0.081	n/a	n/a	28	14	12.190	1	1	1.265
250.000	3.000	parametric gain	-0.219	n/a	n/a	16	17	-3.200	3	0	1.478
258.000	3.000	parametric gain	0.031	n/a	n/a	26	8	16.970	1	1	0.886
262.000	3.000	parametric gain	-0.369	n/a	n/a	10	17	-9.200	4	0	2.123
274.000	3.000	parametric gain	-0.319	n/a	n/a	12	5	6.350	1	1	2.015
282.000	3.000	parametric gain	0.381	n/a	n/a	40	6	33.220	1	1	0.848
286.000	3.000	parametric gain	0.281	n/a	n/a	36	13	21.320	1	1	1.660
294.000	3.000	parametric gain	-0.369	n/a	n/a	10	9	-0.160	3	0	2.155
298.000	3.000	parametric gain	0.231	n/a	n/a	34	18	13.670	0	-1	0.000
304.000	3.000	parametric gain	0.131	n/a	n/a	30	15	13.060	1	1	1.116
316.000	3.000	parametric gain	-0.169	n/a	n/a	18	9	7.840	1	1	1.353
322.000	3.000	parametric gain	0.031	n/a	n/a	26	20	3.410	3	0	2.296
326.000	3.000	parametric gain	0.281	n/a	n/a	36	20	13.410	2	1	1.741
330.000	3.000	parametric gain	-0.069	n/a	n/a	22	15	5.060	3	0	1.425
334.000	3.000	parametric gain	0.331	n/a	n/a	38	8	28.970	1	1	0.892
342.000	3.000	parametric gain	0.081	n/a	n/a	28	16	9.930	2	1	1.433
348.000	3.000	parametric gain	0.231	n/a	n/a	34	12	20.450	1	1	1.009
358.000	3.000	parametric gain	0.081	n/a	n/a	28	15	11.060	2	1	2.887
364.000	3.000	parametric gain	-0.019	n/a	n/a	24	17	4.800	0	-1	0.000
368.000	3.000	parametric gain	0.081	n/a	n/a	28	11	15.580	1	1	0.973
372.000	3.000	parametric gain	-0.219	n/a	n/a	16	9	5.840	2	1	1.267
378.000	3.000	parametric gain	-0.069	n/a	n/a	22	13	7.320	2	1	1.033
384.000	3.000	parametric gain	0.381	n/a	n/a	40	11	27.580	1	1	0.649
390.000	3.000	parametric gain	0.081	n/a	n/a	28	8	18.970	1	1	0.753
396.000	3.000	parametric gain	0.281	n/a	n/a	36	16	17.930	2	1	1.465
400.000	3.000	parametric gain	-0.119	n/a	n/a	20	10	8.710	1	1	1.144
404.000	3.000	parametric gain	-0.369	n/a	n/a	10	18	-10.330	4	0	1.961
408.000	3.000	parametric gain	0.381	n/a	n/a	40	9	29.840	1	1	0.830
412.000	3.000	parametric gain	0.181	n/a	n/a	32	7	24.090	1	1	0.990
422.000	3.000	parametric gain	0.381	n/a	n/a	40	16	21.930	1	1	1.897
426.000	3.000	parametric gain	0.131	n/a	n/a	30	17	10.800	2	1	1.318
432.000	3.000	parametric gain	-0.019	n/a	n/a	24	5	18.350	1	1	0.722
436.000	3.000	parametric gain	-0.219	n/a	n/a	16	7	8.090	1	1	1.294
440.000	3.000	parametric gain	-0.069	n/a	n/a	22	18	1.670	0	-1	0.000
444.000	3.000	parametric gain	0.031	n/a	n/a	26	19	4.540	3	0	1.686
448.000	3.000	parametric gain	-0.019	n/a	n/a	24	20	1.410	3	0	1.390
452.000	3.000	parametric gain	0.231	n/a	n/a	34	6	27.220	1	1	1.338
460.000	3.000	parametric gain	-0.019	n/a	n/a	24	16	5.930	3	0	1.066
468.000	3.000	parametric gain	-0.069	n/a	n/a	22	6	15.220	1	1	0.745
474.000	3.000	parametric gain	-0.319	n/a	n/a	12	7	4.090	3	0	1.306
