onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	0.084	n/a	n/a	28	17	8.800	2	1	1.229
4.000	3.000	parametric gain	-0.267	n/a	n/a	14	7	6.090	1	1	0.839
8.000	3.000	parametric gain	0.084	n/a	n/a	28	18	7.670	2	1	1.083
14.000	3.000	parametric gain	-0.216	n/a	n/a	16	11	3.580	3	0	1.175
18.000	3.000	parametric gain	0.384	n/a	n/a	40	20	17.410	1	1	0.859
22.000	3.000	parametric gain	-0.167	n/a	n/a	18	16	-0.070	3	0	1.187
28.000	3.000	parametric gain	0.334	n/a	n/a	38	11	25.580	2	1	1.471
32.000	3.000	parametric gain	0.283	n/a	n/a	36	10	24.710	1	1	0.824
40.000	3.000	parametric gain	0.384	n/a	n/a	40	18	19.670	2	1	1.447
44.000	3.000	parametric gain	-0.366	n/a	n/a	10	10	-1.290	3	0	1.076
50.000	3.000	parametric gain	-0.017	n/a	n/a	24	6	17.220	1	1	1.135
56.000	3.000	parametric gain	-0.117	n/a	n/a	20	8	10.970	2	1	1.536
62.000	3.000	parametric gain	0.384	n/a	n/a	40	12	26.450	2	1	1.263
68.000	3.000	parametric gain	-0.067	n/a	n/a	22	10	10.710	2	1	1.407
76.000	3.000	parametric gain	-0.167	n/a	n/a	18	6	11.220	1	1	1.039
80.000	3.000	parametric gain	0.334	n/a	n/a	38	16	19.930	2	1	1.029
90.000	3.000	parametric gain	0.134	n/a	n/a	30	20	7.410	2	1	1.535
98.000	3.000	parametric gain	-0.067	n/a	n/a	22	14	6.190	2	1	1.223
102.000	3.000	parametric gain	-0.167	n/a	n/a	18	18	-2.330	3	0	0.973
106.000	3.000	parametric gain	-0.216	n/a	n/a	16	19	-5.460	4	0	0.949
110.000	3.000	parametric gain	-0.017	n/a	n/a	24	10	12.710	2	1	1.133
116.000	3.000	parametric gain	-0.317	n/a	n/a	12	19	-9.460	3	0	1.049
120.000	3.000	parametric gain	0.084	n/a	n/a	28	9	17.840	2	1	1.725
126.000	3.000	parametric gain	0.134	n/a	n/a	30	10	18.710	1	1	1.029
130.000	3.000	parametric gain	-0.167	n/a	n/a	18	15	1.060	3	0	1.517
