onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.0	6.0	rocknroll	4	6	459	0	rocknroll_002.wav	rocknroll	6	0	n/a	n/a
12.0	6.0	symphonic	4	6	465	6	symphonic_003.wav	symphonic	6	0	n/a	n/a
24.0	6.0	rocknroll	4	6	471	12	rocknroll_001.wav	rocknroll	6	0	n/a	n/a
36.0	6.0	metal	4	6	477	18	metal_004.wav	metal	6	0	n/a	n/a
48.0	6.0	symphonic	4	6	483	24	symphonic_002.wav	symphonic	8	1	n/a	n/a
62.0	6.0	country	4	6	490	31	country_003.wav	country	6	0	n/a	n/a
74.0	6.0	country	4	6	496	37	country_002.wav	country	6	0	n/a	n/a
86.0	6.0	ambient	4	6	502	43	ambient_001.wav	ambient	6	0	n/a	n/a
98.0	6.0	ambient	4	6	508	49	ambient_004.wav	ambient	8	1	n/a	n/a
112.0	6.0	country	4	6	515	56	country_000.wav	country	4	0	n/a	n/a
122.0	6.0	symphonic	4	6	520	61	symphonic_001.wav	symphonic	6	0	n/a	n/a
134.0	6.0	symphonic	4	6	526	67	symphonic_004.wav	symphonic	4	0	n/a	n/a
144.0	6.0	ambient	4	6	531	72	ambient_003.wav	ambient	6	0	n/a	n/a
156.0	6.0	metal	4	6	537	78	metal_003.wav	metal	4	0	n/a	n/a
166.0	6.0	metal	4	6	542	83	metal_000.wav	metal	6	0	n/a	n/a
178.0	6.0	ambient	4	6	548	89	ambient_000.wav	ambient	6	0	n/a	n/a
190.0	6.0	rocknroll	4	6	554	95	rocknroll_003.wav	rocknroll	8	1	n/a	n/a
204.0	6.0	country	4	6	561	102	country_004.wav	country	6	0	n/a	n/a
216.0	6.0	rocknroll	4	6	567	108	rocknroll_004.wav	rocknroll	4	0	n/a	n/a
226.0	6.0	ambient	4	6	572	113	ambient_002.wav	ambient	4	0	n/a	n/a
236.0	6.0	symphonic	4	6	577	118	symphonic_000.wav	symphonic	6	0	n/a	n/a
248.0	6.0	metal	4	6	583	124	metal_002.wav	metal	8	1	n/a	n/a
262.0	6.0	country	4	6	590	131	country_001.wav	country	8	1	n/a	n/a
276.0	6.0	metal	4	6	597	138	metal_001.wav	metal	6	0	n/a	n/a
288.0	6.0	rocknroll	4	6	603	144	rocknroll_000.wav	rocknroll	6	0	n/a	n/a
