onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.0	6.0	symphonic	5	1	612	0	symphonic_004.wav	symphonic	6	0	n/a	n/a
12.0	6.0	ambient	5	1	618	6	ambient_004.wav	ambient	6	0	n/a	n/a
24.0	6.0	symphonic	5	1	624	12	symphonic_002.wav	symphonic	6	0	n/a	n/a
36.0	6.0	rocknroll	5	1	630	18	rocknroll_002.wav	rocknroll	8	1	n/a	n/a
50.0	6.0	symphonic	5	1	637	25	symphonic_003.wav	symphonic	8	1	n/a	n/a
64.0	6.0	metal	5	1	644	32	metal_001.wav	metal	6	0	n/a	n/a
76.0	6.0	country	5	1	650	38	country_000.wav	country	8	1	n/a	n/a
90.0	6.0	rocknroll	5	1	657	45	rocknroll_001.wav	rocknroll	6	0	n/a	n/a
102.0	6.0	country	5	1	663	51	country_002.wav	country	6	0	n/a	n/a
114.0	6.0	symphonic	5	1	669	57	symphonic_000.wav	symphonic	6	0	n/a	n/a
126.0	6.0	country	5	1	675	63	country_003.wav	country	4	0	n/a	n/a
136.0	6.0	ambient	5	1	680	68	ambient_000.wav	ambient	8	1	n/a	n/a
150.0	6.0	ambient	5	1	687	75	ambient_003.wav	ambient	6	0	n/a	n/a
162.0	6.0	country	5	1	693	81	country_001.wav	country	6	0	n/a	n/a
174.0	6.0	country	5	1	699	87	country_004.wav	country	6	0	n/a	n/a
186.0	6.0	metal	5	1	705	93	metal_002.wav	metal	6	0	n/a	n/a
198.0	6.0	ambient	5	1	711	99	ambient_001.wav	ambient	6	0	n/a	n/a
210.0	6.0	metal	5	1	717	105	metal_004.wav	metal	6	0	n/a	n/a
222.0	6.0	rocknroll	5	1	723	111	rocknroll_004.wav	rocknroll	6	0	n/a	n/a
234.0	6.0	ambient	5	1	729	117	ambient_002.wav	ambient	4	0	n/a	n/a
244.0	6.0	rocknroll	5	1	734	122	rocknroll_003.wav	rocknroll	6	0	n/a	n/a
256.0	6.0	rocknroll	5	1	740	128	rocknroll_000.wav	rocknroll	4	0	n/a	n/a
266.0	6.0	metal	5	1	745	133	metal_000.wav	metal	4	0	n/a	n/a
276.0	6.0	metal	5	1	750	138	metal_003.wav	metal	8	1	n/a	n/a
290.0	6.0	symphonic	5	1	757	145	symphonic_001.wav	symphonic	4	0	n/a	n/a
