onset	duration	trial_type	response_time	sample	value
147.0351562500	n/a	stimulus	n/a	37641	128
151.2226562500	n/a	response	n/a	38713	4
155.5117187500	n/a	response	n/a	39811	2
268.4921875000	n/a	stimulus	n/a	68734	128
272.1640625000	n/a	response	n/a	69674	4
276.4843750000	n/a	response	n/a	70780	2
424.0078125000	n/a	stimulus	n/a	108546	128
428.3828125000	n/a	response	n/a	109666	2
435.4687500000	n/a	response	n/a	111480	4
439.0703125000	n/a	response	n/a	112402	2
488.0625000000	n/a	stimulus	n/a	124944	128
492.7851562500	n/a	response	n/a	126153	2
496.4414062500	n/a	response	n/a	127089	4
500.9140625000	n/a	response	n/a	128234	2
536.9179687500	n/a	stimulus	n/a	137451	128
545.7539062500	n/a	response	n/a	139713	4
548.8789062500	n/a	response	n/a	140513	4
672.8867187500	n/a	stimulus	n/a	172259	128
677.3085937500	n/a	response	n/a	173391	4
680.6132812500	n/a	response	n/a	174237	2
684.4375000000	n/a	response	n/a	175216	2
785.4453125000	n/a	stimulus	n/a	201074	128
789.7421875000	n/a	response	n/a	202174	8
792.8398437500	n/a	response	n/a	202967	2
949.3046875000	n/a	stimulus	n/a	243022	128
953.2539062500	n/a	response	n/a	244033	8
1070.2578125000	n/a	stimulus	n/a	273986	128
1073.0039062500	n/a	response	n/a	274689	8
1075.4765625000	n/a	response	n/a	275322	2
1145.2968750000	n/a	stimulus	n/a	293196	128
1148.8281250000	n/a	response	n/a	294100	8
1153.3750000000	n/a	response	n/a	295264	2
1173.9179687500	n/a	stimulus	n/a	300523	128
1177.4453125000	n/a	response	n/a	301426	4
1181.4140625000	n/a	response	n/a	302442	2
1185.5429687500	n/a	response	n/a	303499	2
1322.5546875000	n/a	stimulus	n/a	338574	128
1325.1796875000	n/a	response	n/a	339246	8
1328.6445312500	n/a	response	n/a	340133	2
1426.2617187500	n/a	stimulus	n/a	365123	128
1429.6875000000	n/a	response	n/a	366000	8
1484.9843750000	n/a	stimulus	n/a	380156	128
1489.0664062500	n/a	response	n/a	381201	8
1493.3671875000	n/a	response	n/a	382302	2
1591.1250000000	n/a	stimulus	n/a	407328	128
1594.9062500000	n/a	response	n/a	408296	4
1598.9062500000	n/a	response	n/a	409320	2
1601.3632812500	n/a	response	n/a	409949	2
1626.3632812500	n/a	stimulus	n/a	416349	128
1630.3164062500	n/a	response	n/a	417361	8
1632.7851562500	n/a	response	n/a	417993	2
1768.7656250000	n/a	stimulus	n/a	452804	128
1771.6367187500	n/a	response	n/a	453539	8
1885.6289062500	n/a	stimulus	n/a	482721	128
1888.8320312500	n/a	response	n/a	483541	4
1892.4101562500	n/a	response	n/a	484457	2
1916.8437500000	n/a	stimulus	n/a	490712	128
1919.9609375000	n/a	response	n/a	491510	8
1992.8085937500	n/a	stimulus	n/a	510159	128
1996.4843750000	n/a	response	n/a	511100	8
2118.1406250000	n/a	stimulus	n/a	542244	128
2122.3515625000	n/a	response	n/a	543322	8
2241.7929687500	n/a	stimulus	n/a	573899	128
2244.5000000000	n/a	response	n/a	574592	8
2343.8867187500	n/a	stimulus	n/a	600035	128
2346.8945312500	n/a	response	n/a	600805	8
2454.8710937500	n/a	stimulus	n/a	628447	128
2458.0000000000	n/a	response	n/a	629248	8
2460.9375000000	n/a	response	n/a	630000	2
2491.6835937500	n/a	stimulus	n/a	637871	128
2495.9062500000	n/a	response	n/a	638952	8
2573.4023437500	n/a	stimulus	n/a	658791	128
2577.0625000000	n/a	response	n/a	659728	4
2581.0429687500	n/a	response	n/a	660747	2
2585.1054687500	n/a	response	n/a	661787	2
2633.0937500000	n/a	stimulus	n/a	674072	128
2635.8007812500	n/a	response	n/a	674765	8
2639.2500000000	n/a	response	n/a	675648	2
