onset	duration	trial_type	ConditionCode	CorrectAnswerCode	KeyPressed	ResponseTime	StoryCode
0.0	2.0	n/a	0.0	0.0	46.0	1.989253	0.0
2.0	2.0	n/a	0.0	0.0	46.0	1.994733	0.0
4.0	2.0	n/a	0.0	0.0	46.0	1.9929419999999998	0.0
6.0	2.0	n/a	0.0	0.0	46.0	1.993479	0.0
8.0	2.0	n/a	0.0	0.0	46.0	1.99289	0.0
10.0	10.0	false photo story	n/a	n/a	n/a	n/a	n/a
10.0	2.0	n/a	2.0	2.0	46.0	1.99415	20.0
12.0	2.0	n/a	2.0	2.0	46.0	1.992111	20.0
14.0	2.0	n/a	2.0	2.0	46.0	1.995543	20.0
16.0	2.0	n/a	2.0	2.0	46.0	1.9956209999999999	20.0
18.0	2.0	n/a	2.0	2.0	46.0	1.993961	20.0
20.0	2.0	n/a	0.0	0.0	46.0	1.9934560000000001	0.0
22.0	2.0	n/a	2.0	2.0	46.0	1.994012	20.0
22.0	6.0	false photo question	n/a	n/a	n/a	n/a	n/a
24.0	2.0	n/a	2.0	2.0	30.0	1.404139	20.0
26.0	2.0	n/a	2.0	2.0	46.0	1.993566	20.0
28.0	2.0	n/a	0.0	0.0	46.0	1.993954	0.0
30.0	2.0	n/a	0.0	0.0	46.0	1.993081	0.0
32.0	2.0	n/a	0.0	0.0	46.0	1.994304	0.0
34.0	2.0	n/a	0.0	0.0	46.0	1.9935310000000002	0.0
36.0	2.0	n/a	0.0	0.0	46.0	1.9948720000000002	0.0
38.0	2.0	n/a	2.0	2.0	46.0	1.9947270000000001	14.0
38.0	10.0	false photo story	n/a	n/a	n/a	n/a	n/a
40.0	2.0	n/a	2.0	2.0	46.0	1.994059	14.0
42.0	2.0	n/a	2.0	2.0	46.0	1.9936619999999998	14.0
44.0	2.0	n/a	2.0	2.0	46.0	1.995134	14.0
46.0	2.0	n/a	2.0	2.0	46.0	1.993882	14.0
48.0	2.0	n/a	0.0	0.0	46.0	1.9943369999999998	0.0
50.0	2.0	n/a	0.0	0.0	46.0	1.995155	0.0
52.0	2.0	n/a	0.0	0.0	46.0	1.9963650000000002	0.0
54.0	2.0	n/a	2.0	2.0	46.0	1.9955180000000001	14.0
