index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	49.0	17Networks_LH_DefaultC_PHC_1	DefaultC	Schaefer100
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	1.0	17Networks_LH_VisCent_ExStr_1	VisCent	Schaefer100
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	5.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	Schaefer100
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	2.0	17Networks_LH_VisCent_ExStr_2	VisCent	Schaefer100
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	3.0	17Networks_LH_VisCent_Striate_1	VisCent	Schaefer100
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	Schaefer100
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	15.0	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA	Schaefer100
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	4.0	17Networks_LH_VisCent_ExStr_3	VisCent	Schaefer100
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	7.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	Schaefer100
10	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	10.0	17Networks_LH_SomMotB_Aud_1	SomMotB	Schaefer100
11	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	11.0	17Networks_LH_SomMotB_S2_1	SomMotB	Schaefer100
12	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	12.0	17Networks_LH_SomMotB_S2_2	SomMotB	Schaefer100
13	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	13.0	17Networks_LH_SomMotB_Cent_1	SomMotB	Schaefer100
14	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	8.0	17Networks_LH_SomMotA_1	SomMotA	Schaefer100
15	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	9.0	17Networks_LH_SomMotA_2	SomMotA	Schaefer100
16	LH_DorsAttn_Post_1	DorsAttn	7Networks_LH_DorsAttn_Post_1	14.0	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA	Schaefer100
17	LH_DorsAttn_Post_2	DorsAttn	7Networks_LH_DorsAttn_Post_2	17.0	17Networks_LH_DorsAttnB_PostC_1	DorsAttnB	Schaefer100
18	LH_DorsAttn_Post_3	DorsAttn	7Networks_LH_DorsAttn_Post_3	16.0	17Networks_LH_DorsAttnA_SPL_1	DorsAttnA	Schaefer100
19	LH_DorsAttn_Post_4	DorsAttn	7Networks_LH_DorsAttn_Post_4	18.0	17Networks_LH_DorsAttnB_PostC_2	DorsAttnB	Schaefer100
20	LH_DorsAttn_Post_5	DorsAttn	7Networks_LH_DorsAttn_Post_5	36.0	17Networks_LH_ContC_pCun_2	ContC	Schaefer100
21	LH_DorsAttn_Post_6	DorsAttn	7Networks_LH_DorsAttn_Post_6	19.0	17Networks_LH_DorsAttnB_PostC_3	DorsAttnB	Schaefer100
22	LH_DorsAttn_PrCv_1	DorsAttn	7Networks_LH_DorsAttn_PrCv_1	33.0	17Networks_LH_ContA_PFCl_2	ContA	Schaefer100
23	LH_DorsAttn_FEF_1	DorsAttn	7Networks_LH_DorsAttn_FEF_1	20.0	17Networks_LH_DorsAttnB_FEF_1	DorsAttnB	Schaefer100
24	LH_SalVentAttn_ParOper_1	SalVentAttn	7Networks_LH_SalVentAttn_ParOper_1	21.0	17Networks_LH_SalVentAttnA_ParOper_1	SalVentAttnA	Schaefer100
25	LH_SalVentAttn_FrOperIns_1	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_1	22.0	17Networks_LH_SalVentAttnA_Ins_1	SalVentAttnA	Schaefer100
26	LH_SalVentAttn_FrOperIns_2	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_2	23.0	17Networks_LH_SalVentAttnA_Ins_2	SalVentAttnA	Schaefer100
27	LH_SalVentAttn_PFCl_1	SalVentAttn	7Networks_LH_SalVentAttn_PFCl_1	26.0	17Networks_LH_SalVentAttnB_PFCl_1	SalVentAttnB	Schaefer100
28	LH_SalVentAttn_Med_1	SalVentAttn	7Networks_LH_SalVentAttn_Med_1	27.0	17Networks_LH_SalVentAttnB_PFCmp_1	SalVentAttnB	Schaefer100
29	LH_SalVentAttn_Med_2	SalVentAttn	7Networks_LH_SalVentAttn_Med_2	24.0	17Networks_LH_SalVentAttnA_ParMed_1	SalVentAttnA	Schaefer100
30	LH_SalVentAttn_Med_3	SalVentAttn	7Networks_LH_SalVentAttn_Med_3	25.0	17Networks_LH_SalVentAttnA_FrMed_1	SalVentAttnA	Schaefer100
31	LH_Limbic_OFC_1	Limbic	7Networks_LH_Limbic_OFC_1	28.0	17Networks_LH_LimbicB_OFC_1	LimbicB	Schaefer100
32	LH_Limbic_TempPole_1	Limbic	7Networks_LH_Limbic_TempPole_1	29.0	17Networks_LH_LimbicA_TempPole_1	LimbicA	Schaefer100
33	LH_Limbic_TempPole_2	Limbic	7Networks_LH_Limbic_TempPole_2	30.0	17Networks_LH_LimbicA_TempPole_2	LimbicA	Schaefer100
34	LH_Cont_Par_1	Cont	7Networks_LH_Cont_Par_1	31.0	17Networks_LH_ContA_IPS_1	ContA	Schaefer100
35	LH_Cont_PFCl_1	Cont	7Networks_LH_Cont_PFCl_1	32.0	17Networks_LH_ContA_PFCl_1	ContA	Schaefer100
36	LH_Cont_pCun_1	Cont	7Networks_LH_Cont_pCun_1	35.0	17Networks_LH_ContC_pCun_1	ContC	Schaefer100
37	LH_Cont_Cing_1	Cont	7Networks_LH_Cont_Cing_1	37.0	17Networks_LH_ContC_Cingp_1	ContC	Schaefer100
38	LH_Default_Temp_1	Default	7Networks_LH_Default_Temp_1	41.0	17Networks_LH_DefaultB_Temp_1	DefaultB	Schaefer100
39	LH_Default_Temp_2	Default	7Networks_LH_Default_Temp_2	42.0	17Networks_LH_DefaultB_Temp_2	DefaultB	Schaefer100
40	LH_Default_Par_1	Default	7Networks_LH_Default_Par_1	50.0	17Networks_LH_TempPar_1	TempPar	Schaefer100
41	LH_Default_Par_2	Default	7Networks_LH_Default_Par_2	43.0	17Networks_LH_DefaultB_IPL_1	DefaultB	Schaefer100
42	LH_Default_PFC_1	Default	7Networks_LH_Default_PFC_1	46.0	17Networks_LH_DefaultB_PFCv_1	DefaultB	Schaefer100
43	LH_Default_PFC_2	Default	7Networks_LH_Default_PFC_2	47.0	17Networks_LH_DefaultB_PFCv_2	DefaultB	Schaefer100
44	LH_Default_PFC_3	Default	7Networks_LH_Default_PFC_3	40.0	17Networks_LH_DefaultA_PFCm_1	DefaultA	Schaefer100
45	LH_Default_PFC_4	Default	7Networks_LH_Default_PFC_4	34.0	17Networks_LH_ContB_PFClv_1	ContB	Schaefer100
46	LH_Default_PFC_5	Default	7Networks_LH_Default_PFC_5	44.0	17Networks_LH_DefaultB_PFCd_1	DefaultB	Schaefer100
47	LH_Default_PFC_6	Default	7Networks_LH_Default_PFC_6	45.0	17Networks_LH_DefaultB_PFCl_1	DefaultB	Schaefer100
48	LH_Default_PFC_7	Default	7Networks_LH_Default_PFC_7	38.0	17Networks_LH_DefaultA_PFCd_1	DefaultA	Schaefer100
49	LH_Default_pCunPCC_1	Default	7Networks_LH_Default_pCunPCC_1	48.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	Schaefer100
50	LH_Default_pCunPCC_2	Default	7Networks_LH_Default_pCunPCC_2	39.0	17Networks_LH_DefaultA_pCunPCC_1	DefaultA	Schaefer100
51	RH_Vis_1	Vis	7Networks_RH_Vis_1	97.0	17Networks_RH_DefaultC_PHC_1	DefaultC	Schaefer100
52	RH_Vis_2	Vis	7Networks_RH_Vis_2	51.0	17Networks_RH_VisCent_ExStr_1	VisCent	Schaefer100
53	RH_Vis_3	Vis	7Networks_RH_Vis_3	65.0	17Networks_RH_DorsAttnA_TempOcc_1	DorsAttnA	Schaefer100
54	RH_Vis_4	Vis	7Networks_RH_Vis_4	52.0	17Networks_RH_VisCent_ExStr_2	VisCent	Schaefer100
55	RH_Vis_5	Vis	7Networks_RH_Vis_5	54.0	17Networks_RH_VisPeri_StriCal_1	VisPeri	Schaefer100
56	RH_Vis_6	Vis	7Networks_RH_Vis_6	55.0	17Networks_RH_VisPeri_ExStrInf_1	VisPeri	Schaefer100
57	RH_Vis_7	Vis	7Networks_RH_Vis_7	53.0	17Networks_RH_VisCent_ExStr_3	VisCent	Schaefer100
58	RH_Vis_8	Vis	7Networks_RH_Vis_8	56.0	17Networks_RH_VisPeri_ExStrSup_1	VisPeri	Schaefer100
59	RH_SomMot_1	SomMot	7Networks_RH_SomMot_1	61.0	17Networks_RH_SomMotB_Aud_1	SomMotB	Schaefer100
60	RH_SomMot_2	SomMot	7Networks_RH_SomMot_2	62.0	17Networks_RH_SomMotB_S2_1	SomMotB	Schaefer100
61	RH_SomMot_3	SomMot	7Networks_RH_SomMot_3	63.0	17Networks_RH_SomMotB_S2_2	SomMotB	Schaefer100
62	RH_SomMot_4	SomMot	7Networks_RH_SomMot_4	64.0	17Networks_RH_SomMotB_Cent_1	SomMotB	Schaefer100
63	RH_SomMot_5	SomMot	7Networks_RH_SomMot_5	57.0	17Networks_RH_SomMotA_1	SomMotA	Schaefer100
64	RH_SomMot_6	SomMot	7Networks_RH_SomMot_6	58.0	17Networks_RH_SomMotA_2	SomMotA	Schaefer100
65	RH_SomMot_7	SomMot	7Networks_RH_SomMot_7	59.0	17Networks_RH_SomMotA_3	SomMotA	Schaefer100
66	RH_SomMot_8	SomMot	7Networks_RH_SomMot_8	60.0	17Networks_RH_SomMotA_4	SomMotA	Schaefer100
67	RH_DorsAttn_Post_1	DorsAttn	7Networks_RH_DorsAttn_Post_1	66.0	17Networks_RH_DorsAttnA_ParOcc_1	DorsAttnA	Schaefer100
