onset	duration	event_sample	event_value	trial_type
390.08	900	429088	19	scrambled_second_late
390.545454545455	900	429600	0	response
393.370909090909	900	432708	13	unfamiliar_new
394.059090909091	900	433465	0	response
396.461818181818	900	436108	14	unfamiliar_second_early
396.951818181818	900	436647	0	response
399.585454545455	900	439544	19	scrambled_second_late
400.303636363636	900	440334	0	response
402.742727272727	900	443017	5	famous_new
403.539090909091	900	443893	0	response
405.817272727273	900	446399	15	unfamiliar_second_late
407.459090909091	900	448205	0	response
409.057272727273	900	449963	13	unfamiliar_new
410.465454545455	900	451512	0	response
412.348181818182	900	453583	14	unfamiliar_second_early
415.505454545455	900	457056	7	famous_second_late
416.860909090909	900	458547	0	response
418.83	900	460713	5	famous_new
419.496363636364	900	461446	0	response
421.987272727273	900	464186	13	unfamiliar_new
423.778181818182	900	466156	0	response
425.110909090909	900	467622	14	unfamiliar_second_early
426.346363636364	900	468981	0	response
428.368181818182	900	471205	15	unfamiliar_second_late
429.224545454545	900	472147	0	response
431.426363636364	900	474569	17	scrambled_new
432.14	900	475354	0	response
434.533636363636	900	477987	18	scrambled_second_early
435.065454545455	900	478572	0	response
437.69	900	481459	5	famous_new
438.378181818182	900	482216	0	response
440.797272727273	900	484877	7	famous_second_late
441.965454545455	900	486162	0	response
443.920909090909	900	488313	17	scrambled_new
444.695454545455	900	489165	0	response
447.061818181818	900	491768	18	scrambled_second_early
448.27	900	493097	0	response
450.201818181818	900	495222	13	unfamiliar_new
451.471818181818	900	496619	0	response
453.376363636364	900	498714	14	unfamiliar_second_early
454.751818181818	900	500227	0	response
456.683636363636	900	502352	7	famous_second_late
457.285454545455	900	503014	0	response
459.774545454545	900	505752	5	famous_new
460.942727272727	900	507037	0	response
462.864545454545	900	509151	6	famous_second_early
466.021818181818	900	512624	17	scrambled_new
466.700909090909	900	513371	0	response
469.312727272727	900	516244	17	scrambled_new
470.591818181818	900	517651	0	response
472.52	900	519772	7	famous_second_late
473.489090909091	900	520838	0	response
475.527272727273	900	523080	13	unfamiliar_new
476.174545454545	900	523792	0	response
478.634545454545	900	526498	14	unfamiliar_second_early
479.160909090909	900	527077	0	response
481.925454545455	900	530118	13	unfamiliar_new
482.591818181818	900	530851	0	response
485.032727272727	900	533536	14	unfamiliar_second_early
485.507272727273	900	534058	0	response
488.323636363636	900	537156	17	scrambled_new
488.917272727273	900	537809	0	response
491.564545454545	900	540721	18	scrambled_second_early
492.041818181818	900	541246	0	response
