name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
PhaseSpace_Rigid1_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	z	Head
PhaseSpace_Rigid1_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	x	Head
PhaseSpace_Rigid1_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	y	Head
PhaseSpace_Rigid1_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	x	Head
PhaseSpace_Rigid1_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	y	Head
PhaseSpace_Rigid1_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid1	z	Head
PhaseSpace_Rigid6_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	z	RightThigh
PhaseSpace_Rigid6_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	x	RightThigh
PhaseSpace_Rigid6_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	y	RightThigh
PhaseSpace_Rigid6_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	x	RightThigh
PhaseSpace_Rigid6_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	y	RightThigh
PhaseSpace_Rigid6_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid6	z	RightThigh
PhaseSpace_Rigid2_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	z	LeftThigh
PhaseSpace_Rigid2_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	x	LeftThigh
PhaseSpace_Rigid2_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	y	LeftThigh
PhaseSpace_Rigid2_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	x	LeftThigh
PhaseSpace_Rigid2_cart_y	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	y	LeftThigh
PhaseSpace_Rigid2_cart_z	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid2	z	LeftThigh
PhaseSpace_Rigid5_eul_z	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	z	LeftForeFoot
PhaseSpace_Rigid5_eul_x	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	x	LeftForeFoot
PhaseSpace_Rigid5_eul_y	ORNT	rad	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	y	LeftForeFoot
PhaseSpace_Rigid5_cart_x	POS	m	480.118903385822	PhaseSpace	PhaseSpace_Rigid5	x	LeftForeFoot
