onset	duration	response_time	button_press	stim_file
n/a	n/a	1.247	1	meg/u145.bmp
n/a	n/a	1.108	3	meg/f057.bmp
n/a	n/a	0.935	3	meg/f095.bmp
n/a	n/a	1.146	2	meg/u084.bmp
n/a	n/a	0.954	1	meg/u005.bmp
n/a	n/a	1.148	1	meg/u021.bmp
n/a	n/a	1.086	1	meg/f103.bmp
n/a	n/a	0.996	3	meg/f097.bmp
n/a	n/a	0.861	3	meg/f123.bmp
n/a	n/a	0.931	1	meg/u044.bmp
n/a	n/a	131.457	1	meg/u026.bmp
n/a	n/a	0.882	1	meg/u028.bmp
n/a	n/a	0.711	1	meg/u122.bmp
n/a	n/a	1.139	3	meg/f001.bmp
n/a	n/a	1.165	1	meg/u037.bmp
n/a	n/a	1.111	3	meg/f113.bmp
n/a	n/a	1.051	3	meg/f018.bmp
n/a	n/a	1.905	1	meg/u086.bmp
n/a	n/a	0.898	1	meg/u018.bmp
n/a	n/a	3.511	1	meg/u081.bmp
n/a	n/a	0.781	3	meg/f071.bmp
n/a	n/a	0.728	3	meg/f028.bmp
n/a	n/a	0.836	3	meg/f037.bmp
n/a	n/a	0.7	3	meg/f029.bmp
n/a	n/a	1.137	2	meg/u058.bmp
n/a	n/a	1.404	1	meg/u047.bmp
n/a	n/a	0.89	3	meg/f002.bmp
n/a	n/a	1.246	3	meg/f147.bmp
n/a	n/a	0.828	1	meg/u133.bmp
n/a	n/a	1.564	2	meg/u101.bmp
n/a	n/a	0.637	3	meg/f044.bmp
n/a	n/a	1.811	3	meg/f033.bmp
n/a	n/a	0.81	3	meg/f050.bmp
n/a	n/a	1.01	1	meg/u074.bmp
n/a	n/a	1.227	3	meg/f041.bmp
n/a	n/a	2.265	2	meg/u093.bmp
n/a	n/a	1.18	1	meg/u027.bmp
n/a	n/a	1.67	2	meg/f112.bmp
n/a	n/a	0.786	3	meg/f003.bmp
n/a	n/a	0.668	3	meg/f026.bmp
n/a	n/a	2.051	1	meg/u112.bmp
n/a	n/a	1.608	2	meg/u049.bmp
n/a	n/a	0.983	1	meg/u061.bmp
n/a	n/a	0.737	1	meg/u079.bmp
n/a	n/a	1.02	3	meg/f099.bmp
n/a	n/a	0.786	3	meg/f054.bmp
n/a	n/a	0.94	1	meg/u067.bmp
n/a	n/a	1.855	1	meg/u149.bmp
n/a	n/a	1.179	3	meg/f058.bmp
n/a	n/a	0.876	3	meg/f094.bmp
n/a	n/a	4.482	3	meg/f127.bmp
n/a	n/a	0.96	1	meg/u130.bmp
n/a	n/a	1.499	3	meg/f120.bmp
n/a	n/a	0.71	3	meg/f004.bmp
n/a	n/a	0.962	3	meg/f014.bmp
n/a	n/a	1.628	1	meg/u073.bmp
n/a	n/a	0.691	1	meg/u117.bmp
n/a	n/a	2.712	1	meg/u003.bmp
n/a	n/a	0.928	1	meg/u106.bmp
n/a	n/a	1.276	3	meg/f137.bmp
n/a	n/a	0.889	1	meg/f098.bmp
n/a	n/a	0.871	1	meg/u123.bmp
n/a	n/a	1.043	3	meg/f038.bmp
n/a	n/a	1.131	3	meg/f016.bmp
n/a	n/a	1.534	1	meg/u039.bmp
n/a	n/a	1.04	1	meg/u062.bmp
n/a	n/a	0.952	1	meg/u019.bmp
n/a	n/a	0.986	1	meg/u085.bmp
n/a	n/a	3.796	2	meg/u109.bmp
n/a	n/a	1.662	3	meg/f046.bmp
n/a	n/a	0.715	3	meg/f068.bmp
n/a	n/a	0.815	1	meg/u087.bmp
n/a	n/a	1.511	2	meg/u014.bmp
n/a	n/a	1.427	3	meg/f021.bmp
n/a	n/a	0.722	3	meg/f032.bmp
n/a	n/a	0.694	3	meg/f067.bmp
n/a	n/a	2.275	2	meg/f145.bmp
n/a	n/a	0.966	3	meg/f027.bmp
n/a	n/a	1.544	3	meg/f144.bmp
n/a	n/a	0.97	1	meg/u096.bmp
n/a	n/a	1.403	3	meg/f010.bmp
n/a	n/a	1.091	3	meg/f070.bmp
n/a	n/a	0.864	3	meg/f107.bmp
n/a	n/a	0.63	3	meg/f064.bmp
