name	probe_name	x	y	z	impedance	material	location	hemisphere	connector_aligned_id	impedance_unit	insulation
1	UtahArray-1025-0503	3.6	0.0	1.5	52	iridium oxide	M1	R	91	kOhm	Parylene-c
2	UtahArray-1025-0503	3.6	0.4	1.5	44	iridium oxide	M1	R	92	kOhm	Parylene-c
3	UtahArray-1025-0503	3.6	1.2	1.5	50	iridium oxide	M1	R	94	kOhm	Parylene-c
4	UtahArray-1025-0503	0.0	0.0	1.5	48	iridium oxide	M1	R	1	kOhm	Parylene-c
5	UtahArray-1025-0503	2.8	1.6	1.5	48	iridium oxide	M1	R	75	kOhm	Parylene-c
6	UtahArray-1025-0503	3.6	2.0	1.5	46	iridium oxide	M1	R	96	kOhm	Parylene-c
7	UtahArray-1025-0503	3.2	1.6	1.5	49	iridium oxide	M1	R	85	kOhm	Parylene-c
8	UtahArray-1025-0503	3.6	2.4	1.5	47	iridium oxide	M1	R	97	kOhm	Parylene-c
9	UtahArray-1025-0503	3.2	2.0	1.5	48	iridium oxide	M1	R	86	kOhm	Parylene-c
10	UtahArray-1025-0503	3.6	2.8	1.5	48	iridium oxide	M1	R	98	kOhm	Parylene-c
11	UtahArray-1025-0503	3.2	2.4	1.5	50	iridium oxide	M1	R	87	kOhm	Parylene-c
12	UtahArray-1025-0503	3.2	2.8	1.5	50	iridium oxide	M1	R	88	kOhm	Parylene-c
13	UtahArray-1025-0503	2.8	2.4	1.5	41	iridium oxide	M1	R	77	kOhm	Parylene-c
14	UtahArray-1025-0503	3.6	3.2	1.5	53	iridium oxide	M1	R	99	kOhm	Parylene-c
15	UtahArray-1025-0503	2.4	2.0	1.5	46	iridium oxide	M1	R	66	kOhm	Parylene-c
16	UtahArray-1025-0503	3.2	3.2	1.5	48	iridium oxide	M1	R	89	kOhm	Parylene-c
17	UtahArray-1025-0503	2.8	2.0	1.5	50	iridium oxide	M1	R	76	kOhm	Parylene-c
18	UtahArray-1025-0503	3.6	3.6	1.5	55	iridium oxide	M1	R	100	kOhm	Parylene-c
19	UtahArray-1025-0503	2.4	2.4	1.5	52	iridium oxide	M1	R	67	kOhm	Parylene-c
20	UtahArray-1025-0503	2.8	3.2	1.5	47	iridium oxide	M1	R	79	kOhm	Parylene-c
