name	probe_name	x	y	z	impedance	material	location	hemisphere	connector_aligned_id	impedance_unit	insulation
21	UtahArray-1025-0503	2.0	2.8	1.5	55	iridium oxide	M1	R	58	kOhm	Parylene-c
22	UtahArray-1025-0503	0.0	3.6	1.5	57	iridium oxide	M1	R	10	kOhm	Parylene-c
23	UtahArray-1025-0503	2.8	2.8	1.5	45	iridium oxide	M1	R	78	kOhm	Parylene-c
24	UtahArray-1025-0503	2.4	3.6	1.5	53	iridium oxide	M1	R	70	kOhm	Parylene-c
25	UtahArray-1025-0503	2.4	2.8	1.5	47	iridium oxide	M1	R	68	kOhm	Parylene-c
26	UtahArray-1025-0503	2.0	3.6	1.5	52	iridium oxide	M1	R	60	kOhm	Parylene-c
27	UtahArray-1025-0503	2.4	3.2	1.5	46	iridium oxide	M1	R	69	kOhm	Parylene-c
28	UtahArray-1025-0503	1.6	3.6	1.5	53	iridium oxide	M1	R	50	kOhm	Parylene-c
29	UtahArray-1025-0503	2.0	3.2	1.5	52	iridium oxide	M1	R	59	kOhm	Parylene-c
30	UtahArray-1025-0503	1.2	3.6	1.5	51	iridium oxide	M1	R	40	kOhm	Parylene-c
31	UtahArray-1025-0503	1.6	3.2	1.5	49	iridium oxide	M1	R	49	kOhm	Parylene-c
32	UtahArray-1025-0503	0.8	3.6	1.5	49	iridium oxide	M1	R	30	kOhm	Parylene-c
33	UtahArray-1025-0503	3.2	0.8	1.5	44	iridium oxide	M1	R	83	kOhm	Parylene-c
34	UtahArray-1025-0503	3.2	1.2	1.5	45	iridium oxide	M1	R	84	kOhm	Parylene-c
35	UtahArray-1025-0503	2.8	0.8	1.5	48	iridium oxide	M1	R	73	kOhm	Parylene-c
36	UtahArray-1025-0503	2.8	1.2	1.5	48	iridium oxide	M1	R	74	kOhm	Parylene-c
37	UtahArray-1025-0503	2.4	0.8	1.5	47	iridium oxide	M1	R	63	kOhm	Parylene-c
38	UtahArray-1025-0503	2.4	1.2	1.5	49	iridium oxide	M1	R	64	kOhm	Parylene-c
39	UtahArray-1025-0503	2.0	0.8	1.5	46	iridium oxide	M1	R	53	kOhm	Parylene-c
40	UtahArray-1025-0503	2.0	1.2	1.5	43	iridium oxide	M1	R	54	kOhm	Parylene-c
41	UtahArray-1025-0503	1.6	0.8	1.5	45	iridium oxide	M1	R	43	kOhm	Parylene-c
42	UtahArray-1025-0503	2.0	1.6	1.5	48	iridium oxide	M1	R	55	kOhm	Parylene-c
43	UtahArray-1025-0503	1.6	1.2	1.5	49	iridium oxide	M1	R	44	kOhm	Parylene-c
44	UtahArray-1025-0503	1.6	1.6	1.5	46	iridium oxide	M1	R	45	kOhm	Parylene-c
45	UtahArray-1025-0503	1.2	0.8	1.5	45	iridium oxide	M1	R	33	kOhm	Parylene-c
46	UtahArray-1025-0503	1.6	2.0	1.5	48	iridium oxide	M1	R	46	kOhm	Parylene-c
47	UtahArray-1025-0503	1.2	1.2	1.5	48	iridium oxide	M1	R	34	kOhm	Parylene-c
48	UtahArray-1025-0503	2.4	1.6	1.5	45	iridium oxide	M1	R	65	kOhm	Parylene-c
49	UtahArray-1025-0503	0.8	1.2	1.5	52	iridium oxide	M1	R	24	kOhm	Parylene-c
50	UtahArray-1025-0503	2.0	2.0	1.5	43	iridium oxide	M1	R	56	kOhm	Parylene-c
51	UtahArray-1025-0503	1.2	1.6	1.5	48	iridium oxide	M1	R	35	kOhm	Parylene-c
52	UtahArray-1025-0503	1.6	2.4	1.5	49	iridium oxide	M1	R	47	kOhm	Parylene-c
53	UtahArray-1025-0503	0.8	1.6	1.5	44	iridium oxide	M1	R	25	kOhm	Parylene-c
54	UtahArray-1025-0503	2.0	2.4	1.5	43	iridium oxide	M1	R	57	kOhm	Parylene-c
55	UtahArray-1025-0503	0.8	2.0	1.5	48	iridium oxide	M1	R	26	kOhm	Parylene-c
56	UtahArray-1025-0503	1.2	2.0	1.5	51	iridium oxide	M1	R	36	kOhm	Parylene-c
57	UtahArray-1025-0503	0.8	2.4	1.5	90	iridium oxide	M1	R	27	kOhm	Parylene-c
58	UtahArray-1025-0503	1.2	2.4	1.5	51	iridium oxide	M1	R	37	kOhm	Parylene-c
59	UtahArray-1025-0503	0.8	2.8	1.5	48	iridium oxide	M1	R	28	kOhm	Parylene-c
60	UtahArray-1025-0503	1.2	2.8	1.5	48	iridium oxide	M1	R	38	kOhm	Parylene-c
61	UtahArray-1025-0503	0.8	3.2	1.5	51	iridium oxide	M1	R	29	kOhm	Parylene-c
62	UtahArray-1025-0503	1.6	2.8	1.5	49	iridium oxide	M1	R	48	kOhm	Parylene-c
63	UtahArray-1025-0503	0.4	3.2	1.5	50	iridium oxide	M1	R	19	kOhm	Parylene-c
64	UtahArray-1025-0503	1.2	3.2	1.5	47	iridium oxide	M1	R	39	kOhm	Parylene-c
65	UtahArray-1025-0503	3.2	0.0	1.5	46	iridium oxide	M1	R	81	kOhm	Parylene-c
66	UtahArray-1025-0503	3.2	0.4	1.5	48	iridium oxide	M1	R	82	kOhm	Parylene-c
67	UtahArray-1025-0503	2.8	0.0	1.5	47	iridium oxide	M1	R	71	kOhm	Parylene-c
68	UtahArray-1025-0503	2.8	0.4	1.5	48	iridium oxide	M1	R	72	kOhm	Parylene-c
69	UtahArray-1025-0503	2.4	0.0	1.5	67	iridium oxide	M1	R	61	kOhm	Parylene-c
70	UtahArray-1025-0503	2.4	0.4	1.5	52	iridium oxide	M1	R	62	kOhm	Parylene-c
71	UtahArray-1025-0503	2.0	0.0	1.5	49	iridium oxide	M1	R	51	kOhm	Parylene-c
72	UtahArray-1025-0503	2.0	0.4	1.5	45	iridium oxide	M1	R	52	kOhm	Parylene-c
73	UtahArray-1025-0503	1.6	0.0	1.5	48	iridium oxide	M1	R	41	kOhm	Parylene-c
74	UtahArray-1025-0503	1.6	0.4	1.5	44	iridium oxide	M1	R	42	kOhm	Parylene-c
75	UtahArray-1025-0503	1.2	0.0	1.5	57	iridium oxide	M1	R	31	kOhm	Parylene-c
76	UtahArray-1025-0503	1.2	0.4	1.5	47	iridium oxide	M1	R	32	kOhm	Parylene-c
77	UtahArray-1025-0503	0.8	0.0	1.5	46	iridium oxide	M1	R	21	kOhm	Parylene-c
78	UtahArray-1025-0503	0.8	0.4	1.5	48	iridium oxide	M1	R	22	kOhm	Parylene-c
79	UtahArray-1025-0503	0.4	0.0	1.5	49	iridium oxide	M1	R	11	kOhm	Parylene-c
80	UtahArray-1025-0503	0.4	0.4	1.5	45	iridium oxide	M1	R	12	kOhm	Parylene-c
81	UtahArray-1025-0503	0.0	0.4	1.5	54	iridium oxide	M1	R	2	kOhm	Parylene-c
82	UtahArray-1025-0503	0.8	0.8	1.5	48	iridium oxide	M1	R	23	kOhm	Parylene-c
83	UtahArray-1025-0503	0.0	0.8	1.5	51	iridium oxide	M1	R	3	kOhm	Parylene-c
84	UtahArray-1025-0503	0.4	0.8	1.5	49	iridium oxide	M1	R	13	kOhm	Parylene-c
85	UtahArray-1025-0503	0.0	1.2	1.5	49	iridium oxide	M1	R	4	kOhm	Parylene-c
86	UtahArray-1025-0503	0.4	1.2	1.5	50	iridium oxide	M1	R	14	kOhm	Parylene-c
87	UtahArray-1025-0503	0.4	1.6	1.5	52	iridium oxide	M1	R	15	kOhm	Parylene-c
88	UtahArray-1025-0503	0.0	1.6	1.5	50	iridium oxide	M1	R	5	kOhm	Parylene-c
89	UtahArray-1025-0503	0.4	2.0	1.5	50	iridium oxide	M1	R	16	kOhm	Parylene-c
90	UtahArray-1025-0503	0.0	2.0	1.5	49	iridium oxide	M1	R	6	kOhm	Parylene-c
91	UtahArray-1025-0503	0.4	2.4	1.5	49	iridium oxide	M1	R	17	kOhm	Parylene-c
92	UtahArray-1025-0503	0.0	2.4	1.5	51	iridium oxide	M1	R	7	kOhm	Parylene-c
93	UtahArray-1025-0503	0.0	2.8	1.5	52	iridium oxide	M1	R	8	kOhm	Parylene-c
94	UtahArray-1025-0503	0.4	2.8	1.5	53	iridium oxide	M1	R	18	kOhm	Parylene-c
95	UtahArray-1025-0503	0.4	3.6	1.5	53	iridium oxide	M1	R	20	kOhm	Parylene-c
96	UtahArray-1025-0503	0.0	3.2	1.5	54	iridium oxide	M1	R	9	kOhm	Parylene-c
ref1	UtahArray-1025-0503	n/a	n/a	n/a	n/a	Pt/Au	M1	R	n/a	n/a	n/a
ref2	UtahArray-1025-0503	n/a	n/a	n/a	n/a	Pt/Au	M1	R	n/a	n/a	n/a
