onset	duration	response_time	button_press	stim_file
n/a	n/a	0.824	1	meg/u075.bmp
n/a	n/a	0.785	1	meg/u114.bmp
n/a	n/a	1.763	1	meg/f008.bmp
n/a	n/a	2.868	1	meg/u100.bmp
n/a	n/a	0.855	1	meg/u030.bmp
n/a	n/a	1.51	1	meg/u133.bmp
n/a	n/a	4.337	1	meg/u036.bmp
n/a	n/a	0.91	1	meg/u084.bmp
n/a	n/a	3.994	2	meg/u125.bmp
n/a	n/a	1.861	1	meg/f147.bmp
n/a	n/a	0.842	1	meg/u117.bmp
n/a	n/a	1.617	1	meg/u088.bmp
n/a	n/a	5.105	2	meg/u110.bmp
n/a	n/a	0.965	1	meg/u035.bmp
n/a	n/a	0.719	1	meg/u134.bmp
n/a	n/a	1.067	1	meg/f079.bmp
n/a	n/a	1.33	3	meg/f065.bmp
n/a	n/a	0.869	1	meg/u118.bmp
n/a	n/a	0.875	1	meg/u017.bmp
n/a	n/a	1.281	2	meg/f128.bmp
n/a	n/a	0.887	1	meg/u029.bmp
n/a	n/a	2.444	1	meg/u149.bmp
n/a	n/a	2.136	1	meg/f063.bmp
n/a	n/a	2.858	2	meg/f036.bmp
n/a	n/a	1.916	1	meg/f046.bmp
n/a	n/a	1.023	1	meg/f031.bmp
n/a	n/a	1.287	1	meg/f077.bmp
n/a	n/a	2.084	1	meg/f098.bmp
n/a	n/a	0.999	1	meg/u009.bmp
n/a	n/a	1.137	1	meg/u106.bmp
n/a	n/a	0.764	1	meg/f032.bmp
n/a	n/a	0.606	1	meg/u054.bmp
n/a	n/a	1.263	1	meg/u092.bmp
n/a	n/a	0.829	1	meg/f142.bmp
n/a	n/a	1.358	2	meg/f041.bmp
n/a	n/a	1.424	2	meg/f069.bmp
n/a	n/a	0.759	1	meg/f023.bmp
n/a	n/a	3.37	1	meg/f072.bmp
n/a	n/a	0.679	1	meg/f073.bmp
n/a	n/a	6.822	1	meg/u041.bmp
n/a	n/a	0.929	1	meg/u138.bmp
n/a	n/a	1.334	3	meg/f029.bmp
n/a	n/a	0.929	1	meg/u046.bmp
n/a	n/a	0.917	1	meg/f010.bmp
n/a	n/a	1.642	1	meg/u005.bmp
n/a	n/a	1.736	2	meg/u116.bmp
n/a	n/a	2.69	1	meg/u144.bmp
n/a	n/a	0.875	1	meg/f067.bmp
n/a	n/a	0.946	1	meg/f087.bmp
n/a	n/a	2.469	2	meg/f027.bmp
n/a	n/a	2.888	2	meg/f080.bmp
n/a	n/a	2.162	1	meg/f097.bmp
n/a	n/a	0.61	1	meg/f114.bmp
n/a	n/a	0.619	1	meg/u142.bmp
n/a	n/a	0.556	1	meg/f006.bmp
n/a	n/a	3.968	1	meg/f122.bmp
n/a	n/a	0.844	1	meg/u051.bmp
n/a	n/a	1.868	1	meg/u016.bmp
n/a	n/a	3.88	2	meg/u107.bmp
n/a	n/a	3.856	1	meg/f091.bmp
n/a	n/a	1.329	1	meg/u040.bmp
