onset	duration	sample	trial_type	response_time	stim_file	value
277.5103437500	1.0000000000	71042.648	stimulus	n/a	n/a	pull_right
280.5223906250	1.0000000000	71813.732	stimulus	n/a	n/a	pull_right
283.7593906250	1.0000000000	72642.404	stimulus	n/a	n/a	pull_left
288.2803906250	1.0000000000	73799.78	stimulus	n/a	n/a	pull_left
291.5653906250	1.0000000000	74640.74	stimulus	n/a	n/a	pull_right
296.3883906250	1.0000000000	75875.428	stimulus	n/a	n/a	pull_left
299.8993906250	1.0000000000	76774.244	stimulus	n/a	n/a	pull_left
304.8933906250	1.0000000000	78052.708	stimulus	n/a	n/a	pull_right
309.4513906250	1.0000000000	79219.556	stimulus	n/a	n/a	pull_right
314.0093906250	1.0000000000	80386.404	stimulus	n/a	n/a	pull_left
318.5733906250	1.0000000000	81554.788	stimulus	n/a	n/a	pull_left
321.6403906250	1.0000000000	82339.94	stimulus	n/a	n/a	pull_right
325.6893906250	1.0000000000	83376.484	stimulus	n/a	n/a	pull_left
330.1403906250	1.0000000000	84515.94	stimulus	n/a	n/a	pull_right
333.1303906250	1.0000000000	85281.38	stimulus	n/a	n/a	pull_left
337.5643906250	1.0000000000	86416.484	stimulus	n/a	n/a	pull_right
342.4463906250	1.0000000000	87666.276	stimulus	n/a	n/a	pull_left
347.1803906250	1.0000000000	88878.18	stimulus	n/a	n/a	pull_right
351.6483906250	1.0000000000	90021.988	stimulus	n/a	n/a	pull_left
354.6673906250	1.0000000000	90794.852	stimulus	n/a	n/a	pull_left
358.4483906250	1.0000000000	91762.788	stimulus	n/a	n/a	pull_right
361.5413906250	1.0000000000	92554.596	stimulus	n/a	n/a	pull_left
365.3433906250	1.0000000000	93527.908	stimulus	n/a	n/a	pull_left
368.6743906250	1.0000000000	94380.644	stimulus	n/a	n/a	pull_left
372.2134375000	1.0000000000	95286.64	stimulus	n/a	n/a	pull_left
375.6253906250	1.0000000000	96160.1	stimulus	n/a	n/a	pull_right
380.0934375000	1.0000000000	97303.92	stimulus	n/a	n/a	pull_right
383.6674375000	1.0000000000	98218.864	stimulus	n/a	n/a	pull_right
388.3934375000	1.0000000000	99428.72	stimulus	n/a	n/a	pull_left
391.7404375000	1.0000000000	100285.552	stimulus	n/a	n/a	pull_right
395.0414375000	1.0000000000	101130.608	stimulus	n/a	n/a	pull_left
399.8284375000	1.0000000000	102356.08	stimulus	n/a	n/a	pull_left
404.8144375000	1.0000000000	103632.496	stimulus	n/a	n/a	pull_left
408.4724375000	1.0000000000	104568.944	stimulus	n/a	n/a	pull_left
411.7754375000	1.0000000000	105414.512	stimulus	n/a	n/a	pull_left
416.4944375000	1.0000000000	106622.576	stimulus	n/a	n/a	pull_right
420.8514375000	1.0000000000	107737.968	stimulus	n/a	n/a	pull_left
425.7734375000	1.0000000000	108998	stimulus	n/a	n/a	pull_right
429.3454375000	1.0000000000	109912.432	stimulus	n/a	n/a	pull_right
434.2774375000	1.0000000000	111175.024	stimulus	n/a	n/a	pull_right
438.8544375000	1.0000000000	112346.736	stimulus	n/a	n/a	pull_right
442.5644375000	1.0000000000	113296.496	stimulus	n/a	n/a	pull_left
446.6624375000	1.0000000000	114345.584	stimulus	n/a	n/a	pull_left
449.7844375000	1.0000000000	115144.816	stimulus	n/a	n/a	pull_left
454.5254375000	1.0000000000	116358.512	stimulus	n/a	n/a	pull_left
459.2844375000	1.0000000000	117576.816	stimulus	n/a	n/a	pull_right
463.4424375000	1.0000000000	118641.264	stimulus	n/a	n/a	pull_right
466.5454375000	1.0000000000	119435.632	stimulus	n/a	n/a	pull_left
470.5904375000	1.0000000000	120471.152	stimulus	n/a	n/a	pull_left
474.9404375000	1.0000000000	121584.752	stimulus	n/a	n/a	pull_right
478.1184843750	1.0000000000	122398.332	stimulus	n/a	n/a	pull_left
481.8094843750	1.0000000000	123343.228	stimulus	n/a	n/a	pull_left
484.9944375000	1.0000000000	124158.576	stimulus	n/a	n/a	pull_right
489.6214375000	1.0000000000	125343.088	stimulus	n/a	n/a	pull_right
494.0794843750	1.0000000000	126484.348	stimulus	n/a	n/a	pull_right
497.4554843750	1.0000000000	127348.604	stimulus	n/a	n/a	pull_right
500.7474843750	1.0000000000	128191.356	stimulus	n/a	n/a	pull_left
504.0034843750	1.0000000000	129024.892	stimulus	n/a	n/a	pull_left
507.8134843750	1.0000000000	130000.252	stimulus	n/a	n/a	pull_left
512.1454843750	1.0000000000	131109.244	stimulus	n/a	n/a	pull_left
516.7104843750	1.0000000000	132277.884	stimulus	n/a	n/a	pull_right
521.1244843750	1.0000000000	133407.868	stimulus	n/a	n/a	pull_right
525.9954843750	1.0000000000	134654.844	stimulus	n/a	n/a	pull_right
529.1744843750	1.0000000000	135468.668	stimulus	n/a	n/a	pull_right
532.7464843750	1.0000000000	136383.1	stimulus	n/a	n/a	pull_right
535.7334843750	1.0000000000	137147.772	stimulus	n/a	n/a	pull_right
538.7734843750	1.0000000000	137926.012	stimulus	n/a	n/a	pull_right
543.5254843750	1.0000000000	139142.524	stimulus	n/a	n/a	pull_left
546.8274843750	1.0000000000	139987.836	stimulus	n/a	n/a	pull_left
549.9404843750	1.0000000000	140784.764	stimulus	n/a	n/a	pull_left
554.4774843750	1.0000000000	141946.236	stimulus	n/a	n/a	pull_left
558.5114843750	1.0000000000	142978.94	stimulus	n/a	n/a	pull_right
561.9224843750	1.0000000000	143852.156	stimulus	n/a	n/a	pull_right
565.7294843750	1.0000000000	144826.748	stimulus	n/a	n/a	pull_right
568.6864843750	1.0000000000	145583.74	stimulus	n/a	n/a	pull_right
572.8584843750	1.0000000000	146651.772	stimulus	n/a	n/a	pull_left
577.7404843750	1.0000000000	147901.564	stimulus	n/a	n/a	pull_right
582.1484843750	1.0000000000	149030.012	stimulus	n/a	n/a	pull_right
585.3524843750	1.0000000000	149850.236	stimulus	n/a	n/a	pull_right
588.6854843750	1.0000000000	150703.484	stimulus	n/a	n/a	pull_left
591.8845312500	1.0000000000	151522.44	stimulus	n/a	n/a	pull_left
595.2174843750	1.0000000000	152375.676	stimulus	n/a	n/a	pull_left
599.9615312500	1.0000000000	153590.152	stimulus	n/a	n/a	pull_right
604.3835312500	1.0000000000	154722.184	stimulus	n/a	n/a	pull_left
608.6055312500	1.0000000000	155803.016	stimulus	n/a	n/a	pull_right
