onset	duration	trial_type	0	1	2	3
0.120	2.000	English-Spanish-Concrete-Novel	nursery	ESCn_19	2984	6
3.120	2.000	Spanish-English-Concrete-Novel	c�sped	SECn_19	2984	11
6.120	2.000	English-Spanish-Concrete-Repeat	guarder�a	ESCr_19	1984	6
8.120	2.000	Spanish-English-Abstract-Novel	arreglo	SEAn_19	1984	12
10.120	2.000	Spanish-Spanish-Concrete-Novel	esponja	SSCn_19	3984	33
14.120	2.000	Spanish-English-Concrete-Repeat	lawn	SECr_19	2984	11
17.120	2.000	English-Spanish-Abstract-Novel	approval	ESAn_19	2984	12
20.120	2.000	Spanish-English-Abstract-Repeat	arrangement	SEAr_19	6984	12
27.120	2.000	English-Spanish-Concrete-Novel	cell	ESCn_20	1984	66
29.120	2.000	English-Spanish-Abstract-Repeat	aprobaci�n	ESAr_19	4984	12
34.120	2.000	English-English-Concrete-Novel	lawyer	EECn_19	3984	53
38.120	2.000	Spanish-English-Abstract-Novel	heredero	SEAn_20	4984	44
43.120	2.000	Spanish-Spanish-Concrete-Repeat	esponja	SSCr_19	2984	33
46.120	2.000	English-English-Abstract-Novel	burden	EEAn_19	6984	7
53.120	2.000	English-English-Abstract-Repeat	burden	EEAr_19	1984	7
55.120	2.000	Spanish-English-Concrete-Novel	garra	SECn_20	7984	64
63.120	2.000	Spanish-Spanish-Abstract-Novel	fingimiento	SSAn_19	1984	17
65.120	2.000	Spanish-Spanish-Concrete-Novel	tortuga	SSCn_20	2984	5
68.120	2.000	English-Spanish-Abstract-Novel	bid	ESAn_20	1984	54
70.120	2.000	Spanish-Spanish-Concrete-Repeat	tortuga	SSCr_20	4984	5
75.120	2.000	Spanish-Spanish-Concrete-Novel	pimiento	SSCn_21	4984	33
80.120	2.000	Spanish-Spanish-Abstract-Repeat	fingimiento	SSAr_19	1984	17
82.120	2.000	Spanish-English-Abstract-Repeat	heir	SEAr_20	4984	44
87.120	2.000	English-English-Concrete-Repeat	lawyer	EECr_19	2984	53
90.120	2.000	Spanish-English-Abstract-Novel	punter�a	SEAn_21	2984	38
93.120	2.000	English-Spanish-Concrete-Repeat	celda	ESCr_20	5984	66
99.120	2.000	English-English-Concrete-Novel	flood	EECn_20	4984	5
104.120	2.000	English-English-Concrete-Repeat	flood	EECr_20	3984	5
108.120	2.000	Spanish-Spanish-Concrete-Repeat	pimiento	SSCr_21	3984	33
112.120	2.000	English-English-Abstract-Novel	envy	EEAn_20	4984	19
117.120	2.000	Spanish-Spanish-Abstract-Novel	m�todo	SSAn_20	1984	29
119.120	2.000	Spanish-English-Concrete-Repeat	claw	SECr_20	2984	64
122.120	2.000	English-Spanish-Abstract-Repeat	oferta	ESAr_20	5984	54
128.120	2.000	Spanish-English-Abstract-Repeat	aim	SEAr_21	2984	38
131.120	2.000	English-English-Abstract-Repeat	envy	EEAr_20	4984	19
136.120	2.000	English-English-Concrete-Novel	mud	EECn_21	4984	33
141.120	2.000	Spanish-English-Concrete-Novel	sargento	SECn_21	1984	15
143.120	2.000	English-Spanish-Abstract-Novel	cowardice	ESAn_21	2984	9
146.120	2.000	Spanish-Spanish-Abstract-Repeat	m�todo	SSAr_20	1984	29
148.120	2.000	English-Spanish-Concrete-Novel	upholstery	ESCn_21	3984	39
152.120	2.000	English-Spanish-Abstract-Repeat	cobard�a	ESAr_21	3984	9
156.120	2.000	Spanish-English-Concrete-Repeat	sergeant	SECr_21	3984	15
160.120	2.000	Spanish-English-Abstract-Novel	mes	SEAn_22	2984	60
163.120	2.000	Spanish-English-Concrete-Novel	fusil	SECn_22	5984	50
169.120	2.000	English-English-Concrete-Repeat	mud	EECr_21	3984	33
173.120	2.000	English-English-Abstract-Novel	miracle	EEAn_21	3984	4
177.120	2.000	English-English-Abstract-Repeat	miracle	EEAr_21	2984	4
180.120	2.000	Spanish-Spanish-Abstract-Novel	descubrimiento	SSAn_21	6984	47
187.120	2.000	English-Spanish-Concrete-Repeat	tapicer�a	ESCr_21	2984	39
190.120	2.000	English-Spanish-Abstract-Novel	arrival	ESAn_22	4984	16
195.120	2.000	English-English-Abstract-Novel	peace	EEAn_22	8984	91
204.120	2.000	English-Spanish-Concrete-Novel	clothing	ESCn_22	1984	20
