onset	duration	trial_type	0	1	2	3
0.120	2.000	Spanish-English-Abstract-Novel	resta	SEAn_13	2984	39
3.120	2.000	Spanish-Spanish-Concrete-Novel	gato	SSCn_13	9984	25
13.120	2.000	English-Spanish-Concrete-Novel	rocket	ESCn_13	2984	69
16.120	2.000	English-English-Abstract-Novel	feint	EEAn_13	2984	18
19.120	2.000	English-English-Concrete-Novel	coin	EECn_13	3984	33
23.120	2.000	Spanish-Spanish-Abstract-Novel	haza�a	SSAn_13	1984	2
25.120	2.000	Spanish-Spanish-Abstract-Repeat	haza�a	SSAr_13	2984	2
28.120	2.000	Spanish-Spanish-Concrete-Repeat	gato	SSCr_13	2984	25
31.120	2.000	Spanish-Spanish-Abstract-Novel	suministro	SSAn_14	2984	98
34.120	2.000	English-English-Abstract-Repeat	feint	EEAr_13	4984	18
39.120	2.000	Spanish-English-Abstract-Repeat	subtraction	SEAr_13	2984	39
42.120	2.000	English-Spanish-Abstract-Novel	patience	ESAn_13	1984	21
44.120	2.000	Spanish-Spanish-Concrete-Novel	barco	SSCn_14	3984	4
48.120	2.000	Spanish-Spanish-Concrete-Repeat	barco	SSCr_14	3984	4
52.120	2.000	English-English-Concrete-Repeat	coin	EECr_13	3984	33
56.120	2.000	English-English-Concrete-Novel	head	EECn_14	1984	20
58.120	2.000	English-English-Abstract-Novel	praise	EEAn_14	4984	38
63.120	2.000	English-Spanish-Abstract-Repeat	paciencia	ESAr_13	2984	21
66.120	2.000	Spanish-English-Concrete-Novel	palo	SECn_13	5984	53
72.120	2.000	English-Spanish-Abstract-Novel	benefit	ESAn_14	3984	12
76.120	2.000	English-English-Concrete-Repeat	head	EECr_14	5984	20
82.120	2.000	English-Spanish-Concrete-Repeat	cohete	ESCr_13	1984	69
84.120	2.000	English-Spanish-Abstract-Repeat	provecho	ESAr_14	7984	12
92.120	2.000	Spanish-Spanish-Concrete-Novel	fuente	SSCn_15	1984	53
94.120	2.000	Spanish-English-Abstract-Novel	irrisi�n	SEAn_14	1984	19
96.120	2.000	English-English-Abstract-Repeat	praise	EEAr_14	2984	38
99.120	2.000	English-English-Concrete-Novel	caterpillar	EECn_15	4984	5
104.120	2.000	English-English-Concrete-Repeat	caterpillar	EECr_15	2984	5
107.120	2.000	English-Spanish-Abstract-Novel	escape	ESAn_15	5984	41
113.120	2.000	Spanish-English-Abstract-Repeat	ridicule	SEAr_14	5984	19
119.120	2.000	Spanish-English-Concrete-Repeat	stick	SECr_13	2984	53
122.120	2.000	Spanish-English-Concrete-Novel	sueldo	SECn_14	1984	10
124.120	2.000	English-Spanish-Concrete-Novel	mountain	ESCn_14	4984	60
129.120	2.000	Spanish-Spanish-Abstract-Repeat	suministro	SSAr_14	2984	98
132.120	2.000	Spanish-English-Concrete-Repeat	salary	SECr_14	2984	10
135.120	2.000	Spanish-English-Concrete-Novel	puerta	SECn_15	6984	16
142.120	2.000	English-English-Abstract-Novel	luxury	EEAn_15	2984	25
145.120	2.000	Spanish-Spanish-Concrete-Repeat	fuente	SSCr_15	2984	53
148.120	2.000	English-Spanish-Abstract-Repeat	fuga	ESAr_15	2984	41
151.120	2.000	Spanish-English-Concrete-Repeat	door	SECr_15	4984	16
156.120	2.000	Spanish-Spanish-Abstract-Novel	comienzo	SSAn_15	2984	20
159.120	2.000	English-Spanish-Abstract-Novel	past	ESAn_16	1984	28
161.120	2.000	Spanish-English-Concrete-Novel	cabra	SECn_16	2984	149
164.120	2.000	English-English-Concrete-Novel	orange	EECn_16	2984	10
167.120	2.000	English-English-Abstract-Repeat	luxury	EEAr_15	4984	25
172.120	2.000	English-English-Abstract-Novel	mischief	EEAn_16	1984	20
174.120	2.000	English-English-Concrete-Repeat	orange	EECr_16	1984	10
176.120	2.000	Spanish-Spanish-Abstract-Repeat	comienzo	SSAr_15	7984	20
184.120	2.000	English-Spanish-Concrete-Repeat	monta�a	ESCr_14	2984	60
187.120	2.000	English-Spanish-Abstract-Repeat	pasado	ESAr_16	1984	28
189.120	2.000	Spanish-English-Abstract-Novel	confianza	SEAn_15	2984	6
192.120	2.000	English-English-Abstract-Repeat	mischief	EEAr_16	2984	20
195.120	2.000	Spanish-English-Abstract-Repeat	trust	SEAr_15	6984	6
202.120	2.000	English-Spanish-Concrete-Novel	leaf	ESCn_15	1984	16
204.120	2.000	English-English-Concrete-Novel	street	EECn_17	4984	32
209.120	2.000	Spanish-Spanish-Concrete-Novel	ajo	SSCn_16	2984	38
212.120	2.000	Spanish-Spanish-Abstract-Novel	mitad	SSAn_16	5984	40
218.120	2.000	English-Spanish-Concrete-Repeat	hoja	ESCr_15	5984	16
224.120	2.000	Spanish-English-Abstract-Novel	a�adidura	SEAn_16	11984	47
236.120	2.000	English-English-Concrete-Repeat	street	EECr_17	1984	32
238.120	2.000	English-Spanish-Abstract-Novel	neglect	ESAn_17	1984	20
240.120	2.000	English-English-Concrete-Novel	jelly	EECn_18	1984	129
242.120	2.000	English-English-Abstract-Novel	failure	EEAn_17	4984	18
247.120	2.000	Spanish-Spanish-Concrete-Repeat	ajo	SSCr_16	4984	38
252.120	2.000	Spanish-Spanish-Abstract-Repeat	mitad	SSAr_16	5984	40
258.120	2.000	English-Spanish-Abstract-Repeat	descuido	ESAr_17	1984	20
260.120	2.000	English-English-Abstract-Repeat	failure	EEAr_17	10984	18
271.120	2.000	Spanish-English-Abstract-Repeat	addition	SEAr_16	5984	47
277.120	2.000	English-Spanish-Abstract-Novel	shortage	ESAn_18	4984	31
282.120	2.000	Spanish-Spanish-Abstract-Novel	verg�enza	SSAn_17	3984	11
286.120	2.000	English-Spanish-Concrete-Novel	chalk	ESCn_16	4984	53
291.120	2.000	Spanish-English-Abstract-Novel	teor�a	SEAn_17	1984	51
293.120	2.000	Spanish-Spanish-Abstract-Repeat	verg�enza	SSAr_17	7984	11
301.120	2.000	Spanish-Spanish-Concrete-Novel	manta	SSCn_17	1984	2
303.120	2.000	Spanish-Spanish-Concrete-Repeat	manta	SSCr_17	4984	2
308.120	2.000	English-Spanish-Abstract-Repeat	escasez	ESAr_18	1984	31
310.120	2.000	Spanish-English-Concrete-Repeat	goat	SECr_16	5984	149
316.120	2.000	Spanish-English-Concrete-Novel	hule	SECn_17	4984	15
321.120	2.000	Spanish-Spanish-Concrete-Novel	paquete	SSCn_18	3984	4
325.120	2.000	Spanish-Spanish-Concrete-Repeat	paquete	SSCr_18	5984	4
331.120	2.000	Spanish-English-Concrete-Repeat	rubber	SECr_17	3984	15
335.120	2.000	English-English-Abstract-Novel	blame	EEAn_18	3984	26
339.120	2.000	English-Spanish-Concrete-Repeat	tiza	ESCr_16	2984	53
342.120	2.000	Spanish-English-Abstract-Repeat	theory	SEAr_17	3984	51
346.120	2.000	Spanish-Spanish-Abstract-Novel	legado	SSAn_18	1984	5
348.120	2.000	English-Spanish-Concrete-Novel	shoulder	ESCn_17	2984	7
351.120	2.000	Spanish-Spanish-Abstract-Repeat	legado	SSAr_18	3984	5
355.120	2.000	English-Spanish-Concrete-Repeat	hombro	ESCr_17	2984	7
358.120	2.000	Spanish-English-Abstract-Novel	recuerdo	SEAn_18	2984	28
361.120	2.000	English-English-Abstract-Repeat	blame	EEAr_18	7984	26
369.120	2.000	English-English-Concrete-Repeat	jelly	EECr_18	4984	129
374.120	2.000	English-Spanish-Concrete-Novel	chin	ESCn_18	11984	18
386.120	2.000	Spanish-English-Abstract-Repeat	memory	SEAr_18	2984	28
389.120	2.000	Spanish-English-Concrete-Novel	guante	SECn_18	2984	7
392.120	2.000	English-Spanish-Concrete-Repeat	barbilla	ESCr_18	3984	18
396.120	2.000	Spanish-English-Concrete-Repeat	glove	SECr_18	3984	7
