onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.194	2.000	feedback	0.640	1	2	5	L	1.726	1	L
4.611	2.000	feedback	0.640	2	2	7	R	1.322	1	R
9.112	2.000	feedback	0.640	3	2	10	R	1.189	1	R
13.610	2.000	feedback	-1.360	4	2	10	-	0.000	-1	R
18.185	2.000	feedback	0.640	5	2	11	L	1.054	1	L
22.672	n/a	n/a	n/a	6	2	0	-	0.000	-	-
27.171	n/a	n/a	n/a	7	2	0	R	0.503	-	-
31.670	n/a	n/a	n/a	8	2	0	-	0.000	-	-
36.084	2.000	feedback	0.640	9	2	2	L	0.918	1	L
40.621	2.000	feedback	0.640	10	2	7	R	1.376	1	R
45.114	2.000	feedback	0.640	11	2	8	L	0.955	1	L
49.583	2.000	feedback	0.640	12	2	3	L	0.788	1	L
54.112	2.000	feedback	-1.360	13	2	6	L	1.111	0	R
58.671	n/a	n/a	n/a	14	2	0	R	0.676	-	-
63.171	n/a	n/a	n/a	15	2	0	-	0.000	-	-
67.671	n/a	n/a	n/a	16	2	0	R	0.485	-	-
72.112	2.000	feedback	0.640	17	2	8	L	1.377	1	L
76.611	2.000	feedback	-1.360	18	2	7	-	0.000	-1	R
81.083	2.000	feedback	0.640	19	2	2	L	0.777	1	L
85.584	2.000	feedback	0.640	20	2	4	R	1.108	1	R
90.121	2.000	feedback	0.640	21	2	7	R	1.118	1	R
94.685	n/a	n/a	n/a	22	2	0	R	0.759	-	-
99.171	n/a	n/a	n/a	23	2	0	-	0.000	-	-
103.671	n/a	n/a	n/a	24	2	0	R	0.517	-	-
108.186	2.000	feedback	0.640	25	2	13	R	2.354	1	R
112.584	2.000	feedback	-1.360	26	2	1	-	0.000	-1	R
117.121	2.000	feedback	0.640	27	2	10	R	1.183	1	R
121.692	2.000	feedback	0.640	28	2	11	L	0.848	1	L
126.084	2.000	feedback	-1.360	29	2	4	-	0.000	-1	R
130.696	n/a	n/a	n/a	30	2	0	R	0.758	-	-
135.171	n/a	n/a	n/a	31	2	0	R	0.491	-	-
139.675	n/a	n/a	n/a	32	2	0	R	0.572	-	-
144.111	2.000	feedback	0.640	33	2	8	L	1.157	1	L
148.584	2.000	feedback	-1.360	34	2	3	-	0.000	-1	L
153.198	2.000	feedback	-1.360	35	2	12	-	0.000	-1	L
157.611	2.000	feedback	0.640	36	2	10	R	1.265	1	R
162.084	2.000	feedback	0.640	37	2	4	R	1.293	1	R
166.697	n/a	n/a	n/a	38	2	0	-	0.000	-	-
171.171	n/a	n/a	n/a	39	2	0	R	0.389	-	-
175.671	n/a	n/a	n/a	40	2	0	R	0.450	-	-
180.108	2.000	feedback	-1.360	41	2	10	-	0.000	-1	R
184.686	2.000	feedback	-1.360	42	2	12	R	1.417	0	L
189.087	2.000	feedback	0.640	43	2	4	R	0.806	1	R
193.591	2.000	feedback	0.640	44	2	3	L	0.699	1	L
198.115	2.000	feedback	0.640	45	2	5	L	1.183	1	L
202.685	n/a	n/a	n/a	46	2	0	R	0.685	-	-
207.170	n/a	n/a	n/a	47	2	0	R	1.175	-	-
211.672	n/a	n/a	n/a	48	2	0	R	0.538	-	-
216.084	2.000	feedback	-1.360	49	2	1	L	0.974	0	R
220.698	2.000	feedback	0.640	50	2	13	R	2.401	1	R
225.185	2.000	feedback	0.640	51	2	13	R	1.384	1	R
229.584	2.000	feedback	0.640	52	2	3	L	0.804	1	L
234.199	2.000	feedback	0.640	53	2	14	L	0.917	1	L
238.671	n/a	n/a	n/a	54	2	0	R	0.876	-	-
243.170	n/a	n/a	n/a	55	2	0	-	0.000	-	-
247.671	n/a	n/a	n/a	56	2	0	R	0.508	-	-
252.185	2.000	feedback	-1.360	57	2	13	-	0.000	-1	R
256.584	2.000	feedback	0.640	58	2	3	L	0.741	1	L
261.198	2.000	feedback	0.640	59	2	11	L	1.031	1	L
265.612	2.000	feedback	-1.360	60	2	9	R	1.605	0	L
270.183	2.000	feedback	0.640	61	2	13	R	2.159	1	R
274.665	n/a	n/a	n/a	62	2	0	R	0.828	-	-
279.172	n/a	n/a	n/a	63	2	0	R	0.505	-	-
283.671	n/a	n/a	n/a	64	2	0	R	0.465	-	-
288.111	2.000	feedback	-1.360	65	2	9	-	0.000	-1	L
292.608	2.000	feedback	0.640	66	2	5	L	0.861	1	L
297.111	2.000	feedback	0.640	67	2	5	L	0.738	1	L
301.584	2.000	feedback	0.640	68	2	4	R	0.935	1	R
306.117	2.000	feedback	-1.360	69	2	10	-	0.000	-1	R
310.678	n/a	n/a	n/a	70	2	0	-	0.000	-	-
315.163	n/a	n/a	n/a	71	2	0	R	0.467	-	-
319.667	n/a	n/a	n/a	72	2	0	R	0.460	-	-
324.087	2.000	feedback	-1.360	73	2	1	L	1.093	0	R
328.615	2.000	feedback	0.640	74	2	10	R	1.274	1	R
333.111	2.000	feedback	0.640	75	2	8	L	1.058	1	L
337.611	2.000	feedback	0.640	76	2	7	R	1.314	1	R
342.112	2.000	feedback	-1.360	77	2	6	L	1.173	0	R
346.683	n/a	n/a	n/a	78	2	0	R	0.701	-	-
351.170	n/a	n/a	n/a	79	2	0	R	0.590	-	-
355.671	n/a	n/a	n/a	80	2	0	R	0.609	-	-
