onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.224	2.000	feedback	-1.280	1	2	13	L	1.924	0	R
4.688	2.000	feedback	0.720	2	2	12	L	1.999	1	L
9.188	2.000	feedback	0.720	3	2	12	L	1.428	1	L
13.614	2.000	feedback	-1.280	4	2	7	L	1.409	0	R
18.113	2.000	feedback	0.720	5	2	7	R	0.927	1	R
22.678	n/a	n/a	n/a	6	2	0	R	0.743	-	-
27.177	n/a	n/a	n/a	7	2	0	R	0.412	-	-
31.677	n/a	n/a	n/a	8	2	0	R	0.433	-	-
36.187	2.000	feedback	0.720	9	2	11	L	1.968	1	L
40.687	2.000	feedback	0.720	10	2	11	L	1.124	1	L
45.113	2.000	feedback	0.720	11	2	10	R	1.407	1	R
49.588	2.000	feedback	-1.280	12	2	3	R	1.214	0	L
54.112	2.000	feedback	0.720	13	2	8	L	1.177	1	L
58.678	n/a	n/a	n/a	14	2	0	R	0.736	-	-
63.177	n/a	n/a	n/a	15	2	0	R	0.374	-	-
67.677	n/a	n/a	n/a	16	2	0	R	0.433	-	-
72.110	2.000	feedback	0.720	17	2	7	R	1.263	1	R
76.685	2.000	feedback	0.720	18	2	13	R	1.705	1	R
81.084	2.000	feedback	0.720	19	2	3	L	1.340	1	L
85.588	2.000	feedback	-1.280	20	2	2	-	0.000	-1	L
90.088	2.000	feedback	0.720	21	2	2	L	0.692	1	L
94.703	n/a	n/a	n/a	22	2	0	R	0.712	-	-
99.182	n/a	n/a	n/a	23	2	0	R	0.330	-	-
103.677	n/a	n/a	n/a	24	2	0	R	0.435	-	-
108.109	2.000	feedback	0.720	25	2	10	R	1.026	1	R
112.612	2.000	feedback	-1.280	26	2	6	L	1.361	0	R
117.088	2.000	feedback	-1.280	27	2	1	L	0.934	0	R
121.610	2.000	feedback	-1.280	28	2	9	R	1.333	0	L
126.114	2.000	feedback	0.720	29	2	10	R	1.170	1	R
130.690	n/a	n/a	n/a	30	2	0	R	0.695	-	-
135.177	n/a	n/a	n/a	31	2	0	-	0.000	-	-
139.676	n/a	n/a	n/a	32	2	0	R	0.365	-	-
144.113	2.000	feedback	0.720	33	2	10	R	1.448	1	R
148.584	2.000	feedback	-1.280	34	2	2	-	0.000	-1	L
153.112	2.000	feedback	0.720	35	2	8	L	1.054	1	L
157.688	2.000	feedback	-1.280	36	2	13	-	0.000	-1	R
162.088	2.000	feedback	0.720	37	2	3	L	1.431	1	L
166.676	n/a	n/a	n/a	38	2	0	R	0.687	-	-
171.177	n/a	n/a	n/a	39	2	0	R	0.370	-	-
175.676	n/a	n/a	n/a	40	2	0	R	0.551	-	-
180.187	2.000	feedback	0.720	41	2	11	L	1.150	1	L
184.612	2.000	feedback	0.720	42	2	5	L	1.275	1	L
189.113	2.000	feedback	-1.280	43	2	10	-	0.000	-1	R
193.610	2.000	feedback	-1.280	44	2	6	L	0.994	0	R
198.087	2.000	feedback	0.720	45	2	1	R	1.481	1	R
202.677	n/a	n/a	n/a	46	2	0	R	0.744	-	-
207.177	n/a	n/a	n/a	47	2	0	R	0.355	-	-
211.678	n/a	n/a	n/a	48	2	0	R	0.471	-	-
216.110	2.000	feedback	-1.280	49	2	5	-	0.000	-1	L
220.687	2.000	feedback	0.720	50	2	11	L	1.161	1	L
225.113	2.000	feedback	0.720	51	2	7	R	2.135	1	R
229.613	2.000	feedback	0.720	52	2	10	R	0.924	1	R
234.188	2.000	feedback	0.720	53	2	13	R	1.430	1	R
238.677	n/a	n/a	n/a	54	2	0	R	0.817	-	-
243.177	n/a	n/a	n/a	55	2	0	R	0.405	-	-
247.678	n/a	n/a	n/a	56	2	0	R	0.513	-	-
252.113	2.000	feedback	-1.280	57	2	9	R	1.128	0	L
256.688	2.000	feedback	-1.280	58	2	12	R	1.532	0	L
261.087	2.000	feedback	0.720	59	2	3	L	1.484	1	L
265.688	2.000	feedback	0.720	60	2	12	L	1.396	1	L
270.187	2.000	feedback	0.720	61	2	14	L	1.090	1	L
274.676	n/a	n/a	n/a	62	2	0	-	0.000	-	-
279.178	n/a	n/a	n/a	63	2	0	R	0.302	-	-
283.679	n/a	n/a	n/a	64	2	0	R	0.449	-	-
288.114	2.000	feedback	-1.280	65	2	7	L	1.070	0	R
292.688	2.000	feedback	0.720	66	2	13	R	1.909	1	R
297.088	2.000	feedback	-1.280	67	2	3	-	0.000	-1	L
301.613	2.000	feedback	-1.280	68	2	7	-	0.000	-1	R
306.110	2.000	feedback	0.720	69	2	7	R	1.706	1	R
310.689	n/a	n/a	n/a	70	2	0	R	0.640	-	-
315.176	n/a	n/a	n/a	71	2	0	-	0.000	-	-
319.676	n/a	n/a	n/a	72	2	0	R	0.438	-	-
324.114	2.000	feedback	0.720	73	2	10	R	1.691	1	R
328.589	2.000	feedback	0.720	74	2	4	R	1.192	1	R
333.087	2.000	feedback	-1.280	75	2	1	L	0.937	0	R
337.610	2.000	feedback	0.720	76	2	10	R	1.022	1	R
342.085	2.000	feedback	0.720	77	2	3	L	0.989	1	L
346.676	n/a	n/a	n/a	78	2	0	-	0.000	-	-
351.177	n/a	n/a	n/a	79	2	0	R	0.378	-	-
355.677	n/a	n/a	n/a	80	2	0	R	0.367	-	-
