onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.118	2.000	classification-probabilistic	1.000	1.000	10.000	R	1.756	1.000
5.896	2.000	classification-deterministic	3.000	2.000	5.000	L	1.545	1.000
13.206	2.000	classification-deterministic	5.000	2.000	13.000	R	1.906	1.000
18.396	2.000	classification-deterministic	7.000	2.000	10.000	R	1.229	1.000
25.620	2.000	classification-probabilistic	9.000	1.000	6.000	-	0.000	-1.000
32.481	2.000	classification-probabilistic	11.000	1.000	1.000	L	1.009	1.000
35.723	2.000	classification-probabilistic	13.000	1.000	8.000	L	1.429	1.000
40.922	2.000	classification-deterministic	15.000	2.000	3.000	L	1.471	1.000
44.183	2.000	classification-deterministic	17.000	2.000	12.000	R	2.130	0.000
48.594	2.000	classification-probabilistic	19.000	1.000	14.000	L	1.499	1.000
51.584	2.000	classification-probabilistic	21.000	1.000	1.000	L	0.704	1.000
56.678	2.000	classification-probabilistic	23.000	1.000	8.000	-	0.000	-1.000
60.117	2.000	classification-probabilistic	25.000	1.000	5.000	-	0.000	-1.000
65.494	2.000	classification-probabilistic	27.000	1.000	10.000	R	1.047	1.000
71.183	2.000	classification-deterministic	29.000	2.000	12.000	-	0.000	-1.000
75.922	2.000	classification-deterministic	31.000	2.000	2.000	L	0.650	1.000
80.609	2.000	classification-deterministic	33.000	2.000	5.000	L	1.024	1.000
84.492	2.000	classification-probabilistic	35.000	1.000	10.000	R	0.958	1.000
91.206	2.000	classification-deterministic	37.000	2.000	4.000	-	0.000	-1.000
97.203	2.000	classification-deterministic	39.000	2.000	4.000	-	0.000	-1.000
101.186	2.000	classification-deterministic	41.000	2.000	12.000	R	1.983	0.000
105.912	2.000	classification-probabilistic	43.000	1.000	14.000	L	1.037	1.000
113.207	2.000	classification-deterministic	45.000	2.000	4.000	R	0.973	1.000
116.493	2.000	classification-probabilistic	47.000	1.000	6.000	L	1.006	0.000
119.701	2.000	classification-probabilistic	49.000	1.000	2.000	L	1.100	1.000
124.423	2.000	classification-probabilistic	51.000	1.000	4.000	R	0.741	1.000
131.817	2.000	classification-deterministic	53.000	2.000	1.000	L	1.226	0.000
139.483	2.000	classification-probabilistic	55.000	1.000	13.000	R	1.346	1.000
142.813	2.000	classification-probabilistic	57.000	1.000	1.000	L	0.771	1.000
146.311	2.000	classification-probabilistic	59.000	1.000	4.000	R	1.403	1.000
150.316	2.000	classification-probabilistic	61.000	1.000	11.000	L	0.897	1.000
156.594	2.000	classification-deterministic	63.000	2.000	11.000	L	1.216	1.000
159.900	2.000	classification-probabilistic	n/a	n/a	n/a	n/a	n/a	n/a
159.950	n/a	n/a	65.000	1.000	1.000	L	0.799	1.000
163.084	2.000	classification-deterministic	67.000	2.000	4.000	R	0.929	1.000
167.399	2.000	classification-deterministic	69.000	2.000	7.000	-	0.000	-1.000
170.384	2.000	classification-deterministic	71.000	2.000	7.000	-	0.000	-1.000
174.221	2.000	classification-deterministic	73.000	2.000	9.000	-	0.000	-1.000
180.392	2.000	classification-probabilistic	75.000	1.000	10.000	R	0.909	1.000
185.595	2.000	classification-probabilistic	77.000	1.000	11.000	-	0.000	-1.000
190.481	2.000	classification-deterministic	79.000	2.000	4.000	R	1.025	1.000
194.922	2.000	classification-deterministic	81.000	2.000	3.000	L	1.087	1.000
199.187	2.000	classification-deterministic	83.000	2.000	13.000	R	2.077	1.000
202.183	2.000	classification-deterministic	85.000	2.000	12.000	R	2.064	0.000
208.792	2.000	classification-probabilistic	87.000	1.000	5.000	L	0.919	1.000
213.380	2.000	classification-probabilistic	89.000	1.000	6.000	L	1.647	0.000
219.887	2.000	classification-deterministic	91.000	2.000	5.000	L	1.021	1.000
223.183	2.000	classification-deterministic	93.000	2.000	11.000	L	0.968	1.000
226.720	2.000	classification-deterministic	95.000	2.000	8.000	L	0.762	1.000
229.884	2.000	classification-deterministic	97.000	2.000	8.000	L	1.908	1.000
235.782	2.000	classification-probabilistic	99.000	1.000	6.000	L	1.780	0.000
240.817	2.000	classification-probabilistic	101.000	1.000	11.000	L	0.941	1.000
244.110	2.000	classification-deterministic	103.000	2.000	5.000	L	2.386	1.000
247.976	2.000	classification-probabilistic	105.000	1.000	2.000	L	0.984	1.000
252.481	2.000	classification-probabilistic	107.000	1.000	13.000	R	1.059	1.000
258.011	2.000	classification-probabilistic	109.000	1.000	6.000	-	0.000	-1.000
261.582	2.000	classification-probabilistic	111.000	1.000	3.000	-	0.000	-1.000
265.721	2.000	classification-deterministic	113.000	2.000	5.000	L	1.026	1.000
272.397	2.000	classification-deterministic	115.000	2.000	7.000	-	0.000	-1.000
275.683	2.000	classification-deterministic	117.000	2.000	12.000	R	1.024	0.000
281.698	2.000	classification-probabilistic	119.000	1.000	4.000	R	0.855	1.000
289.120	2.000	classification-probabilistic	121.000	1.000	6.000	L	2.008	0.000
293.476	2.000	classification-probabilistic	123.000	1.000	2.000	L	1.103	1.000
299.206	2.000	classification-deterministic	125.000	2.000	1.000	-	0.000	-1.000
304.315	2.000	classification-deterministic	127.000	2.000	1.000	L	0.752	0.000
307.523	2.000	classification-deterministic	129.000	2.000	14.000	L	0.837	1.000
310.810	2.000	classification-deterministic	131.000	2.000	4.000	R	0.872	1.000
316.010	2.000	classification-probabilistic	133.000	1.000	6.000	-	0.000	-1.000
322.317	2.000	classification-probabilistic	135.000	1.000	14.000	L	2.430	1.000
325.217	2.000	classification-probabilistic	137.000	1.000	10.000	R	0.954	1.000
328.420	2.000	classification-probabilistic	139.000	1.000	4.000	R	0.764	1.000
332.512	2.000	classification-deterministic	141.000	2.000	10.000	R	2.120	1.000
336.613	2.000	classification-deterministic	143.000	2.000	8.000	L	1.364	1.000
339.883	2.000	classification-deterministic	145.000	2.000	5.000	L	1.138	1.000
344.012	2.000	classification-deterministic	147.000	2.000	7.000	-	0.000	-1.000
349.284	2.000	classification-deterministic	149.000	2.000	5.000	L	0.681	1.000
352.791	2.000	classification-probabilistic	151.000	1.000	12.000	R	0.967	-1.000
358.712	2.000	classification-probabilistic	153.000	1.000	2.000	L	1.762	1.000
362.382	2.000	classification-probabilistic	155.000	1.000	10.000	R	2.420	1.000
366.779	2.000	classification-probabilistic	157.000	1.000	5.000	L	1.111	1.000
372.721	2.000	classification-deterministic	159.000	2.000	8.000	L	0.920	1.000
377.000	2.000	classification-deterministic	161.000	2.000	6.000	L	0.832	0.000
379.996	2.000	classification-deterministic	163.000	2.000	10.000	R	0.926	1.000
383.697	2.000	classification-probabilistic	165.000	1.000	1.000	L	0.897	1.000
386.695	2.000	classification-probabilistic	167.000	1.000	3.000	L	1.102	0.000
391.385	2.000	classification-probabilistic	169.000	1.000	8.000	L	1.588	1.000
395.810	2.000	classification-deterministic	171.000	2.000	2.000	L	0.836	1.000
401.110	2.000	classification-deterministic	173.000	2.000	9.000	R	1.529	0.000
405.216	2.000	classification-probabilistic	175.000	1.000	10.000	R	1.006	1.000
408.394	2.000	classification-probabilistic	177.000	1.000	6.000	-	0.000	-1.000
411.697	2.000	classification-deterministic	179.000	2.000	4.000	-	0.000	-1.000
416.225	2.000	classification-deterministic	181.000	2.000	7.000	R	1.647	1.000
422.105	2.000	classification-probabilistic	183.000	1.000	10.000	R	0.900	1.000
426.685	2.000	classification-probabilistic	185.000	1.000	11.000	L	1.026	1.000
431.111	2.000	classification-probabilistic	187.000	1.000	8.000	L	0.679	1.000
434.613	2.000	classification-deterministic	189.000	2.000	10.000	R	0.903	1.000
437.723	2.000	classification-deterministic	191.000	2.000	10.000	R	1.004	1.000
443.221	2.000	classification-probabilistic	193.000	1.000	10.000	R	1.088	1.000
448.984	2.000	classification-probabilistic	195.000	1.000	2.000	L	0.897	1.000
452.112	2.000	classification-deterministic	197.000	2.000	10.000	R	1.014	1.000
456.497	2.000	classification-deterministic	199.000	2.000	7.000	R	1.324	1.000
