name	component	type	tracked_point	units	sampling_frequency	placement
Rigid3_eul_x	x	ORNT	Rigid3	rad	480.118858392593	Rigid3
Rigid3_eul_y	y	ORNT	Rigid3	rad	480.118858392593	Rigid3
Rigid3_eul_z	z	ORNT	Rigid3	rad	480.118858392593	Rigid3
Rigid3_cart_x	x	POS	Rigid3	m	480.118858392593	Rigid3
Rigid3_cart_y	y	POS	Rigid3	m	480.118858392593	Rigid3
Rigid3_cart_z	z	POS	Rigid3	m	480.118858392593	Rigid3
Rigid3_Conf	n/a	MISC	Rigid3	n/a	480.118858392593	Rigid3
PhaseSpace3_latency	n/a	LATENCY	n/a	seconds	480.118858392593	n/a
