name	type	x	y	z	template_x	template_y	template_z
Rx2	detector	41.89665161	49.77969836	116.0459167	n/a	n/a	n/a
Rx1	detector	29.01366412	68.06811152	95.57437032	n/a	n/a	n/a
Rx4	detector	18.76546841	29.37500445	142.3465364	n/a	n/a	n/a
Rx3	detector	-13.80921549	46.0208781	136.3888361	n/a	n/a	n/a
Rx6	detector	-53.56346351	71.30533644	76.53003644	n/a	n/a	n/a
Rx5	detector	62.27512955	69.57114776	50.34640646	n/a	n/a	n/a
Rx8	detector	-68.23173383	48.6468258	107.1108001	n/a	n/a	n/a
Rx7	detector	31.16835606	78.43595068	69.68356556	n/a	n/a	n/a
Rx9	detector	68.91893025	-63.69303215	53.0638163	n/a	n/a	n/a
Rx11	detector	39.65537443	-74.437728	75.29408604	n/a	n/a	n/a
Rx10	detector	-48.03708214	-75.10478204	85.61689479	n/a	n/a	n/a
Rx12	detector	-63.13038599	-46.74116281	110.7353007	n/a	n/a	n/a
Tx1a	source	51.18447602	49.24227233	111.4102177	n/a	n/a	n/a
Tx4	source	50.19688679	28.14997161	127.4262262	n/a	n/a	n/a
Tx1b	source	37.88230055	68.16017631	92.30885716	n/a	n/a	n/a
Tx3	source	14.56411974	53.81114193	127.8923259	n/a	n/a	n/a
Tx1c	source	20.39702756	19.82890942	143.3174594	n/a	n/a	n/a
Tx2	source	0.811439418	71.10151709	107.1915401	n/a	n/a	n/a
Tx5	source	-9.138966547	18.75851302	145.1710307	n/a	n/a	n/a
Tx1d	source	-24.13598657	42.45311485	136.2344131	n/a	n/a	n/a
Tx6a	source	-49.21861524	74.97506462	68.41613817	n/a	n/a	n/a
Tx9	source	-79.0295382	58.71202096	80.20993564	n/a	n/a	n/a
Tx6b	source	69.83353713	64.97918344	47.23131364	n/a	n/a	n/a
Tx8	source	31.01020516	81.90115727	41.25570707	n/a	n/a	n/a
Tx6c	source	-70.94201487	42.11072624	111.5526346	n/a	n/a	n/a
Tx7	source	58.50208625	67.12136698	79.83172422	n/a	n/a	n/a
Tx10	source	-46.4834044	67.75952665	104.8751317	n/a	n/a	n/a
Tx6d	source	23.82082337	78.72492724	72.70286994	n/a	n/a	n/a
Tx12	source	41.43966662	-77.71089539	41.65363234	n/a	n/a	n/a
Tx13	source	63.45454121	-58.5160942	87.6727299	n/a	n/a	n/a
Tx14	source	-73.49645235	-59.39279675	90.13303376	n/a	n/a	n/a
Tx15	source	-37.40047834	-66.41785656	109.1970056	n/a	n/a	n/a
Tx11a	source	76.96689317	-59.21122756	47.49876186	n/a	n/a	n/a
Tx11b	source	-43.5407919	-76.9305937	75.90372278	n/a	n/a	n/a
Tx11c	source	31.87252127	-74.95808146	79.84500972	n/a	n/a	n/a
Tx11d	source	-66.1037531	-37.86751513	115.6460431	n/a	n/a	n/a
