onset	duration	trial_type	response_time	sample	value
85.5312500000	n/a	stimulus	n/a	21896.0000000000	128
88.1523437500	n/a	response	n/a	22567.0000000000	2
92.0429687500	n/a	response	n/a	23563.0000000000	4
95.8515625000	n/a	response	n/a	24538.0000000000	4
180.8593750000	n/a	stimulus	n/a	46300.0000000000	128
183.9023437500	n/a	response	n/a	47079.0000000000	4
187.8906250000	n/a	response	n/a	48100.0000000000	4
192.4375000000	n/a	response	n/a	49264.0000000000	4
314.4453125000	n/a	stimulus	n/a	80498.0000000000	128
317.3515625000	n/a	response	n/a	81242.0000000000	4
320.2460937500	n/a	response	n/a	81983.0000000000	2
323.8984375000	n/a	response	n/a	82918.0000000000	2
351.8984375000	n/a	stimulus	n/a	90086.0000000000	128
355.8437500000	n/a	response	n/a	91096.0000000000	2
358.8203125000	n/a	response	n/a	91858.0000000000	4
362.6523437500	n/a	response	n/a	92839.0000000000	4
436.6484375000	n/a	stimulus	n/a	111782.0000000000	128
440.0468750000	n/a	response	n/a	112652.0000000000	4
443.2265625000	n/a	response	n/a	113466.0000000000	2
445.7812500000	n/a	response	n/a	114120.0000000000	2
546.7890625000	n/a	stimulus	n/a	139978.0000000000	128
549.4335937500	n/a	response	n/a	140655.0000000000	2
554.0625000000	n/a	response	n/a	141840.0000000000	2
556.6289062500	n/a	response	n/a	142497.0000000000	4
604.6328125000	n/a	stimulus	n/a	154786.0000000000	128
607.6757812500	n/a	response	n/a	155565.0000000000	2
610.6484375000	n/a	response	n/a	156326.0000000000	4
612.9492187500	n/a	response	n/a	156915.0000000000	4
655.9531250000	n/a	stimulus	n/a	167924.0000000000	128
658.5781250000	n/a	response	n/a	168596.0000000000	2
660.6835937500	n/a	response	n/a	169135.0000000000	4
663.1601562500	n/a	response	n/a	169769.0000000000	4
720.1640625000	n/a	stimulus	n/a	184362.0000000000	128
722.7968750000	n/a	response	n/a	185036.0000000000	2
726.0585937500	n/a	response	n/a	185871.0000000000	4
729.3750000000	n/a	response	n/a	186720.0000000000	4
824.3828125000	n/a	stimulus	n/a	211042.0000000000	128
828.2539062500	n/a	response	n/a	212033.0000000000	4
831.6992187500	n/a	response	n/a	212915.0000000000	2
835.0429687500	n/a	response	n/a	213771.0000000000	2
909.0507812500	n/a	stimulus	n/a	232717.0000000000	128
912.6835937500	n/a	response	n/a	233647.0000000000	4
916.2617187500	n/a	response	n/a	234563.0000000000	2
920.7265625000	n/a	response	n/a	235706.0000000000	2
973.7304687500	n/a	stimulus	n/a	249275.0000000000	128
976.6171875000	n/a	response	n/a	250014.0000000000	4
978.7656250000	n/a	response	n/a	250564.0000000000	2
980.9453125000	n/a	response	n/a	251122.0000000000	4
1011.9492187500	n/a	stimulus	n/a	259059.0000000000	128
1014.8164062500	n/a	response	n/a	259793.0000000000	2
1017.1640625000	n/a	response	n/a	260394.0000000000	4
1019.4023437500	n/a	response	n/a	260967.0000000000	4
1075.3828125000	n/a	stimulus	n/a	275298.0000000000	128
1084.5937500000	n/a	response	n/a	277656.0000000000	8
