name	type	source	detector	wavelength_nominal	units	wavelength_actual	sampling_frequency	short_channel
Rx9-Tx13 [853nm]	NIRSCWOPTICALDENSITY	Tx13	Rx9	850	unitless	853	50	false
Rx9-Tx11a [756nm]	NIRSCWOPTICALDENSITY	Tx11a	Rx9	760	unitless	756	50	true
Rx9-Tx11a [854nm]	NIRSCWOPTICALDENSITY	Tx11a	Rx9	850	unitless	844	50	true
Rx11-Tx12 [756nm]	NIRSCWOPTICALDENSITY	Tx12	Rx11	760	unitless	756	50	false
Rx11-Tx12 [853nm]	NIRSCWOPTICALDENSITY	Tx12	Rx11	850	unitless	854	50	false
Rx11-Tx13 [757nm]	NIRSCWOPTICALDENSITY	Tx13	Rx11	760	unitless	756	50	false
Rx11-Tx13 [853nm]	NIRSCWOPTICALDENSITY	Tx13	Rx11	850	unitless	853	50	false
Rx11-Tx11c [756nm]	NIRSCWOPTICALDENSITY	Tx11c	Rx11	760	unitless	756	50	true
Rx11-Tx11c [854nm]	NIRSCWOPTICALDENSITY	Tx11c	Rx11	850	unitless	844	50	true
Rx10-Tx14 [756nm]	NIRSCWOPTICALDENSITY	Tx14	Rx10	760	unitless	756	50	false
Rx10-Tx14 [854nm]	NIRSCWOPTICALDENSITY	Tx14	Rx10	850	unitless	853	50	false
Rx10-Tx11b [756nm]	NIRSCWOPTICALDENSITY	Tx11b	Rx10	760	unitless	756	50	true
Rx10-Tx11b [854nm]	NIRSCWOPTICALDENSITY	Tx11b	Rx10	850	unitless	844	50	true
Rx12-Tx14 [756nm]	NIRSCWOPTICALDENSITY	Tx14	Rx12	760	unitless	756	50	false
Rx12-Tx14 [854nm]	NIRSCWOPTICALDENSITY	Tx14	Rx12	850	unitless	853	50	false
Rx12-Tx15 [756nm]	NIRSCWOPTICALDENSITY	Tx15	Rx12	760	unitless	757	50	false
Rx12-Tx15 [853nm]	NIRSCWOPTICALDENSITY	Tx15	Rx12	850	unitless	853	50	false
Rx12-Tx11d [756nm]	NIRSCWOPTICALDENSITY	Tx11d	Rx12	760	unitless	756	50	true
Rx12-Tx11d [854nm]	NIRSCWOPTICALDENSITY	Tx11d	Rx12	850	unitless	844	50	true
