onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	.834	.577	SCRAMBLED	17	4	1.059	func/s034.bmp
3.023	.950	.419	SCRAMBLED	18	4	.625	func/s034.bmp
6.415	.908	.564	FAMOUS	5	4	.799	func/f047.bmp
9.571	.873	.479	FAMOUS	6	4	.615	func/f047.bmp
12.745	.833	.497	SCRAMBLED	17	7	.957	func/s044.bmp
15.818	.817	.482	SCRAMBLED	18	4	.722	func/s044.bmp
18.942	.938	.526	SCRAMBLED	17	4	.904	func/s041.bmp
22.199	.917	.504	SCRAMBLED	17	4	1.058	func/s037.bmp
25.406	.831	.519	SCRAMBLED	18	4	.752	func/s037.bmp
28.413	.872	.416	FAMOUS	5	7	1.141	func/f038.bmp
31.035	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
51.631	.883	.561	FAMOUS	5	4	.820	func/f033.bmp
54.738	.805	.457	UNFAMILIAR	13	7	1.158	func/u038.bmp
57.878	.906	.565	UNFAMILIAR	14	7	1.276	func/u038.bmp
61.119	.809	.553	SCRAMBLED	17	4	.822	func/s046.bmp
64.16	.966	.468	SCRAMBLED	18	4	.717	func/s046.bmp
67.383	.874	.488	SCRAMBLED	19	4	.728	func/s041.bmp
70.489	.825	.460	FAMOUS	5	7	1.090	func/f039.bmp
73.68	.985	.599	FAMOUS	5	4	1.057	func/f037.bmp
77.004	.979	.573	FAMOUS	6	4	.727	func/f037.bmp
80.212	.979	.468	FAMOUS	7	7	.955	func/f038.bmp
83.468	.843	.505	FAMOUS	5	4	1.015	func/f046.bmp
86.508	.922	.419	FAMOUS	7	4	.969	func/f033.bmp
89.799	.809	.597	SCRAMBLED	17	4	1.056	func/s033.bmp
92.772	.881	.400	SCRAMBLED	18	4	.693	func/s033.bmp
95.879	.967	.439	UNFAMILIAR	13	4	1.084	func/u044.bmp
99.069	.981	.454	UNFAMILIAR	13	4	.972	func/u034.bmp
102.243	.916	.421	FAMOUS	7	7	1.191	func/f039.bmp
105.333	.902	.405	SCRAMBLED	17	4	.854	func/s035.bmp
107.972	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
128.618	.832	.586	UNFAMILIAR	13	4	1.015	func/u042.bmp
131.658	.841	.449	FAMOUS	7	7	.898	func/f046.bmp
134.865	.912	.592	FAMOUS	5	7	.953	func/f034.bmp
