onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.847	.553	FAMOUS	5	4	1.104	func/f109.bmp
7.140	.835	.521	FAMOUS	5	4	.762	func/f113.bmp
10.330	.934	.495	FAMOUS	5	4	.775	func/f099.bmp
13.571	.866	.537	FAMOUS	6	4	.734	func/f099.bmp
16.628	.817	.410	UNFAMILIAR	13	7	1.034	func/u108.bmp
19.785	.846	.576	SCRAMBLED	17	4	.929	func/s102.bmp
22.925	.995	.520	SCRAMBLED	18	4	.707	func/s102.bmp
26.232	.816	.530	SCRAMBLED	17	4	.748	func/s104.bmp
29.389	.835	.583	SCRAMBLED	18	4	.674	func/s104.bmp
32.446	.925	.457	FAMOUS	7	4	1.258	func/f109.bmp
35.119	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
55.698	.910	.541	FAMOUS	5	4	1.407	func/f098.bmp
58.955	.876	.573	FAMOUS	6	4	.842	func/f098.bmp
62.162	.840	.560	FAMOUS	7	4	.989	func/f113.bmp
65.269	.865	.495	FAMOUS	5	4	.852	func/f110.bmp
68.309	.963	.406	UNFAMILIAR	13	4	.883	func/u098.bmp
71.499	.823	.465	UNFAMILIAR	15	7	.981	func/u108.bmp
74.556	.904	.457	SCRAMBLED	17	4	.865	func/s109.bmp
77.830	.926	.596	SCRAMBLED	18	4	.674	func/s109.bmp
81.037	.962	.502	FAMOUS	5	7	.777	func/f101.bmp
84.227	.933	.435	UNFAMILIAR	13	7	1.406	func/u099.bmp
87.418	.875	.491	UNFAMILIAR	14	7	.883	func/u099.bmp
90.558	.898	.496	UNFAMILIAR	13	7	.903	func/u110.bmp
93.815	.917	.600	UNFAMILIAR	14	7	.866	func/u110.bmp
96.890	.884	.401	FAMOUS	7	4	.975	func/f110.bmp
100.146	.818	.596	UNFAMILIAR	13	7	1.202	func/u102.bmp
103.253	.844	.521	UNFAMILIAR	15	4	.846	func/u098.bmp
106.393	.896	.531	UNFAMILIAR	13	7	.818	func/u112.bmp
109.484	.875	.434	UNFAMILIAR	14	7	.777	func/u112.bmp
112.106	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
132.651	.911	.509	SCRAMBLED	17	7	1.065	func/s111.bmp
135.775	.859	.444	FAMOUS	7	7	1.423	func/f101.bmp
138.965	.827	.555	FAMOUS	5	7	.966	func/f104.bmp
142.156	.903	.593	FAMOUS	6	7	.512	func/f104.bmp
145.396	.832	.549	FAMOUS	5	7	1.114	func/f107.bmp
148.520	.855	.526	FAMOUS	6	7	.826	func/f107.bmp
151.577	.967	.434	SCRAMBLED	17	7	1.016	func/s103.bmp
154.750	.818	.440	SCRAMBLED	18	4	.921	func/s103.bmp
157.824	.983	.496	UNFAMILIAR	15	4	1.379	func/u102.bmp
161.148	.919	.578	UNFAMILIAR	13	7	1.039	func/u113.bmp
164.255	.861	.430	UNFAMILIAR	13	7	1.428	func/u111.bmp
167.295	.849	.409	SCRAMBLED	19	7	.850	func/s111.bmp
170.335	.804	.410	SCRAMBLED	17	7	.685	func/s108.bmp
173.375	.947	.461	FAMOUS	5	4	1.244	func/f103.bmp
176.498	.935	.400	UNFAMILIAR	13	4	.994	func/u103.bmp
179.756	.872	.560	UNFAMILIAR	14	4	.676	func/u103.bmp
182.863	.813	.460	UNFAMILIAR	13	7	1.408	func/u105.bmp
185.903	.802	.455	UNFAMILIAR	14	7	.726	func/u105.bmp
188.993	.887	.534	UNFAMILIAR	15	7	.843	func/u113.bmp
191.615	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
212.127	.960	.469	SCRAMBLED	17	7	1.075	func/s110.bmp
215.301	.992	.441	SCRAMBLED	18	7	.951	func/s110.bmp
218.475	.825	.415	UNFAMILIAR	15	7	1.014	func/u111.bmp
221.599	.969	.534	UNFAMILIAR	13	7	.917	func/u104.bmp
224.772	.958	.443	SCRAMBLED	19	4	1.271	func/s108.bmp
227.929	.969	.404	FAMOUS	5	4	1.172	func/f108.bmp
231.236	.935	.579	FAMOUS	6	4	.755	func/f108.bmp
234.410	.915	.409	FAMOUS	7	7	1.328	func/f103.bmp
237.550	.899	.465	UNFAMILIAR	13	7	1.081	func/u106.bmp
240.624	.890	.411	FAMOUS	5	7	.989	func/f102.bmp
243.714	.969	.414	FAMOUS	5	7	.862	func/f106.bmp
246.871	.970	.433	SCRAMBLED	17	7	1.002	func/s100.bmp
250.012	.953	.401	SCRAMBLED	18	7	.721	func/s100.bmp
253.135	.959	.407	UNFAMILIAR	15	7	.878	func/u104.bmp
256.459	.958	.596	SCRAMBLED	17	4	1.002	func/s101.bmp
259.683	.846	.500	SCRAMBLED	17	7	1.261	func/s112.bmp
262.790	.992	.489	SCRAMBLED	18	7	.921	func/s112.bmp
266.047	.988	.496	UNFAMILIAR	15	7	.983	func/u106.bmp
269.287	.942	.477	SCRAMBLED	17	7	1.214	func/s099.bmp
272.562	.878	.568	FAMOUS	7	7	1.398	func/f102.bmp
275.184	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
295.746	.867	.524	FAMOUS	5	4	1.376	func/f111.bmp
298.903	.933	.533	FAMOUS	7	7	.969	func/f106.bmp
302.093	.884	.495	UNFAMILIAR	13	7	1.099	func/u107.bmp
305.300	.849	.564	UNFAMILIAR	14	7	.934	func/u107.bmp
308.357	.814	.443	SCRAMBLED	17	7	1.208	func/s107.bmp
311.514	.878	.582	SCRAMBLED	19	4	1.172	func/s101.bmp
314.739	.855	.584	SCRAMBLED	17	4	1.128	func/s113.bmp
317.828	.934	.457	FAMOUS	5	7	.790	func/f112.bmp
321.102	.981	.580	FAMOUS	6	7	.889	func/f112.bmp
324.409	.931	.563	SCRAMBLED	19	4	1.324	func/s099.bmp
327.533	.916	.422	FAMOUS	5	7	.965	func/f105.bmp
330.623	.980	.407	FAMOUS	6	7	.663	func/f105.bmp
333.797	.835	.423	FAMOUS	7	4	1.152	func/f111.bmp
336.904	.891	.506	UNFAMILIAR	13	7	.725	func/u100.bmp
340.061	.890	.483	UNFAMILIAR	13	4	1.102	func/u101.bmp
343.151	.992	.429	UNFAMILIAR	14	7	.841	func/u101.bmp
346.425	.942	.505	SCRAMBLED	19	7	1.108	func/s107.bmp
349.732	.997	.598	FAMOUS	5	7	.634	func/f100.bmp
352.989	.842	.495	SCRAMBLED	19	4	.964	func/s113.bmp
355.578	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
376.141	.852	.528	SCRAMBLED	17	4	1.262	func/s106.bmp
379.298	.920	.545	SCRAMBLED	18	4	.900	func/s106.bmp
382.538	.937	.552	SCRAMBLED	17	4	.946	func/s098.bmp
385.695	1.000	.442	SCRAMBLED	18	4	.828	func/s098.bmp
388.986	.899	.527	UNFAMILIAR	13	4	1.057	func/u109.bmp
392.193	.837	.538	UNFAMILIAR	14	4	1.170	func/u109.bmp
395.333	.911	.526	UNFAMILIAR	15	7	.698	func/u100.bmp
398.473	.970	.456	SCRAMBLED	17	4	.800	func/s105.bmp
401.213	.012	0	n/a	999	0	0	func/Circle.bmp
