onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
0	.960	.458	SCRAMBLED	17	7	1.003	func/s069.bmp
3.174	.800	.441	SCRAMBLED	17	4	.933	func/s065.bmp
6.431	.906	.598	SCRAMBLED	18	4	.877	func/s065.bmp
9.589	.909	.483	SCRAMBLED	17	4	.905	func/s066.bmp
12.745	.846	.482	SCRAMBLED	18	4	.947	func/s066.bmp
15.802	.856	.442	FAMOUS	5	7	1.071	func/f068.bmp
18.875	.891	.426	SCRAMBLED	17	4	.942	func/s068.bmp
22.083	.961	.537	SCRAMBLED	17	4	.925	func/s072.bmp
25.239	.821	.424	SCRAMBLED	18	4	.852	func/s072.bmp
28.33	.943	.495	SCRAMBLED	19	4	1.112	func/s069.bmp
31.019	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
51.615	.828	.560	UNFAMILIAR	13	7	1.276	func/u081.bmp
54.788	.837	.572	UNFAMILIAR	14	7	.804	func/u081.bmp
57.912	.819	.488	FAMOUS	5	7	1.100	func/f081.bmp
61.002	.820	.511	FAMOUS	6	7	.725	func/f081.bmp
64.092	.880	.466	FAMOUS	5	7	1.064	func/f077.bmp
67.333	.968	.599	FAMOUS	7	7	.936	func/f068.bmp
70.54	.953	.475	UNFAMILIAR	13	4	.901	func/u079.bmp
73.864	.865	.597	SCRAMBLED	19	4	.930	func/s068.bmp
76.987	.853	.468	SCRAMBLED	17	4	.852	func/s078.bmp
80.195	.913	.586	FAMOUS	5	7	1.145	func/f078.bmp
83.402	.934	.531	SCRAMBLED	17	4	.885	func/s081.bmp
86.609	.819	.504	SCRAMBLED	18	4	.826	func/s081.bmp
89.766	.872	.556	UNFAMILIAR	13	7	1.038	func/u077.bmp
92.889	.851	.481	UNFAMILIAR	14	n/a	0	func/u077.bmp
96.013	.913	.505	FAMOUS	7	7	.959	func/f077.bmp
99.203	.810	.515	FAMOUS	5	7	.898	func/f080.bmp
102.377	.886	.591	FAMOUS	6	7	.919	func/f080.bmp
105.601	.994	.584	UNFAMILIAR	15	4	1.080	func/u079.bmp
108.34	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
128.852	.915	.433	FAMOUS	5	7	1.250	func/f072.bmp
131.993	.998	.457	SCRAMBLED	19	4	.853	func/s078.bmp
135.233	.942	.468	UNFAMILIAR	13	7	.986	func/u080.bmp
138.457	.896	.517	UNFAMILIAR	14	7	.870	func/u080.bmp
141.664	.806	.544	FAMOUS	7	7	1.003	func/f078.bmp
144.721	.980	.458	SCRAMBLED	17	4	.795	func/s075.bmp
147.895	.840	.430	SCRAMBLED	17	4	.805	func/s067.bmp
151.001	.970	.489	SCRAMBLED	18	4	.693	func/s067.bmp
154.309	.927	.584	SCRAMBLED	17	4	.676	func/s073.bmp
157.432	.921	.433	SCRAMBLED	18	4	.741	func/s073.bmp
160.723	.851	.586	FAMOUS	5	7	.918	func/f067.bmp
163.764	.977	.434	FAMOUS	7	7	1.322	func/f072.bmp
166.937	.850	.422	UNFAMILIAR	13	4	.980	func/u065.bmp
170.144	.994	.593	UNFAMILIAR	14	7	.767	func/u065.bmp
173.468	.829	.552	FAMOUS	5	7	.834	func/f075.bmp
176.491	.935	.423	FAMOUS	6	7	.847	func/f075.bmp
179.682	.941	.485	SCRAMBLED	19	4	.946	func/s075.bmp
182.905	.868	.478	UNFAMILIAR	13	4	.965	func/u067.bmp
185.962	.812	.422	UNFAMILIAR	14	4	1.051	func/u067.bmp
188.952	.888	.410	FAMOUS	5	7	1.379	func/f079.bmp
191.591	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
212.187	.947	.561	FAMOUS	5	4	1.407	func/f070.bmp
215.344	.922	.437	FAMOUS	6	4	.701	func/f070.bmp
218.618	.810	.574	FAMOUS	7	4	.864	func/f067.bmp
221.658	.852	.462	UNFAMILIAR	13	4	1.001	func/u073.bmp
224.748	1.000	.477	SCRAMBLED	17	4	.816	func/s079.bmp
227.939	.932	.424	SCRAMBLED	17	4	.787	func/s070.bmp
231.146	.807	.457	SCRAMBLED	18	4	.676	func/s070.bmp
234.169	.986	.438	FAMOUS	5	7	1.231	func/f066.bmp
237.409	.873	.497	FAMOUS	7	7	1.239	func/f079.bmp
240.566	.827	.511	UNFAMILIAR	13	7	1.119	func/u074.bmp
243.675	.947	.517	FAMOUS	5	4	1.093	func/f065.bmp
246.814	.944	.422	UNFAMILIAR	15	4	.816	func/u073.bmp
250.055	.823	.524	SCRAMBLED	17	4	.812	func/s077.bmp
253.061	.957	.412	SCRAMBLED	19	4	1.120	func/s079.bmp
256.336	.915	.550	SCRAMBLED	17	4	1.045	func/s074.bmp
259.592	.930	.571	SCRAMBLED	18	4	.841	func/s074.bmp
262.766	.937	.481	UNFAMILIAR	13	4	1.327	func/u070.bmp
265.939	.973	.455	UNFAMILIAR	14	4	.938	func/u070.bmp
269.146	.885	.458	FAMOUS	7	7	1.210	func/f066.bmp
271.769	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
292.365	.920	.562	UNFAMILIAR	13	4	1.621	func/u075.bmp
295.622	.956	.573	UNFAMILIAR	14	4	.756	func/u075.bmp
298.829	.919	.482	UNFAMILIAR	15	4	.730	func/u074.bmp
301.952	.974	.447	UNFAMILIAR	13	4	1.270	func/u071.bmp
305.143	.811	.444	FAMOUS	7	4	1.109	func/f065.bmp
308.233	.802	.512	FAMOUS	5	7	1.233	func/f074.bmp
311.256	.957	.456	FAMOUS	6	7	.706	func/f074.bmp
314.53	.977	.542	SCRAMBLED	19	n/a	0	func/s077.bmp
317.737	.889	.454	UNFAMILIAR	13	4	1.002	func/u068.bmp
320.961	.878	.567	SCRAMBLED	17	4	1.143	func/s080.bmp
324.085	.973	.481	UNFAMILIAR	13	7	1.158	func/u072.bmp
327.292	.875	.466	FAMOUS	5	4	.981	func/f073.bmp
330.432	.884	.498	FAMOUS	6	4	.853	func/f073.bmp
333.589	.891	.502	UNFAMILIAR	15	4	1.144	func/u071.bmp
336.696	.980	.445	UNFAMILIAR	13	4	.892	func/u066.bmp
339.903	.883	.462	UNFAMILIAR	14	4	.784	func/u066.bmp
343.094	.993	.544	UNFAMILIAR	13	4	1.376	func/u078.bmp
346.284	.919	.427	UNFAMILIAR	15	4	.846	func/u068.bmp
348.94	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
369.502	.991	.521	UNFAMILIAR	13	4	.876	func/u069.bmp
372.759	.947	.494	UNFAMILIAR	14	4	.793	func/u069.bmp
376	.938	.532	SCRAMBLED	19	4	.820	func/s080.bmp
379.24	.866	.523	FAMOUS	5	7	1.175	func/f071.bmp
382.28	.874	.413	UNFAMILIAR	15	4	1.462	func/u072.bmp
385.521	.935	.585	FAMOUS	5	7	1.038	func/f069.bmp
388.678	.832	.456	SCRAMBLED	17	7	1.303	func/s071.bmp
391.852	.942	.582	SCRAMBLED	18	7	.841	func/s071.bmp
394.591	.012	0	n/a	999	0	0	func/Circle.bmp
