onset	duration	value
51.451172	0.0	house-upright-f3
51.535156	0.0	house-upright-f4
51.618164	0.0	house-upright-f5
51.701172	0.0	house-upright-f6
52.28418	0.0	face-upright-f1
52.350586	0.0	face-upright-f2
52.416992	0.0	face-upright-f3
52.483398	0.0	face-upright-f4
52.550781	0.0	face-upright-f5
52.617188	0.0	face-upright-f6
53.083008	0.0	face-inverted-f1
53.166016	0.0	face-inverted-f2
53.25	0.0	face-inverted-f3
53.333008	0.0	face-inverted-f4
53.416016	0.0	face-inverted-f5
53.499023	0.0	face-inverted-f6
54.082031	0.0	house-inverted-f1
54.148438	0.0	house-inverted-f2
54.214844	0.0	house-inverted-f3
54.282227	0.0	house-inverted-f4
54.348633	0.0	house-inverted-f5
54.415039	0.0	house-inverted-f6
54.880859	0.0	face-inverted-f1
54.964844	0.0	face-inverted-f2
55.047852	0.0	face-inverted-f3
55.130859	0.0	face-inverted-f4
55.213867	0.0	face-inverted-f5
55.297852	0.0	face-inverted-f6
55.879883	0.0	checker-f1
55.946289	0.0	checker-f2
56.013672	0.0	checker-f3
56.080078	0.0	checker-f4
56.146484	0.0	checker-f5
56.212891	0.0	checker-f6
56.679688	0.0	house-inverted-f1
56.746094	0.0	house-inverted-f2
56.8125	0.0	house-inverted-f3
56.878906	0.0	house-inverted-f4
56.945313	0.0	house-inverted-f5
57.011719	0.0	house-inverted-f6
57.478516	0.0	face-upright-f1
57.544922	0.0	face-upright-f2
57.611328	0.0	face-upright-f3
57.677734	0.0	face-upright-f4
57.745117	0.0	face-upright-f5
57.811523	0.0	face-upright-f6
58.277344	0.0	house-upright-f1
58.34375	0.0	house-upright-f2
58.411133	0.0	house-upright-f3
58.477539	0.0	house-upright-f4
58.543945	0.0	house-upright-f5
58.610352	0.0	house-upright-f6
59.076172	0.0	house-inverted-f1
59.160156	0.0	house-inverted-f2
59.243164	0.0	house-inverted-f3
59.326172	0.0	house-inverted-f4
59.40918	0.0	house-inverted-f5
59.493164	0.0	house-inverted-f6
60.075195	0.0	checker-f1
60.15918	0.0	checker-f2
60.242188	0.0	checker-f3
60.325195	0.0	checker-f4
60.408203	0.0	checker-f5
60.492188	0.0	checker-f6
61.074219	0.0	house-upright-f1
61.140625	0.0	house-upright-f2
61.208008	0.0	house-upright-f3
61.274414	0.0	house-upright-f4
61.34082	0.0	house-upright-f5
61.407227	0.0	house-upright-f6
61.874023	0.0	face-inverted-f1
61.957031	0.0	face-inverted-f2
62.040039	0.0	face-inverted-f3
62.123047	0.0	face-inverted-f4
62.206055	0.0	face-inverted-f5
62.290039	0.0	face-inverted-f6
62.87207	0.0	face-upright-f1
62.939453	0.0	face-upright-f2
63.005859	0.0	face-upright-f3
63.072266	0.0	face-upright-f4
63.138672	0.0	face-upright-f5
63.205078	0.0	face-upright-f6
63.671875	0.0	house-upright-f1
63.754883	0.0	house-upright-f2
63.837891	0.0	house-upright-f3
63.920898	0.0	house-upright-f4
64.004883	0.0	house-upright-f5
64.087891	0.0	house-upright-f6
64.670898	0.0	face-upright-f1
64.753906	0.0	face-upright-f2
64.836914	0.0	face-upright-f3
64.919922	0.0	face-upright-f4
65.003906	0.0	face-upright-f5
65.086914	0.0	face-upright-f6
65.668945	0.0	checker-f1
65.719727	0.0	checker-f2
65.769531	0.0	checker-f3
65.819336	0.0	checker-f4
65.869141	0.0	checker-f5
65.918945	0.0	checker-f6
66.268555	0.0	face-inverted-f1
66.335938	0.0	face-inverted-f2
66.402344	0.0	face-inverted-f3
66.46875	0.0	face-inverted-f4
66.535156	0.0	face-inverted-f5
66.601563	0.0	face-inverted-f6
67.068359	0.0	house-inverted-f1
67.134766	0.0	house-inverted-f2
67.201172	0.0	house-inverted-f3
67.267578	0.0	house-inverted-f4
67.333984	0.0	house-inverted-f5
67.400391	0.0	house-inverted-f6
67.867188	0.0	house-upright-f1
67.950195	0.0	house-upright-f2
68.033203	0.0	house-upright-f3
68.117188	0.0	house-upright-f4
68.200195	0.0	house-upright-f5
68.283203	0.0	house-upright-f6
68.866211	0.0	house-inverted-f1
68.949219	0.0	house-inverted-f2
69.032227	0.0	house-inverted-f3
69.098633	0.0	house-inverted-f4
69.182617	0.0	house-inverted-f5
69.265625	0.0	house-inverted-f6
69.797852	0.0	checker-f1
69.848633	0.0	checker-f2
69.898438	0.0	checker-f3
69.948242	0.0	checker-f4
69.998047	0.0	checker-f5
70.047852	0.0	checker-f6
70.414063	0.0	face-upright-f1
70.49707	0.0	face-upright-f2
70.581055	0.0	face-upright-f3
70.664063	0.0	face-upright-f4
70.74707	0.0	face-upright-f5
70.830078	0.0	face-upright-f6
71.413086	0.0	face-inverted-f1
71.479492	0.0	face-inverted-f2
71.545898	0.0	face-inverted-f3
71.613281	0.0	face-inverted-f4
71.679688	0.0	face-inverted-f5
71.746094	0.0	face-inverted-f6
72.211914	0.0	face-upright-f1
72.279297	0.0	face-upright-f2
72.345703	0.0	face-upright-f3
72.412109	0.0	face-upright-f4
72.478516	0.0	face-upright-f5
72.544922	0.0	face-upright-f6
73.011719	0.0	house-inverted-f1
73.061523	0.0	house-inverted-f2
73.111328	0.0	house-inverted-f3
73.161133	0.0	house-inverted-f4
73.210938	0.0	house-inverted-f5
73.260742	0.0	house-inverted-f6
73.610352	0.0	face-inverted-f1
73.677734	0.0	face-inverted-f2
73.744141	0.0	face-inverted-f3
73.810547	0.0	face-inverted-f4
73.876953	0.0	face-inverted-f5
73.943359	0.0	face-inverted-f6
74.410156	0.0	checker-f1
74.476563	0.0	checker-f2
74.542969	0.0	checker-f3
74.609375	0.0	checker-f4
74.675781	0.0	checker-f5
74.743164	0.0	checker-f6
75.208984	0.0	house-upright-f1
75.275391	0.0	house-upright-f2
75.341797	0.0	house-upright-f3
75.40918	0.0	house-upright-f4
75.475586	0.0	house-upright-f5
75.541992	0.0	house-upright-f6
76.007813	0.0	house-inverted-f1
76.091797	0.0	house-inverted-f2
76.174805	0.0	house-inverted-f3
76.257813	0.0	house-inverted-f4
76.34082	0.0	house-inverted-f5
76.424805	0.0	house-inverted-f6
77.006836	0.0	face-inverted-f1
77.073242	0.0	face-inverted-f2
77.140625	0.0	face-inverted-f3
77.207031	0.0	face-inverted-f4
77.273438	0.0	face-inverted-f5
77.339844	0.0	face-inverted-f6
77.806641	0.0	checker-f1
77.873047	0.0	checker-f2
77.939453	0.0	checker-f3
78.005859	0.0	checker-f4
78.072266	0.0	checker-f5
78.138672	0.0	checker-f6
78.605469	0.0	house-upright-f1
78.688477	0.0	house-upright-f2
78.771484	0.0	house-upright-f3
78.855469	0.0	house-upright-f4
78.938477	0.0	house-upright-f5
79.021484	0.0	house-upright-f6
79.604492	0.0	face-upright-f1
79.6875	0.0	face-upright-f2
79.770508	0.0	face-upright-f3
79.853516	0.0	face-upright-f4
79.9375	0.0	face-upright-f5
80.020508	0.0	face-upright-f6
80.603516	0.0	house-upright-f1
80.669922	0.0	house-upright-f2
80.736328	0.0	house-upright-f3
80.802734	0.0	house-upright-f4
80.869141	0.0	house-upright-f5
80.936523	0.0	house-upright-f6
81.402344	0.0	checker-f1
81.485352	0.0	checker-f2
81.568359	0.0	checker-f3
81.652344	0.0	checker-f4
81.735352	0.0	checker-f5
81.818359	0.0	checker-f6
82.401367	0.0	house-inverted-f1
82.467773	0.0	house-inverted-f2
82.53418	0.0	house-inverted-f3
82.600586	0.0	house-inverted-f4
82.667969	0.0	house-inverted-f5
82.734375	0.0	house-inverted-f6
83.200195	0.0	face-inverted-f1
83.266602	0.0	face-inverted-f2
83.333008	0.0	face-inverted-f3
83.400391	0.0	face-inverted-f4
83.466797	0.0	face-inverted-f5
83.533203	0.0	face-inverted-f6
83.999023	0.0	face-upright-f1
84.066406	0.0	face-upright-f2
84.132813	0.0	face-upright-f3
84.199219	0.0	face-upright-f4
84.265625	0.0	face-upright-f5
84.332031	0.0	face-upright-f6
84.798828	0.0	face-upright-f1
84.881836	0.0	face-upright-f2
84.964844	0.0	face-upright-f3
85.047852	0.0	face-upright-f4
85.131836	0.0	face-upright-f5
85.214844	0.0	face-upright-f6
85.797852	0.0	checker-f1
85.864258	0.0	checker-f2
85.930664	0.0	checker-f3
85.99707	0.0	checker-f4
86.063477	0.0	checker-f5
86.130859	0.0	checker-f6
86.59668	0.0	house-upright-f1
86.663086	0.0	house-upright-f2
86.729492	0.0	house-upright-f3
86.795898	0.0	house-upright-f4
86.863281	0.0	house-upright-f5
86.929688	0.0	house-upright-f6
87.395508	0.0	house-inverted-f1
87.461914	0.0	house-inverted-f2
87.529297	0.0	house-inverted-f3
87.595703	0.0	house-inverted-f4
87.662109	0.0	house-inverted-f5
87.728516	0.0	house-inverted-f6
88.195313	0.0	face-inverted-f1
88.27832	0.0	face-inverted-f2
88.361328	0.0	face-inverted-f3
88.444336	0.0	face-inverted-f4
88.527344	0.0	face-inverted-f5
88.611328	0.0	face-inverted-f6
89.193359	0.0	checker-f1
89.260742	0.0	checker-f2
