global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	std_dvars	dvars	framewise_displacement	rmsd	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26
8420.120175694412	-636.8433907928938	70898423.7731361	405569.5043965905	9001.731039526612	-1243.3213384158937	1545847.9505602887	81031161.70797686	10769.90864243262	-719.0081249509894	516972.68374553765	115990932.16634484	10690.093680926424	0.635933	303.517853	1.2887676560800645	1.1096935069634355	-0.0278600272461346	0.0699509508999937	0.0007761811181553	0.0048931355318133	0.1101303849262365	0.0250012649955523	0.0006250632513778	0.012128701684001	-0.7548576536072744	-1.0899584787568983	0.5698100772094798	1.188009485414052	0.0162177790573046	0.0008668407647066	0.0002630163575515	7.514129113572958e-07	-0.0102228021403862	-0.0011671415309309	0.0001045056836014	1.362219353223725e-06	0.0068780750462775	-4.315693291480002e-05	4.730791634222524e-05	1.862520858612549e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7828.25613282139	-591.8640428730223	61281594.0810557	350303.0452459988	7942.147599555347	-1059.5834399712649	1122717.066261339	63077708.49312277	9934.810902192272	-835.0977402403478	697388.2357545354	98700467.66231842	9869.10669918722	0.567483	270.847961	1.1210063428869377	0.7797014907926236	-0.004727755307158	0.0231322719389766	2.2351670244360636e-05	0.0005351020050587	0.0303129165411348	-0.0798174683851017	0.0063708282594067	0.0009188729092298	-1.5350829069722636	-0.7802252533649892	2.3564795312784157	0.6087514459884615	0.013771573304012	-0.0024462057532926	0.0001896562312677	5.983922587441817e-06	-0.0089711385863391	0.0012516635540471	8.048132753530231e-05	1.5666616525298174e-06	0.0079368327228952	0.0010587576766176	6.299331367122003e-05	1.1209678177969098e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7472.673693988323	-355.5824388330666	55840852.13682509	126438.87080647156	7413.60626377424	-528.5413357811076	279355.9436292775	54961557.834272645	9377.297794777596	-557.5131074146757	310820.8649391677	87933713.93194076	9335.530608539664	0.579616	276.638855	0.9671919580447378	0.7982453890762886	0.0111819156617229	0.0159096709688809	0.0001250352378658	0.000253117630338	0.048529504098127	0.0182165875569922	0.0003318440622215	0.0023551127680101	-1.3309972495274138	0.2040856574448497	1.771553678249541	0.0416509555746965	-0.0002167483802491	-0.0139883216842611	4.6979860340608455e-08	0.0001956731435423	-0.0091790892888747	-0.0002079507025355	8.425568017313424e-05	4.32434946850493e-08	0.0075535042682116	-0.0003833284546836	5.705542672989085e-05	1.46940704170117e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7061.307768995866	-411.3659249924567	49862067.40848138	169221.92424489954	6926.631754864741	-486.9745089094986	237144.1723276473	47978227.467500605	8777.418424120511	-599.879370657085	359855.2593399404	77043074.1920902	8748.424561371798	0.544275	259.771393	0.7623101338450833	0.4342412709297916	-0.0144532343756225	-0.0256351500373454	0.0002088959839166	0.0006571609174372	0.1286717646378576	0.0801422605397305	0.006422781924418	0.0165564230150202	-1.713653802059426	-0.3826565525320122	2.936609353312727	0.1464260371956846	0.0012240153109947	0.0014407636912438	1.498213481549452e-06	2.0758000140064594e-06	-0.0075919038071725	0.0015871854817021	5.763700341736031e-05	2.519157753326243e-06	0.0051039300264377	-0.0024495742417739	2.6050101714772336e-05	6.000413965962177e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6698.4620525950495	-362.84571640081685	44869393.87005589	131657.013910422	6377.26968635285	-549.3620685118913	301798.682319664	40669568.65247498	8196.508354426327	-580.9100696941841	337456.50907210185	67182749.20418058	8166.151027135796	0.55002	262.513275	0.8329476417561033	0.5060960112895878	-0.020460246257727	-0.0060070118821045	0.0004186216769268	3.608419175174465e-05	0.2642586289585722	0.1355868643207146	0.0183837977763238	0.0698326229790643	-2.190741929931775	-0.4770881278723491	4.799350203561199	0.2276130817567429	0.0006128743722725	-0.0006111409387222	3.756149961884109e-07	3.73493246982252e-07	-0.0045846444741213	0.0030072593330512	2.101896495409097e-05	9.04360869622355e-06	0.0044370175445924	-0.0006669124818452	1.9687124691020773e-05	4.447722584410567e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6408.212551366247	-290.2495012288027	41065188.1034879	84244.77296356876	6112.286009561895	-264.98367679095463	70216.3489656531	37360040.26268608	7732.676062953667	-463.8322914726605	215140.39461277903	59794279.09457662	7708.634405188525	0.573415	273.679443	0.4823634385277796	0.197214971347128	0.0831632731380693	0.1036235193957963	0.0069161299990371	0.0107378337719709	0.1599049727406338	-0.1043536562179384	0.0108896855660516	0.0255696003071828	-2.259247683005995	-0.0685057530742199	5.104200093167957	0.0046930382042659	0.0012675821540904	0.0006547077818179	1.6067645173684582e-06	4.286422795729149e-07	-0.0014173794260583	0.003167265048063	2.008964437413356e-06	1.0031567884681516e-05	0.004732654911508	0.0002956373669155	2.23980225114208e-05	8.74014527167891e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6220.984516269218	-187.22803509702865	38700648.35166136	35054.33712629418	5891.073527325679	-221.2124822362166	48934.96229710845	34704747.30435742	7369.253210587065	-363.4228523666016	132076.16962227668	54305892.88174777	7343.664561156952	0.590104	281.644623	0.7771831591062464	0.3325242891120058	0.1879776730882554	0.104814399950186	0.035335605579675	0.0109860584369175	0.2923119737904471	0.1324070010498133	0.0175316139270052	0.085446290021267	-2.004512124706693	0.254735558299302	4.018068858096141	0.0648902046620571	-0.0008090086714622	-0.0020765908255526	6.544950305010339e-07	4.312229456769229e-06	0.0004228098913279	0.0018401893173862	1.787682042047106e-07	3.386296723822289e-06	0.0065203987647081	0.0017877438532	4.251560005080692e-05	3.1960280846547397e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5990.373998796947	-230.6105174722716	35884580.64546252	53181.21076882887	5628.5732181283065	-262.5003091973722	68906.412328716	31680836.47183124	6922.584726915156	-446.6684836719087	199512.73430576216	47922179.30131899	6912.664296420742	0.642846	306.81723	0.561938747557496	0.3089799218395473	0.2243997037170686	0.0364220306288132	0.0503552270283081	0.0013265643151262	0.4273980783395359	0.1350861045490888	0.0182482556422473	0.182669117368328	-1.782466419016444	0.2220457056902489	3.1771865349213058	0.0493042954154806	0.001196008866658	0.0020050175381202	1.4304372091245535e-06	4.020095328169587e-06	-0.0002249778261032	-0.0006477877174311	5.0615022238121695e-08	4.196289268545947e-07	0.0058055058864725	-0.0007148928782355	3.370389859786685e-05	5.110718273519799e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5780.985640337985	-209.3883584589612	33419794.973793987	43843.484658138426	5376.894071155057	-251.67914697324977	63342.39302118266	28910989.8524224	6510.364538999244	-412.220187915912	169925.48332542978	42384846.43065885	6498.042784077177	0.698014	333.147644	0.9327524410325012	0.4754309059776514	0.1111130354527745	-0.1132866682642941	0.0123461066475295	0.0128338692064242	0.4916101885948194	0.0642121102552835	0.0041231951034366	0.2416805775302339	-1.8328962198167176	-0.0504298008002734	3.359508552618413	0.0025431648087552	-0.003068490081806	-0.004264498948464	9.415631382141792e-06	1.8185951281450564e-05	-0.0021708012778922	-0.001945823451789	4.712378188098409e-06	3.786228905532059e-06	-0.0020806489475275	-0.007886154834	4.3291000428472935e-06	6.219143806582157e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5597.0240338452495	-183.96160649273588	31326678.03544135	33841.8726633882	5175.9263116387465	-200.96775951631025	40388.04036500551	26790213.18351428	6215.945317114013	-294.4192218852313	86682.67821550506	38637976.185351625	6202.44931995892	0.732399	349.559113	0.5068819265345799	0.2515275189984994	0.2513081627091651	0.1401951272563906	0.0631557926442562	0.0196546737064355	0.4768949583503854	-0.0147152302444339	0.0002165380011467	0.2274288013000158	-1.8239343774202723	0.0089618423964452	3.3267366131354765	8.031461913872377e-05	-0.0032926521431452	-0.0002241620613392	1.084155813575868e-05	5.024862974383935e-08	0.0018602980592059	0.0040310993370981	3.4607088690852382e-06	1.624976186555274e-05	0.0005242841867814	0.0026049331343089	2.74873908509034e-07	6.785676634220391e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
