global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	std_dvars	dvars	framewise_displacement	rmsd	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
17.54918773037222	n/a	307.9739899958469	n/a	21.11687631098125	n/a	n/a	445.9224651332812	14.83918497067335	n/a	n/a	220.20141059385784	14.938323435698797	n/a	n/a	n/a	n/a	0.4586798989954843	n/a	0.2103872497425076	n/a	-0.319148953685584	n/a	n/a	0.101856054638603	2.0145316723818354	n/a	4.058337859029555	n/a	0.0106885157932673	n/a	0.0001142443698629	n/a	-0.0001198078841815	n/a	1.4353929112047718e-08	n/a	0.0002257651988515	n/a	5.096992501245733e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1350.6456688555186	1333.0964811251465	1824243.7227981712	1777146.2279882475	2558.385337434865	2537.268461123884	6437731.243813961	6545335.534801709	1061.5358686914085	1046.696683720735	1095573.9477119846	1126858.4005184232	1060.0356167825928	0.7214979999999999	306.435577	0.0	2.2731598884208712e-14	0.4586798989954843	0.0	0.2103872497425076	0.0	-0.319148953685584	0.0	0.0	0.101856054638603	2.0145316723818354	0.0	4.058337859029555	0.0	0.0106885157932673	0.0	0.0001142443698629	0.0	-0.0001198078841815	0.0	1.4353929112047718e-08	0.0	0.0002257651988515	0.0	5.096992501245733e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4586.308853618343	3235.6631847628246	21034228.900778	10469516.245229503	8230.22805481269	5671.842717377824	32169799.81067185	67736653.83422586	3684.942968659153	2623.407099967744	6882264.81216117	13578804.68227053	3678.762296308942	1.612263	684.762268	0.0	2.2731598884208712e-14	0.4586798989954843	0.0	0.2103872497425076	0.0	-0.319148953685584	0.0	0.0	0.101856054638603	2.0145316723818354	0.0	4.058337859029555	0.0	0.0106885157932673	0.0	0.0001142443698629	0.0	-0.0001198078841815	0.0	1.4353929112047718e-08	0.0	0.0002257651988515	0.0	5.096992501245733e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8363.667989726451	3777.359136108108	69950942.2423749	14268442.043139393	14517.283127836872	6287.055073024183	39527061.49123912	210751509.4137771	6704.808921307729	3019.865952648576	9119590.371966094	44954462.67124771	6689.08820598474	2.038133	865.6383059999998	0.0	2.2731598884208712e-14	0.4586798989954843	0.0	0.2103872497425076	0.0	-0.319148953685584	0.0	0.0	0.101856054638603	2.0145316723818354	0.0	4.058337859029555	0.0	0.0106885157932673	0.0	0.0001142443698629	0.0	-0.0001198078841815	0.0	1.4353929112047718e-08	0.0	0.0002257651988515	0.0	5.096992501245733e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11867.25275267563	3503.584762949178	140831687.89588732	12275106.19116965	20660.68163989208	6143.398512055206	37741345.27792212	426863765.8249736	9864.310186679122	3159.501265371393	9982448.245883431	97304615.4590215	9824.232791131522	2.185052	928.038269	0.0	2.2731598884208712e-14	0.4586798989954843	0.0	0.2103872497425076	0.0	-0.319148953685584	0.0	0.0	0.101856054638603	2.0145316723818354	0.0	4.058337859029555	0.0	0.0106885157932673	0.0	0.0001142443698629	0.0	-0.0001198078841815	0.0	1.4353929112047718e-08	0.0	0.0002257651988515	0.0	5.096992501245733e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13078.910978554146	1211.6582258785163	171057912.38494417	1468115.6563390745	22553.588956042466	1892.9073161503875	3583098.107535663	508664374.7981207	11248.33514553956	1384.0249588604383	1915525.086748638	126525043.54638048	11169.407721099546	1.683252	714.912781	0.5893514517870305	0.2576554052532553	0.3417400959335452	-0.116939803061939	0.1167862931686686	0.013674917540165	-0.4023686970294307	-0.0832197433438466	0.0069255256822157	0.1619005683491617	1.8483633169233256	-0.1661683554585098	3.416446951347798	0.0276119223557856	0.0117215545587706	0.0010330387655032	0.0001373948412742	1.0671690910325813e-06	-0.0016874513435969	-0.0015676434594154	2.847492037006983e-06	2.457506015847883e-06	-0.0016340235746845	-0.0018597887735359	2.6700330426247114e-06	3.4588142821705384e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13225.317246220551	146.40626766640526	174909016.26317874	21434.795212007102	22407.354487446904	-146.23446859556134	21384.51980542621	502089535.1261069	11416.775608697182	168.4404631576217	28372.18962875412	130342765.29934292	11318.977939579703	1.362109	578.516663	0.5027943498650798	0.2901745837701387	0.2052864895505592	-0.136453606382986	0.0421425427919918	0.0186195866949228	-0.3912939668464048	0.0110747301830259	0.0001226496486268	0.1531109684903953	1.8955097102034983	0.0471463932801727	3.5929570614757504	0.0022227823993287	0.0156594533647067	0.003937898805936	0.0002452184796814	1.5507047005792958e-05	0.0003245753600844	0.0020120267036813	1.053491643739179e-07	4.048251456326638e-06	-0.001846490465445	-0.0002124668907605	3.4095270389792927e-06	4.514217966943424e-08	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12912.219902360435	-313.09734386011587	166725422.80691293	98029.94673225965	21431.990147032662	-975.3643404142422	951335.5965517096	459330201.6625051	11494.455508990648	77.67990029346583	6034.166909602794	132122507.44816546	11372.210733473288	1.175014	499.053467	0.625861137552515	0.2575442799998185	0.1127675656295252	-0.092518923921034	0.0127165238580092	0.008559751283506	-0.3622031005237716	0.0290908663226331	0.0008462785034013	0.1311910860290333	1.6845799246184754	-0.2109297855850229	2.8378095224275883	0.0444913744469437	0.0143317191889224	-0.0013277341757842	0.0002053981749101	1.7628780415456122e-06	-0.0022241834902105	-0.0025487588502949	4.946992198124961e-06	6.4961716769565805e-06	0.0001434477429523	0.0019899382083973	2.0577254958109133e-08	3.959854073239456e-06	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12424.544726880127	-487.6751754803081	154369311.67024478	237827.0767797493	20021.14934310952	-1410.8408039231435	1990471.774014502	400846421.0190947	11407.2444909711	-87.21101801954865	7605.761664006039	130125226.8767905	11255.957860051358	1.176048	499.492676	0.4165023667294474	0.2198255952406875	0.1921042334467699	0.0793366678172447	0.036904036508171	0.0062943068603438	-0.3646666739308841	-0.0024635734071125	6.069193932231927e-06	0.1329817830758137	1.6550598222388402	-0.0295201023796352	2.7392230151892614	0.0008714364445041	0.0113151972957779	-0.0030165218931445	0.0001280336898423	9.09940433182008e-06	-0.0026870344314731	-0.0004628509412625	7.220154035921965e-06	2.142309938276747e-07	-0.0024808198851497	-0.002624267628102	6.154467302554171e-06	6.886780583904098e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11707.59670500287	-716.9480218772569	137067820.60699406	514014.4660737117	18200.383294871102	-1820.7660482384165	3315189.0024177385	331253952.0802231	11416.285838428445	9.041347457345182	81.74596384444219	130331582.34470186	11249.59486931169	1.134022	481.643433	1.5802351688755791	0.9280403915391636	0.2633078927840699	0.0712036593373	0.0693310464023872	0.0050699611030222	-0.1820193712159721	0.182647302714912	0.0333600371890327	0.0331310514978578	2.3892134608636724	0.7341536386248322	5.708340961572167	0.5389815651060806	0.0033960844138241	-0.0079191128819537	1.1533389345818982e-05	6.27123488371266e-05	-0.004563387895714	-0.0018763534642409	2.0824509086749047e-05	3.520702322768826e-06	-0.0004316748673737	0.002049145017776	1.863431911221015e-07	4.198995303876203e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
