onset	duration	trial_type	easy_par	hard_par
16.016	4.500	easy_par	0.479	n/a
21.261	4.500	hard_par	n/a	-1.708
26.505	4.500	easy_par	-0.521	n/a
37.010	4.500	hard_par	n/a	-2.708
42.254	4.500	easy_par	0.479	n/a
47.515	4.500	hard_par	n/a	96.292
52.759	4.500	hard_par	n/a	-1.708
58.004	4.500	hard_par	n/a	-2.708
63.264	4.500	hard_par	n/a	-2.708
68.509	4.500	easy_par	-0.521	n/a
73.753	4.500	easy_par	-0.521	n/a
79.014	4.500	hard_par	n/a	-1.708
84.258	4.500	hard_par	n/a	-2.708
89.502	4.500	hard_par	n/a	-2.708
94.763	4.500	easy_par	-0.521	n/a
100.007	4.500	hard_par	n/a	-1.708
110.513	4.500	hard_par	n/a	-1.708
115.757	4.500	hard_par	n/a	-1.708
121.001	4.500	easy_par	-0.521	n/a
126.262	4.500	hard_par	n/a	-2.708
131.506	4.500	hard_par	n/a	-1.708
136.767	4.500	hard_par	n/a	-2.708
142.012	4.500	hard_par	n/a	-1.708
147.256	4.500	hard_par	n/a	-1.708
152.517	4.500	easy_par	-0.521	n/a
157.761	4.500	hard_par	n/a	-2.708
163.005	4.500	hard_par	n/a	-1.708
168.266	4.500	hard_par	n/a	-2.708
173.510	4.500	easy_par	-0.521	n/a
184.016	4.500	hard_par	n/a	-1.708
189.260	4.500	hard_par	n/a	-1.708
194.504	4.500	easy_par	0.479	n/a
199.765	4.500	hard_par	n/a	-2.708
205.009	4.500	easy_par	0.479	n/a
210.254	4.500	easy_par	-0.521	n/a
215.514	4.500	hard_par	n/a	-1.708
220.759	4.500	easy_par	0.479	n/a
226.003	4.500	hard_par	n/a	-2.708
231.264	4.500	hard_par	n/a	-1.708
236.508	4.500	hard_par	n/a	-2.708
241.752	4.500	easy_par	-0.521	n/a
247.013	4.500	easy_par	0.479	n/a
257.502	4.500	hard_par	n/a	-1.708
262.763	4.500	hard_par	n/a	-1.708
268.007	4.500	easy_par	-0.521	n/a
273.251	4.500	hard_par	n/a	-1.708
278.512	4.500	hard_par	n/a	-2.708
283.756	4.500	easy_par	-0.521	n/a
289.017	4.500	easy_par	0.479	n/a
294.261	4.500	easy_par	0.479	n/a
299.506	4.500	hard_par	n/a	-2.708
304.767	4.500	hard_par	n/a	-1.708
310.011	4.500	easy_par	0.479	n/a
315.255	4.500	easy_par	0.479	n/a
320.516	4.500	hard_par	n/a	-1.708
331.005	4.500	easy_par	-0.521	n/a
336.265	4.500	easy_par	-0.521	n/a
341.510	4.500	hard_par	n/a	-2.708
346.754	4.500	hard_par	n/a	-1.708
352.015	4.500	easy_par	-0.521	n/a
357.259	4.500	easy_par	0.479	n/a
362.503	4.500	easy_par	0.479	n/a
367.764	4.500	easy_par	-0.521	n/a
373.008	4.500	hard_par	n/a	-1.708
378.253	4.500	hard_par	n/a	-1.708
383.514	4.500	easy_par	0.479	n/a
388.758	4.500	easy_par	0.479	n/a
394.002	4.500	easy_par	-0.521	n/a
404.507	4.500	hard_par	n/a	-1.708
409.752	4.500	easy_par	0.479	n/a
415.012	4.500	hard_par	n/a	-2.708
420.257	4.500	easy_par	-0.521	n/a
425.501	4.500	easy_par	0.479	n/a
430.762	4.500	hard_par	n/a	-1.708
436.006	4.500	easy_par	-0.521	n/a
441.267	4.500	easy_par	-0.521	n/a
446.511	4.500	hard_par	n/a	-1.708
451.755	4.500	hard_par	n/a	-1.708
457.016	4.500	easy_par	0.479	n/a
462.261	4.500	easy_par	0.479	n/a
467.505	4.500	easy_par	0.479	n/a
478.010	4.500	hard_par	n/a	-1.708
483.254	4.500	easy_par	-0.521	n/a
488.515	4.500	easy_par	0.479	n/a
493.760	4.500	easy_par	0.479	n/a
499.004	4.500	easy_par	0.479	n/a
504.265	4.500	easy_par	-0.521	n/a
509.509	4.500	easy_par	0.479	n/a
514.753	4.500	easy_par	0.479	n/a
520.014	4.500	hard_par	n/a	-1.708
525.258	4.500	easy_par	0.479	n/a
530.503	4.500	hard_par	n/a	-1.708
535.763	4.500	hard_par	n/a	-1.708
541.008	4.500	easy_par	-0.521	n/a
551.513	4.500	easy_par	-0.521	n/a
556.757	4.500	hard_par	n/a	-1.708
