onset	duration	trial_type	run	run_id	volume	run_volume	stim	genre	delay	catch	sound_soa	trigger_ts
0.01	6.0	symphonic	7	1	918	0	symphonic_004.wav	symphonic	6	0	0.009300000000166621	2766.8761
12.0	6.0	ambient	7	1	924	6	ambient_004.wav	ambient	6	0	0.004199999999855208	2778.8759999999997
24.0	6.0	symphonic	7	1	930	12	symphonic_002.wav	symphonic	6	0	0.0035000000002582965	2790.8758
36.01	6.0	rocknroll	7	1	936	18	rocknroll_002.wav	rocknroll	8	1	0.011899999999968712	2802.8759
50.01	6.0	symphonic	7	1	943	25	symphonic_003.wav	symphonic	8	1	0.009800000000268485	2816.8758
64.0	6.0	metal	7	1	950	32	metal_001.wav	metal	6	0	0.003099999999903957	2830.8763
76.01	6.0	country	7	1	956	38	country_000.wav	country	8	1	0.014499999999770809	2842.8766
90.0	6.0	rocknroll	7	1	963	45	rocknroll_001.wav	rocknroll	6	0	0.002600000000256841	2856.8767
102.0	6.0	country	7	1	969	51	country_002.wav	country	6	0	0.004600000000209548	2868.8758
114.0	6.0	symphonic	7	1	975	57	symphonic_000.wav	symphonic	6	0	0.002600000000256841	2880.8767
126.0	6.0	country	7	1	981	63	country_003.wav	country	4	0	0.002599999999802094	2892.8768
136.01	6.0	ambient	7	1	986	68	ambient_000.wav	ambient	8	1	0.010800000000017462	2902.8759999999997
150.0	6.0	ambient	7	1	993	75	ambient_003.wav	ambient	6	0	0.0027000000000043656	2916.8759999999997
162.0	6.0	country	7	1	999	81	country_001.wav	country	6	0	0.002599999999802094	2928.8764
174.0	6.0	country	7	1	1005	87	country_004.wav	country	6	0	0.0034999999998035487	2940.8762
186.0	6.0	metal	7	1	1011	93	metal_002.wav	metal	6	0	0.003799999999955617	2952.8759999999997
198.0	6.0	ambient	7	1	1017	99	ambient_001.wav	ambient	6	0	0.003600000000005821	2964.8762
210.0	6.0	metal	7	1	1023	105	metal_004.wav	metal	6	0	0.0025000000000545697	2976.8761
222.0	6.0	rocknroll	7	1	1029	111	rocknroll_004.wav	rocknroll	6	0	0.0024999999995998228	2988.8769
234.0	6.0	ambient	7	1	1035	117	ambient_002.wav	ambient	4	0	0.0025000000000545697	3000.8761
244.0	6.0	rocknroll	7	1	1040	122	rocknroll_003.wav	rocknroll	6	0	0.0024999999995998228	3010.8769
256.0	6.0	rocknroll	7	1	1046	128	rocknroll_000.wav	rocknroll	4	0	0.002399999999852298	3022.8762
266.0	6.0	metal	7	1	1051	133	metal_000.wav	metal	4	0	0.0025000000000545697	3032.8763
276.01	6.0	metal	7	1	1056	138	metal_003.wav	metal	8	1	0.01000000000021828	3042.8763
290.0	6.0	symphonic	7	1	1063	145	symphonic_001.wav	symphonic	4	0	0.002599999999802094	3056.8764
