name	type	units	sampling_frequency	source	detector	wavelength_nominal	wavelength_actual	short_channel
Rx7-Tx6d [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx6d	Rx7	850	844	True
Rx9-Tx12 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx12	Rx9	760	756	False
Rx9-Tx12 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx12	Rx9	850	854	False
Rx9-Tx13 [757nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx13	Rx9	760	756	False
Rx9-Tx13 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx13	Rx9	850	853	False
Rx9-Tx11a [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11a	Rx9	760	756	True
Rx9-Tx11a [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11a	Rx9	850	844	True
Rx11-Tx12 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx12	Rx11	760	756	False
Rx11-Tx12 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx12	Rx11	850	854	False
Rx11-Tx13 [757nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx13	Rx11	760	756	False
Rx11-Tx13 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx13	Rx11	850	853	False
Rx11-Tx11c [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11c	Rx11	760	756	True
Rx11-Tx11c [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11c	Rx11	850	844	True
Rx10-Tx14 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx14	Rx10	760	756	False
Rx10-Tx14 [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx14	Rx10	850	853	False
Rx10-Tx11b [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11b	Rx10	760	756	True
Rx10-Tx11b [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11b	Rx10	850	844	True
Rx12-Tx14 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx14	Rx12	760	756	False
Rx12-Tx14 [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx14	Rx12	850	853	False
Rx12-Tx15 [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx15	Rx12	760	757	False
Rx12-Tx15 [853nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx15	Rx12	850	853	False
Rx12-Tx11d [756nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11d	Rx12	760	756	True
Rx12-Tx11d [854nm]	NIRSCWOPTICALDENSITY	unitless	50	Tx11d	Rx12	850	844	True
