onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.139	n/a	n/a	20	15	-14.610	4	0	1.733
4.000	3.000	parametric gain	-0.189	n/a	n/a	18	12	-9.690	4	0	1.126
8.000	3.000	parametric gain	-0.389	n/a	n/a	10	15	-24.610	4	0	1.066
18.000	3.000	parametric gain	0.211	n/a	n/a	34	16	-2.910	3	0	1.760
24.000	3.000	parametric gain	-0.189	n/a	n/a	18	5	6.460	1	1	2.504
28.000	3.000	parametric gain	0.011	n/a	n/a	26	13	-3.990	4	0	2.032
38.000	3.000	parametric gain	0.161	n/a	n/a	32	17	-7.220	4	0	1.689
42.000	3.000	parametric gain	-0.239	n/a	n/a	16	5	4.460	1	1	1.375
46.000	3.000	parametric gain	-0.089	n/a	n/a	22	7	5.850	2	1	2.032
52.000	3.000	parametric gain	0.261	n/a	n/a	36	8	17.540	1	1	1.871
56.000	3.000	parametric gain	-0.239	n/a	n/a	16	10	-7.070	4	0	1.656
62.000	3.000	parametric gain	0.111	n/a	n/a	30	13	0.010	3	0	2.545
74.000	3.000	parametric gain	-0.289	n/a	n/a	14	17	-25.220	4	0	1.089
78.000	3.000	parametric gain	0.061	n/a	n/a	28	19	-15.840	4	0	1.400
82.000	3.000	parametric gain	-0.289	n/a	n/a	14	20	-32.140	4	0	1.297
86.000	3.000	parametric gain	0.011	n/a	n/a	26	16	-10.910	4	0	1.250
90.000	3.000	parametric gain	0.361	n/a	n/a	40	5	28.460	1	1	1.313
94.000	3.000	parametric gain	0.061	n/a	n/a	28	12	0.310	3	0	1.545
98.000	3.000	parametric gain	-0.139	n/a	n/a	20	16	-16.910	4	0	1.400
102.000	3.000	parametric gain	0.011	n/a	n/a	26	5	14.460	1	1	2.131
106.000	3.000	parametric gain	0.161	n/a	n/a	32	20	-14.140	4	0	1.609
110.000	3.000	parametric gain	-0.189	n/a	n/a	18	17	-21.220	4	0	1.034
116.000	3.000	parametric gain	-0.139	n/a	n/a	20	6	6.160	1	1	1.802
120.000	3.000	parametric gain	-0.139	n/a	n/a	20	18	-21.530	4	0	1.001
126.000	3.000	parametric gain	0.361	n/a	n/a	40	7	23.850	1	1	1.154
130.000	3.000	parametric gain	0.261	n/a	n/a	36	6	22.160	2	1	1.299
134.000	3.000	parametric gain	-0.239	n/a	n/a	16	20	-30.140	4	0	1.161
140.000	3.000	parametric gain	0.361	n/a	n/a	40	15	5.390	2	1	1.667
148.000	3.000	parametric gain	-0.389	n/a	n/a	10	6	-3.840	4	0	1.132
156.000	3.000	parametric gain	-0.339	n/a	n/a	12	15	-22.610	4	0	0.923
160.000	3.000	parametric gain	0.211	n/a	n/a	34	17	-5.220	4	0	0.802
164.000	3.000	parametric gain	-0.189	n/a	n/a	18	14	-14.300	4	0	1.113
170.000	3.000	parametric gain	0.361	n/a	n/a	40	13	10.010	1	1	1.276
174.000	3.000	parametric gain	0.161	n/a	n/a	32	19	-11.840	4	0	1.419
178.000	3.000	parametric gain	-0.289	n/a	n/a	14	12	-13.690	4	0	1.370
