onset	trial_type	eventcode
25416	unfamiliar_new	13
26391	response	0
28926	unfamiliar_second_early	14
29749	response	0
32436	famous_new	5
33600	response	0
35854	unfamiliar_new	13
37028	response	0
39419	unfamiliar_second_early	14
40329	response	0
42892	scrambled_new	17
43838	response	0
46530	scrambled_second_early	18
47359	response	0
50077	famous_new	5
51053	response	0
53678	scrambled_new	17
54813	response	0
57225	scrambled_second_early	18
58481	response	0
60551	famous_new	5
61872	response	0
64060	famous_second_late	7
65117	response	0
67570	unfamiliar_new	13
69050	response	0
71006	scrambled_new	17
72351	response	0
74461	famous_new	5
75541	response	0
77860	famous_second_early	6
78866	response	0
81425	famous_second_late	7
82411	response	0
84953	unfamiliar_new	13
86464	response	0
88371	famous_new	5
89529	response	0
91918	famous_second_late	7
93236	response	0
95372	famous_new	5
96238	response	0
98827	famous_second_early	6
99587	response	0
102392	unfamiliar_second_late	15
103334	response	0
105939	scrambled_new	17
106925	response	0
109448	scrambled_second_late	19
110569	response	0
112940	famous_new	5
114102	response	0
116266	scrambled_new	17
117553	response	0
119794	scrambled_second_early	18
120888	response	0
123377	unfamiliar_second_late	15
124385	response	0
126905	scrambled_new	17
127980	response	0
130378	scrambled_second_early	18
132612	response	0
133778	famous_second_late	7
135277	response	0
137324	unfamiliar_new	13
138552	response	0
140760	unfamiliar_second_early	14
141509	response	0
144215	unfamiliar_new	13
145196	response	0
147798	scrambled_second_late	19
149251	response	0
151235	scrambled_new	17
152359	response	0
154910	scrambled_second_early	18
155601	response	0
158438	famous_second_late	7
159692	response	0
161874	famous_new	5
162867	response	0
165365	scrambled_new	17
166758	response	0
169022	scrambled_second_early	18
170333	response	0
172330	scrambled_new	17
173295	response	0
175821	scrambled_second_early	18
177025	response	0
179349	famous_new	5
180651	response	0
182896	unfamiliar_second_late	15
183971	response	0
186277	unfamiliar_new	13
187144	response	0
189677	famous_new	5
191252	response	0
193003	famous_second_late	7
194159	response	0
196494	unfamiliar_new	13
197520	response	0
199912	famous_new	5
200679	response	0
203550	famous_second_early	6
204167	response	0
207060	scrambled_new	17
208161	response	0
210643	scrambled_second_early	18
211927	response	0
214154	famous_second_late	7
215160	response	0
217608	unfamiliar_new	13
218413	response	0
221209	unfamiliar_second_early	14
221786	response	0
224792	unfamiliar_second_late	15
225451	response	0
228302	scrambled_new	17
229298	response	0
231738	scrambled_second_early	18
232566	response	0
235248	famous_second_late	7
236234	response	0
238740	scrambled_new	17
239750	response	0
242231	scrambled_second_early	18
243367	response	0
245906	unfamiliar_second_late	15
246935	response	0
249397	unfamiliar_new	13
250995	response	0
252981	famous_new	5
254024	response	0
256399	famous_second_early	6
256953	response	0
259908	scrambled_new	17
260842	response	0
263455	unfamiliar_new	13
264278	response	0
266873	unfamiliar_new	13
267852	response	0
270254	scrambled_new	17
271179	response	0
273874	unfamiliar_second_late	15
274949	response	0
277531	scrambled_new	17
278741	response	0
280949	scrambled_new	17
281900	response	0
284605	scrambled_second_late	19
285489	response	0
288115	scrambled_new	17
289835	response	0
291698	scrambled_second_early	18
293032	response	0
295300	unfamiliar_second_late	15
296230	response	0
298681	famous_new	5
299411	response	0
302117	famous_second_early	6
302810	response	0
305462	unfamiliar_second_late	15
306573	response	0
308824	unfamiliar_new	13
310808	response	0
312371	unfamiliar_second_early	14
313237	response	0
315844	scrambled_second_late	19
316660	response	0
319226	scrambled_new	17
320148	response	0
322680	scrambled_second_early	18
323721	response	0
326245	scrambled_second_late	19
327087	response	0
329901	famous_new	5
331611	response	0
333191	famous_second_early	6
334662	response	0
336682	scrambled_second_late	19
338086	response	0
340265	famous_new	5
341087	response	0
343738	famous_second_early	6
344290	response	0
347193	famous_new	5
348011	response	0
350684	unfamiliar_new	13
351908	response	0
354268	scrambled_new	17
355744	response	0
357832	unfamiliar_new	13
358993	response	0
361305	unfamiliar_new	13
362655	response	0
364668	unfamiliar_second_early	14
365273	response	0
368013	famous_new	5
369542	response	0
371486	famous_second_early	6
372480	response	0
375032	famous_second_late	7
375819	response	0
378560	unfamiliar_new	13
380068	response	0
381960	unfamiliar_second_early	14
382554	response	0
385451	unfamiliar_second_late	15
386407	response	0
388814	unfamiliar_new	13
389882	response	0
392213	scrambled_second_late	19
393722	response	0
395705	famous_new	5
396587	response	0
399086	unfamiliar_second_late	15
400388	response	0
402449	unfamiliar_new	13
404049	response	0
405830	famous_new	5
406751	response	0
409248	famous_second_early	6
409875	response	0
412794	scrambled_new	17
414155	response	0
416304	unfamiliar_new	13
417549	response	0
419778	unfamiliar_second_late	15
420698	response	0
423305	scrambled_new	17
424088	response	0
426778	famous_second_late	7
427904	response	0
430141	scrambled_new	17
431065	response	0
433540	scrambled_second_early	18
434444	response	0
436977	unfamiliar_second_late	15
437868	response	0
440394	unfamiliar_new	13
441198	response	0
443941	famous_new	5
444938	response	0
447598	famous_second_early	6
448550	response	0
451163	scrambled_second_late	19
452047	response	0
454452	scrambled_new	17
455819	response	0
458017	scrambled_second_early	18
458744	response	0
461655	unfamiliar_second_late	15
462399	response	0
464963	famous_new	5
465814	response	0
468619	famous_second_early	6
469121	response	0
472074	scrambled_second_late	19
473354	response	0
475584	unfamiliar_new	13
476451	response	0
478983	famous_new	5
480426	response	0
482622	unfamiliar_second_late	15
483819	response	0
486168	unfamiliar_new	13
486723	response	0
489623	unfamiliar_new	13
490622	response	0
493261	unfamiliar_second_early	14
494083	response	0
496863	famous_new	5
498252	response	0
500428	scrambled_new	17
501418	response	0
503901	scrambled_second_early	18
504566	response	0
507300	unfamiliar_second_late	15
508238	response	0
510884	scrambled_new	17
512394	response	0
514154	famous_second_late	7
515765	response	0
517627	famous_new	5
518656	response	0
521064	famous_second_early	6
521763	response	0
524426	unfamiliar_second_late	15
525276	response	0
527863	famous_new	5
529086	response	0
531281	famous_second_early	6
532238	response	0
534827	unfamiliar_new	13
535985	response	0
538392	famous_second_late	7
539445	response	0
