onset	trial_type	eventcode
26633	scrambled_new	17
27424	response	0
30271	unfamiliar_new	13
30936	response	0
33707	scrambled_new	17
34659	response	0
37382	scrambled_second_early	18
38123	response	0
41021	scrambled_new	17
41741	response	0
44531	scrambled_second_early	18
45278	response	0
47913	famous_new	5
48512	response	0
51349	famous_second_early	6
51832	response	0
54821	scrambled_new	17
55957	response	0
58239	scrambled_second_early	18
58740	response	0
61712	scrambled_second_late	19
62477	response	0
65295	unfamiliar_new	13
65869	response	0
68952	unfamiliar_second_late	15
69540	response	0
72443	famous_new	5
73360	response	0
76028	famous_new	5
76795	response	0
79499	famous_second_early	6
80153	response	0
83138	famous_new	5
83731	response	0
86721	scrambled_new	17
87385	response	0
90415	scrambled_new	17
90979	response	0
93888	unfamiliar_second_late	15
94501	response	0
97563	famous_new	5
98176	response	0
101091	famous_second_late	7
101710	response	0
104729	scrambled_new	17
105474	response	0
108276	scrambled_second_early	18
108872	response	0
111658	famous_new	5
112463	response	0
115277	famous_second_early	6
115835	response	0
118842	famous_second_late	7
119456	response	0
122186	scrambled_new	17
122653	response	0
125788	scrambled_second_early	18
126596	response	0
129206	scrambled_second_late	19
129956	response	0
132862	scrambled_new	17
133458	response	0
136317	scrambled_second_late	19
136928	response	0
139790	unfamiliar_new	13
140423	response	0
143447	famous_second_late	7
144027	response	0
146846	famous_new	5
147723	response	0
150264	famous_second_early	6
150748	response	0
153774	famous_new	5
154588	response	0
157431	famous_new	5
158119	response	0
161069	famous_second_early	6
161553	response	0
164763	unfamiliar_new	13
165706	response	0
168291	unfamiliar_second_early	14
169087	response	0
171690	scrambled_second_late	19
172653	response	0
175053	scrambled_new	17
175862	response	0
178526	unfamiliar_second_late	15
179097	response	0
181926	unfamiliar_new	13
182875	response	0
185435	unfamiliar_second_early	14
186055	response	0
188761	unfamiliar_new	13
189575	response	0
192326	famous_second_late	7
192936	response	0
195744	famous_new	5
196582	response	0
199162	scrambled_new	17
199842	response	0
202561	scrambled_new	17
203531	response	0
206054	scrambled_second_early	18
206592	response	0
209636	scrambled_second_late	19
210314	response	0
213127	famous_new	5
213789	response	0
216637	famous_second_early	6
217164	response	0
220202	unfamiliar_new	13
220834	response	0
223841	unfamiliar_second_early	14
224373	response	0
227240	unfamiliar_second_late	15
227953	response	0
230805	scrambled_new	17
231506	response	0
234278	famous_second_late	7
235138	response	0
237861	scrambled_new	17
238799	response	0
241389	scrambled_second_early	18
241951	response	0
244807	scrambled_second_late	19
245438	response	0
248225	unfamiliar_new	13
248913	response	0
251753	scrambled_new	17
252540	response	0
255263	unfamiliar_new	13
255913	response	0
258754	famous_new	5
259384	response	0
262135	famous_second_early	6
262759	response	0
265461	scrambled_second_late	19
266059	response	0
269063	scrambled_new	17
269548	response	0
272554	famous_new	5
273342	response	0
275936	famous_second_early	6
276515	response	0
279317	unfamiliar_second_late	15
280073	response	0
282716	scrambled_new	17
283319	response	0
286171	scrambled_second_late	19
286921	response	0
289662	unfamiliar_new	13
290414	response	0
293098	unfamiliar_second_late	15
293823	response	0
296683	scrambled_new	17
297447	response	0
300210	scrambled_second_early	18
300800	response	0
303830	famous_new	5
304599	response	0
307266	scrambled_second_late	19
307996	response	0
310886	unfamiliar_new	13
311757	response	0
314359	unfamiliar_new	13
315077	response	0
317777	unfamiliar_second_early	14
318394	response	0
321232	scrambled_second_late	19
322370	response	0
324760	famous_new	5
325627	response	0
328270	famous_second_early	6
328896	response	0
331724	unfamiliar_second_late	15
332383	response	0
335289	unfamiliar_new	13
336047	response	0
338799	scrambled_new	17
339458	response	0
342328	famous_second_late	7
343019	response	0
345910	famous_new	5
346575	response	0
349365	famous_second_early	6
350006	response	0
352838	unfamiliar_second_late	15
353545	response	0
356458	scrambled_new	17
357193	response	0
359857	scrambled_second_early	18
360486	response	0
363330	unfamiliar_new	13
363965	response	0
366675	unfamiliar_second_early	14
367232	response	0
370075	unfamiliar_new	13
370780	response	0
373474	unfamiliar_second_late	15
374179	response	0
377020	famous_new	5
377917	response	0
380585	famous_second_early	6
381281	response	0
384040	scrambled_second_late	19
384781	response	0
387477	unfamiliar_new	13
388291	response	0
391115	unfamiliar_second_early	14
391726	response	0
394625	scrambled_new	17
395274	response	0
398244	scrambled_second_early	18
398740	response	0
