onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	0.084	n/a	n/a	28	17	4.220	0	-1	0.000
4.000	3.000	parametric gain	-0.267	n/a	n/a	14	7	4.210	0	-1	0.000
8.000	3.000	parametric gain	0.084	n/a	n/a	28	18	2.820	0	-1	0.000
14.000	3.000	parametric gain	-0.216	n/a	n/a	16	11	0.610	2	1	2.081
18.000	3.000	parametric gain	0.384	n/a	n/a	40	20	12.020	0	-1	0.000
22.000	3.000	parametric gain	-0.167	n/a	n/a	18	16	-4.380	3	0	2.348
28.000	3.000	parametric gain	0.334	n/a	n/a	38	11	22.610	0	-1	0.000
32.000	3.000	parametric gain	0.283	n/a	n/a	36	10	22.010	0	-1	0.000
40.000	3.000	parametric gain	0.384	n/a	n/a	40	18	14.820	2	1	1.385
44.000	3.000	parametric gain	-0.366	n/a	n/a	10	10	-3.990	3	0	1.044
50.000	3.000	parametric gain	-0.017	n/a	n/a	24	6	15.610	2	1	1.265
56.000	3.000	parametric gain	-0.117	n/a	n/a	20	8	8.810	2	1	0.898
62.000	3.000	parametric gain	0.384	n/a	n/a	40	12	23.210	2	1	0.989
68.000	3.000	parametric gain	-0.067	n/a	n/a	22	10	8.010	3	0	1.634
76.000	3.000	parametric gain	-0.167	n/a	n/a	18	6	9.610	2	1	0.850
80.000	3.000	parametric gain	0.334	n/a	n/a	38	16	15.620	2	1	1.341
90.000	3.000	parametric gain	0.134	n/a	n/a	30	20	2.020	3	0	1.074
98.000	3.000	parametric gain	-0.067	n/a	n/a	22	14	2.410	3	0	0.761
102.000	3.000	parametric gain	-0.167	n/a	n/a	18	18	-7.180	3	0	0.732
106.000	3.000	parametric gain	-0.216	n/a	n/a	16	19	-10.580	3	0	1.101
110.000	3.000	parametric gain	-0.017	n/a	n/a	24	10	10.010	0	-1	0.000
116.000	3.000	parametric gain	-0.317	n/a	n/a	12	19	-14.580	4	0	1.429
120.000	3.000	parametric gain	0.084	n/a	n/a	28	9	15.410	1	1	1.524
126.000	3.000	parametric gain	0.134	n/a	n/a	30	10	16.010	2	1	1.354
130.000	3.000	parametric gain	-0.167	n/a	n/a	18	15	-2.990	3	0	2.174
142.000	3.000	parametric gain	0.183	n/a	n/a	32	14	12.410	2	1	2.554
146.000	3.000	parametric gain	0.234	n/a	n/a	34	11	18.610	3	0	1.437
152.000	3.000	parametric gain	0.334	n/a	n/a	38	19	11.420	0	-1	0.000
156.000	3.000	parametric gain	-0.267	n/a	n/a	14	10	0.010	3	0	1.309
160.000	3.000	parametric gain	0.234	n/a	n/a	34	8	22.810	0	-1	0.000
164.000	3.000	parametric gain	0.134	n/a	n/a	30	11	14.610	3	0	1.069
168.000	3.000	parametric gain	0.183	n/a	n/a	32	13	13.810	3	0	1.770
