onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	0.084	n/a	n/a	28	17	-19.160	3	0	1.745
4.000	3.000	parametric gain	-0.267	n/a	n/a	14	7	-5.420	3	0	1.288
8.000	3.000	parametric gain	0.084	n/a	n/a	28	18	-21.930	3	0	1.231
14.000	3.000	parametric gain	-0.216	n/a	n/a	16	11	-14.510	3	0	1.247
18.000	3.000	parametric gain	0.384	n/a	n/a	40	20	-15.480	3	0	1.204
22.000	3.000	parametric gain	-0.167	n/a	n/a	18	16	-26.380	4	0	1.690
28.000	3.000	parametric gain	0.334	n/a	n/a	38	11	7.490	2	1	1.482
32.000	3.000	parametric gain	0.283	n/a	n/a	36	10	8.260	2	1	1.459
40.000	3.000	parametric gain	0.384	n/a	n/a	40	18	-9.930	3	0	1.492
44.000	3.000	parametric gain	-0.366	n/a	n/a	10	10	-17.740	4	0	1.158
50.000	3.000	parametric gain	-0.017	n/a	n/a	24	6	7.360	2	1	1.492
56.000	3.000	parametric gain	-0.117	n/a	n/a	20	8	-2.190	3	0	1.475
62.000	3.000	parametric gain	0.384	n/a	n/a	40	12	6.710	2	1	2.212
68.000	3.000	parametric gain	-0.067	n/a	n/a	22	10	-5.740	3	0	1.205
76.000	3.000	parametric gain	-0.167	n/a	n/a	18	6	1.360	2	1	2.173
80.000	3.000	parametric gain	0.334	n/a	n/a	38	16	-6.380	3	0	1.148
90.000	3.000	parametric gain	0.134	n/a	n/a	30	20	-25.480	3	0	1.221
98.000	3.000	parametric gain	-0.067	n/a	n/a	22	14	-16.830	3	0	1.406
102.000	3.000	parametric gain	-0.167	n/a	n/a	18	18	-31.930	4	0	1.071
106.000	3.000	parametric gain	-0.216	n/a	n/a	16	19	-36.700	4	0	1.245
110.000	3.000	parametric gain	-0.017	n/a	n/a	24	10	-3.740	3	0	1.126
116.000	3.000	parametric gain	-0.317	n/a	n/a	12	19	-40.700	4	0	1.078
120.000	3.000	parametric gain	0.084	n/a	n/a	28	9	3.040	2	1	1.653
126.000	3.000	parametric gain	0.134	n/a	n/a	30	10	2.260	2	1	1.039
130.000	3.000	parametric gain	-0.167	n/a	n/a	18	15	-23.610	4	0	1.077
142.000	3.000	parametric gain	0.183	n/a	n/a	32	14	-6.830	3	0	1.687
146.000	3.000	parametric gain	0.234	n/a	n/a	34	11	3.490	2	1	1.118
152.000	3.000	parametric gain	0.334	n/a	n/a	38	19	-14.700	3	0	1.246
156.000	3.000	parametric gain	-0.267	n/a	n/a	14	10	-13.740	4	0	1.214
160.000	3.000	parametric gain	0.234	n/a	n/a	34	8	11.810	2	1	1.854
164.000	3.000	parametric gain	0.134	n/a	n/a	30	11	-0.510	2	1	1.230
168.000	3.000	parametric gain	0.183	n/a	n/a	32	13	-4.060	3	0	1.919
174.000	3.000	parametric gain	-0.167	n/a	n/a	18	11	-12.510	3	0	1.400
178.000	3.000	parametric gain	0.134	n/a	n/a	30	7	10.580	1	1	2.304
186.000	3.000	parametric gain	-0.167	n/a	n/a	18	13	-18.060	3	0	1.512
190.000	3.000	parametric gain	-0.267	n/a	n/a	14	19	-38.700	4	0	1.071
198.000	3.000	parametric gain	-0.317	n/a	n/a	12	11	-18.510	4	0	0.856
202.000	3.000	parametric gain	-0.366	n/a	n/a	10	13	-26.060	4	0	1.015
206.000	3.000	parametric gain	-0.067	n/a	n/a	22	16	-22.380	4	0	2.511
212.000	3.000	parametric gain	-0.317	n/a	n/a	12	16	-32.380	4	0	1.022
218.000	3.000	parametric gain	0.334	n/a	n/a	38	17	-9.160	3	0	1.465
226.000	3.000	parametric gain	0.384	n/a	n/a	40	14	1.170	2	1	1.377
230.000	3.000	parametric gain	-0.067	n/a	n/a	22	5	8.130	1	1	1.312
234.000	3.000	parametric gain	-0.216	n/a	n/a	16	16	-28.380	4	0	1.304
240.000	3.000	parametric gain	0.234	n/a	n/a	34	5	20.130	2	1	1.904
250.000	3.000	parametric gain	-0.366	n/a	n/a	10	19	-42.700	4	0	0.954
254.000	3.000	parametric gain	-0.267	n/a	n/a	14	16	-30.380	4	0	0.985
258.000	3.000	parametric gain	0.134	n/a	n/a	30	8	7.810	2	1	1.424
262.000	3.000	parametric gain	0.234	n/a	n/a	34	14	-4.830	3	0	1.625
266.000	3.000	parametric gain	0.134	n/a	n/a	30	14	-8.830	3	0	1.209
274.000	3.000	parametric gain	0.034	n/a	n/a	26	15	-15.610	3	0	1.386
282.000	3.000	parametric gain	-0.366	n/a	n/a	10	20	-45.480	4	0	1.131
286.000	3.000	parametric gain	0.234	n/a	n/a	34	7	14.580	1	1	2.204
292.000	3.000	parametric gain	-0.366	n/a	n/a	10	5	-3.870	3	0	1.474
296.000	3.000	parametric gain	-0.117	n/a	n/a	20	20	-35.480	4	0	1.106
