index	name	hemisphere
0	Background	n/a
1	Left Cerebellum	n/a
2	Right Cerebellum	n/a
3	Left Brainstem	n/a
4	Right Brainstem	n/a
5	Left Cerebrum	n/a
6	Right Cerebrum	n/a
7	Inter-Hemispheric	n/a
