onset	duration	trial_type	rating_par
1.0035	5.0	att_neg	n/a
8.0069	0.9208	rating_par	1.1333
13.0022	5.0	att_neut	n/a
19.0098	1.764	rating_par	-0.8667
29.0172	5.0	att_neg	n/a
37.0163	0.9292	rating_par	2.1333
43.0075	5.0	suppr_neg	n/a
49.0152	1.0502	rating_par	1.1333
53.0147	5.0	suppr_neg	n/a
60.0015	1.2735	rating_par	-0.8667
65.0134	5.0	suppr_neg	n/a
71.0046	1.0218	rating_par	2.1333
77.0122	5.0	suppr_neg	n/a
84.0157	0.7467	rating_par	-0.8667
89.011	5.0	att_neut	n/a
95.002	1.1207	rating_par	-0.8667
99.0016	5.0	att_neg	n/a
105.0094	1.8647	rating_par	0.1333
111.017	5.0	att_neg	n/a
119.0162	0.858	rating_par	0.1333
127.0153	5.0	suppr_neg	n/a
134.0021	1.6712	rating_par	0.1333
141.0057	5.0	att_neut	n/a
147.0132	1.031	rating_par	-0.8667
151.0129	5.0	att_neg	n/a
159.0121	0.9667	rating_par	-0.8667
170.0151	5.0	att_neut	n/a
177.0019	2.6419	rating_par	-0.8667
183.0096	5.0	att_neg	n/a
190.013	1.7642	rating_par	-0.8667
194.0125	5.0	att_neut	n/a
201.0159	1.2924	rating_par	-0.8667
205.0155	5.0	att_neut	n/a
212.0024	1.8869	rating_par	-0.8667
217.0143	5.0	suppr_neg	n/a
223.0055	1.3895	rating_par	2.1333
233.0128	5.0	att_neut	n/a
241.0118	0.5347	rating_par	-0.8667
248.0153	5.0	att_neg	n/a
254.0064	1.1021	rating_par	2.1333
259.0018	5.0	suppr_neg	n/a
266.005	1.1183	rating_par	0.1333
272.0128	5.0	att_neut	n/a
280.0119	0.4941	rating_par	-0.8667
285.0074	5.0	att_neut	n/a
292.0107	1.2886	rating_par	-0.8667
297.0061	5.0	suppr_neg	n/a
305.0053	1.3824	rating_par	0.1333
309.0049	5.0	att_neg	n/a
316.0084	0.9155	rating_par	2.1333
320.0078	5.0	suppr_neg	n/a
326.0156	1.4017	rating_par	-0.8667
339.0101	5.0	suppr_neg	n/a
347.0093	0.8188	rating_par	-0.8667
353.0169	5.0	att_neg	n/a
362.0119	2.4858	rating_par	-0.8667
367.0072	5.0	att_neg	n/a
375.0065	0.7711	rating_par	1.1333
380.0018	5.0	att_neut	n/a
386.0093	0.8263	rating_par	-0.8667
