onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.119	n/a	n/a	20	5	10.300	0	-1	0.000
4.000	3.000	parametric gain	-0.069	n/a	n/a	22	17	-10.960	0	-1	0.000
8.000	3.000	parametric gain	-0.369	n/a	n/a	10	16	-21.020	0	-1	0.000
12.000	3.000	parametric gain	0.331	n/a	n/a	38	18	3.100	0	-1	0.000
16.000	3.000	parametric gain	-0.119	n/a	n/a	20	14	-7.150	0	-1	0.000
24.000	3.000	parametric gain	-0.269	n/a	n/a	14	13	-11.210	1	1	1.748
28.000	3.000	parametric gain	0.381	n/a	n/a	40	8	24.490	1	1	1.841
32.000	3.000	parametric gain	0.181	n/a	n/a	32	18	-2.900	2	1	1.371
36.000	3.000	parametric gain	-0.019	n/a	n/a	24	8	8.490	1	1	1.411
40.000	3.000	parametric gain	0.281	n/a	n/a	36	14	8.850	2	1	1.417
44.000	3.000	parametric gain	0.081	n/a	n/a	28	6	16.370	1	1	1.730
48.000	3.000	parametric gain	-0.219	n/a	n/a	16	14	-11.150	3	0	1.426
56.000	3.000	parametric gain	-0.269	n/a	n/a	14	9	-3.450	3	0	2.216
60.000	3.000	parametric gain	-0.119	n/a	n/a	20	13	-5.210	4	0	1.953
64.000	3.000	parametric gain	0.131	n/a	n/a	30	18	-4.900	4	0	2.730
72.000	3.000	parametric gain	-0.269	n/a	n/a	14	15	-15.090	4	0	1.337
76.000	3.000	parametric gain	-0.319	n/a	n/a	12	12	-11.270	4	0	1.193
84.000	3.000	parametric gain	-0.019	n/a	n/a	24	11	2.670	0	-1	0.000
88.000	3.000	parametric gain	-0.319	n/a	n/a	12	10	-7.390	3	0	2.757
94.000	3.000	parametric gain	-0.219	n/a	n/a	16	6	4.370	2	1	1.735
98.000	3.000	parametric gain	0.331	n/a	n/a	38	20	-0.780	4	0	1.754
102.000	3.000	parametric gain	0.081	n/a	n/a	28	10	8.610	2	1	2.570
106.000	3.000	parametric gain	-0.119	n/a	n/a	20	7	6.430	1	1	2.066
110.000	3.000	parametric gain	0.331	n/a	n/a	38	9	20.550	1	1	1.359
120.000	3.000	parametric gain	0.031	n/a	n/a	26	12	2.730	2	1	1.818
132.000	3.000	parametric gain	-0.369	n/a	n/a	10	14	-17.150	3	0	1.635
136.000	3.000	parametric gain	-0.319	n/a	n/a	12	13	-13.210	4	0	2.074
146.000	3.000	parametric gain	-0.019	n/a	n/a	24	15	-5.090	2	1	1.737
150.000	3.000	parametric gain	0.181	n/a	n/a	32	15	2.910	1	1	1.378
154.000	3.000	parametric gain	0.281	n/a	n/a	36	15	6.910	1	1	1.874
162.000	3.000	parametric gain	0.281	n/a	n/a	36	18	1.100	2	1	1.240
166.000	3.000	parametric gain	-0.319	n/a	n/a	12	18	-22.900	4	0	1.290
176.000	3.000	parametric gain	-0.119	n/a	n/a	20	9	2.550	2	1	1.395
180.000	3.000	parametric gain	-0.219	n/a	n/a	16	8	0.490	1	1	1.796
184.000	3.000	parametric gain	-0.319	n/a	n/a	12	20	-26.780	0	-1	0.000
