onset	duration	trial_type	parametric gain	distance from indifference	parametric loss	gain	loss	PTval	respnum	respcat	response_time
0.000	3.000	parametric gain	-0.139	n/a	n/a	20	15	-9.090	3	0	1.501
4.000	3.000	parametric gain	-0.189	n/a	n/a	18	12	-5.270	3	0	1.371
8.000	3.000	parametric gain	-0.389	n/a	n/a	10	15	-19.090	4	0	1.371
18.000	3.000	parametric gain	0.211	n/a	n/a	34	16	2.980	2	1	2.527
24.000	3.000	parametric gain	-0.189	n/a	n/a	18	5	8.300	1	1	1.329
28.000	3.000	parametric gain	0.011	n/a	n/a	26	13	0.790	2	1	1.286
38.000	3.000	parametric gain	0.161	n/a	n/a	32	17	-0.960	2	1	1.270
42.000	3.000	parametric gain	-0.239	n/a	n/a	16	5	6.300	1	1	2.428
46.000	3.000	parametric gain	-0.089	n/a	n/a	22	7	8.430	1	1	1.522
52.000	3.000	parametric gain	0.261	n/a	n/a	36	8	20.490	1	1	0.869
56.000	3.000	parametric gain	-0.239	n/a	n/a	16	10	-3.390	2	1	1.276
62.000	3.000	parametric gain	0.111	n/a	n/a	30	13	4.790	2	1	1.372
74.000	3.000	parametric gain	-0.289	n/a	n/a	14	17	-18.960	4	0	1.398
78.000	3.000	parametric gain	0.061	n/a	n/a	28	19	-8.840	3	0	1.526
82.000	3.000	parametric gain	-0.289	n/a	n/a	14	20	-24.780	4	0	1.172
86.000	3.000	parametric gain	0.011	n/a	n/a	26	16	-5.020	3	0	1.719
90.000	3.000	parametric gain	0.361	n/a	n/a	40	5	30.300	1	1	0.876
94.000	3.000	parametric gain	0.061	n/a	n/a	28	12	4.730	2	1	1.936
98.000	3.000	parametric gain	-0.139	n/a	n/a	20	16	-11.020	3	0	2.059
102.000	3.000	parametric gain	0.011	n/a	n/a	26	5	16.300	1	1	0.926
106.000	3.000	parametric gain	0.161	n/a	n/a	32	20	-6.780	4	0	1.241
110.000	3.000	parametric gain	-0.189	n/a	n/a	18	17	-14.960	4	0	1.641
116.000	3.000	parametric gain	-0.139	n/a	n/a	20	6	8.370	1	1	1.428
120.000	3.000	parametric gain	-0.139	n/a	n/a	20	18	-14.900	3	0	1.996
126.000	3.000	parametric gain	0.361	n/a	n/a	40	7	26.430	1	1	1.351
130.000	3.000	parametric gain	0.261	n/a	n/a	36	6	24.370	1	1	0.941
134.000	3.000	parametric gain	-0.239	n/a	n/a	16	20	-22.780	4	0	1.706
140.000	3.000	parametric gain	0.361	n/a	n/a	40	15	10.910	0	-1	0.000
148.000	3.000	parametric gain	-0.389	n/a	n/a	10	6	-1.630	3	0	2.785
156.000	3.000	parametric gain	-0.339	n/a	n/a	12	15	-17.090	4	0	1.495
160.000	3.000	parametric gain	0.211	n/a	n/a	34	17	1.040	2	1	2.086
164.000	3.000	parametric gain	-0.189	n/a	n/a	18	14	-9.150	3	0	2.845
170.000	3.000	parametric gain	0.361	n/a	n/a	40	13	14.790	2	1	2.342
174.000	3.000	parametric gain	0.161	n/a	n/a	32	19	-4.840	3	0	2.054
178.000	3.000	parametric gain	-0.289	n/a	n/a	14	12	-9.270	4	0	1.181
182.000	3.000	parametric gain	0.161	n/a	n/a	32	10	12.610	1	1	1.494
192.000	3.000	parametric gain	0.261	n/a	n/a	36	17	3.040	2	1	1.307
202.000	3.000	parametric gain	0.061	n/a	n/a	28	13	2.790	1	1	1.494
208.000	3.000	parametric gain	0.211	n/a	n/a	34	13	8.790	2	1	1.691
212.000	3.000	parametric gain	0.311	n/a	n/a	38	14	10.850	2	1	1.573
220.000	3.000	parametric gain	0.161	n/a	n/a	32	11	10.670	1	1	1.926
224.000	3.000	parametric gain	0.161	n/a	n/a	32	9	14.550	1	1	1.758
234.000	3.000	parametric gain	0.111	n/a	n/a	30	16	-1.020	2	1	1.204
238.000	3.000	parametric gain	0.211	n/a	n/a	34	10	14.610	2	1	1.669
246.000	3.000	parametric gain	-0.189	n/a	n/a	18	8	2.490	2	1	1.899
250.000	3.000	parametric gain	0.211	n/a	n/a	34	20	-4.780	3	0	1.853
256.000	3.000	parametric gain	0.161	n/a	n/a	32	16	0.980	3	0	1.701
260.000	3.000	parametric gain	-0.039	n/a	n/a	24	12	0.730	2	1	2.315
266.000	3.000	parametric gain	0.311	n/a	n/a	38	12	14.730	2	1	2.093
272.000	3.000	parametric gain	0.311	n/a	n/a	38	10	18.610	2	1	2.558
280.000	3.000	parametric gain	-0.039	n/a	n/a	24	7	10.430	1	1	0.913
284.000	3.000	parametric gain	-0.239	n/a	n/a	16	13	-9.210	3	0	1.877
296.000	3.000	parametric gain	0.261	n/a	n/a	36	19	-0.840	3	0	1.797
310.000	3.000	parametric gain	0.161	n/a	n/a	32	5	22.300	1	1	0.939
316.000	3.000	parametric gain	0.211	n/a	n/a	34	9	16.550	1	1	0.923
320.000	3.000	parametric gain	0.061	n/a	n/a	28	7	14.430	1	1	0.905
324.000	3.000	parametric gain	-0.039	n/a	n/a	24	13	-1.210	2	1	2.644
330.000	3.000	parametric gain	0.311	n/a	n/a	38	5	28.300	1	1	1.777
336.000	3.000	parametric gain	-0.089	n/a	n/a	22	9	4.550	2	1	1.931
342.000	3.000	parametric gain	-0.389	n/a	n/a	10	11	-11.330	4	0	1.444
346.000	3.000	parametric gain	-0.339	n/a	n/a	12	14	-15.150	4	0	1.924
350.000	3.000	parametric gain	0.211	n/a	n/a	34	19	-2.840	4	0	1.981
360.000	3.000	parametric gain	0.311	n/a	n/a	38	7	24.430	1	1	0.948
364.000	3.000	parametric gain	0.111	n/a	n/a	30	6	18.370	1	1	1.882
368.000	3.000	parametric gain	0.011	n/a	n/a	26	18	-8.900	2	1	3.746
