name	component	type	tracked_point	units	sampling_frequency	placement
Rigid8_eul_x	x	ORNT	Rigid8	rad	480.119169378949	Rigid8
Rigid8_eul_y	y	ORNT	Rigid8	rad	480.119169378949	Rigid8
Rigid8_eul_z	z	ORNT	Rigid8	rad	480.119169378949	Rigid8
Rigid8_cart_x	x	POS	Rigid8	m	480.119169378949	Rigid8
Rigid8_cart_y	y	POS	Rigid8	m	480.119169378949	Rigid8
Rigid8_cart_z	z	POS	Rigid8	m	480.119169378949	Rigid8
Rigid8_Conf	n/a	MISC	Rigid8	n/a	480.119169378949	Rigid8
PhaseSpace8_latency	n/a	LATENCY	n/a	seconds	480.119169378949	n/a
