onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	response_time	Correct	Feedback
0.119	2.000	feedback	0.920	1	1	2	R	1.631	1	R
4.696	2.000	feedback	0.920	2	1	13	R	2.372	0	R
9.116	2.000	feedback	0.920	3	1	8	R	1.295	1	R
13.583	2.000	feedback	0.920	4	1	3	L	1.987	1	L
18.197	2.000	feedback	-1.080	5	1	12	L	1.582	-1	R
22.683	n/a	n/a	n/a	6	1	0	R	1.068	-	-
27.186	n/a	n/a	n/a	7	1	0	R	1.232	-	-
31.683	n/a	n/a	n/a	8	1	0	R	0.774	-	-
36.194	2.000	feedback	-1.080	9	1	14	R	2.183	1	L
40.608	2.000	feedback	0.920	10	1	10	L	1.337	1	L
45.197	2.000	feedback	0.920	11	1	11	R	1.608	1	R
49.617	2.000	feedback	-1.080	12	1	5	L	1.904	0	R
54.115	2.000	feedback	-1.080	13	1	8	R	1.201	1	L
58.694	n/a	n/a	n/a	14	1	0	R	1.013	-	-
63.183	n/a	n/a	n/a	15	1	0	R	0.740	-	-
67.684	n/a	n/a	n/a	16	1	0	R	1.007	-	-
72.114	2.000	feedback	0.920	17	1	9	L	2.052	1	L
76.698	2.000	feedback	-1.080	18	1	14	L	1.316	0	R
81.107	2.000	feedback	0.920	19	1	10	L	1.256	1	L
85.608	2.000	feedback	0.920	20	1	10	L	2.531	1	L
90.111	2.000	feedback	-1.080	21	1	6	R	1.826	0	L
94.694	n/a	n/a	n/a	22	1	0	R	1.071	-	-
99.190	n/a	n/a	n/a	23	1	0	R	0.767	-	-
103.685	n/a	n/a	n/a	24	1	0	R	0.773	-	-
108.108	2.000	feedback	-1.080	25	1	10	L	1.400	1	R
112.612	2.000	feedback	-1.080	26	1	6	R	2.068	0	L
117.084	2.000	feedback	-1.080	27	1	3	L	1.771	1	R
121.704	2.000	feedback	0.920	28	1	11	R	2.115	1	R
126.115	2.000	feedback	0.920	29	1	8	R	1.323	1	R
130.692	n/a	n/a	n/a	30	1	0	R	1.410	-	-
135.185	n/a	n/a	n/a	31	1	0	R	1.702	-	-
139.684	n/a	n/a	n/a	32	1	0	R	1.072	-	-
144.116	2.000	feedback	-1.080	33	1	5	L	1.362	0	R
148.608	2.000	feedback	-1.080	34	1	10	R	1.622	0	L
153.111	2.000	feedback	-1.080	35	1	6	R	2.051	0	L
157.698	2.000	feedback	-1.080	36	1	14	L	1.359	0	R
162.112	2.000	feedback	-1.080	37	1	6	R	1.940	0	L
166.678	n/a	n/a	n/a	38	1	0	R	1.041	-	-
171.177	n/a	n/a	n/a	39	1	0	R	0.327	-	-
175.677	n/a	n/a	n/a	40	1	0	R	0.619	-	-
180.114	2.000	feedback	0.920	41	1	8	R	1.360	1	R
184.611	2.000	feedback	-1.080	42	1	6	R	1.737	0	L
189.092	2.000	feedback	0.920	43	1	2	R	1.060	1	R
193.608	2.000	feedback	0.920	44	1	10	L	1.215	1	L
198.085	2.000	feedback	0.920	45	1	4	L	1.050	1	L
202.677	n/a	n/a	n/a	46	1	0	L	1.004	-	-
207.178	n/a	n/a	n/a	47	1	0	R	0.503	-	-
211.677	n/a	n/a	n/a	48	1	0	R	0.308	-	-
216.108	2.000	feedback	-1.080	49	1	10	R	1.238	0	L
220.589	2.000	feedback	0.920	50	1	1	R	1.657	1	R
225.117	2.000	feedback	0.920	51	1	5	R	1.492	1	R
229.690	2.000	feedback	-1.080	52	1	14	L	1.521	0	R
234.108	2.000	feedback	0.920	53	1	10	L	1.822	1	L
238.677	n/a	n/a	n/a	54	1	0	R	1.014	-	-
243.177	n/a	n/a	n/a	55	1	0	R	0.602	-	-
247.684	n/a	n/a	n/a	56	1	0	R	0.791	-	-
252.111	2.000	feedback	-1.080	57	1	6	R	1.649	0	L
256.608	2.000	feedback	0.920	58	1	10	L	1.755	1	L
261.190	2.000	feedback	0.920	59	1	11	R	1.647	1	R
265.585	2.000	feedback	-1.080	60	1	4	L	1.698	1	R
270.113	2.000	feedback	0.920	61	1	6	R	2.230	0	R
274.671	n/a	n/a	n/a	62	1	0	R	1.005	-	-
279.177	n/a	n/a	n/a	63	1	0	R	0.451	-	-
283.677	n/a	n/a	n/a	64	1	0	R	1.080	-	-
288.092	2.000	feedback	0.920	65	1	2	R	0.961	1	R
292.690	2.000	feedback	0.920	66	1	11	R	1.156	1	R
297.116	2.000	feedback	0.920	67	1	5	R	1.168	1	R
301.608	2.000	feedback	0.920	68	1	10	L	0.941	1	L
306.190	2.000	feedback	0.920	69	1	11	R	0.929	1	R
310.677	n/a	n/a	n/a	70	1	0	R	1.144	-	-
315.177	n/a	n/a	n/a	71	1	0	R	0.325	-	-
319.678	n/a	n/a	n/a	72	1	0	R	0.544	-	-
324.108	2.000	feedback	0.920	73	1	10	L	0.978	1	L
328.586	2.000	feedback	-1.080	74	1	3	R	0.786	0	L
333.191	2.000	feedback	-1.080	75	1	11	L	1.177	0	R
337.617	2.000	feedback	-1.080	76	1	5	L	0.973	0	R
342.088	2.000	feedback	-1.080	77	1	1	L	1.579	0	R
346.676	n/a	n/a	n/a	78	1	0	R	0.955	-	-
351.178	n/a	n/a	n/a	79	1	0	R	0.918	-	-
355.677	n/a	n/a	n/a	80	1	0	R	0.578	-	-
