onset	duration	event_sample	trial_type	event_value	stim_file
27.1982	0	29918	Scrambled	17	s063.bmp
30.3218	0	33354	Scrambled	18	s063.bmp
33.3455	0	36680	Scrambled	17	s039.bmp
36.4027	0	40043	Scrambled	18	s039.bmp
39.61	0	43571	Unfamiliar	13	u122.bmp
42.8009	0	47081	Unfamiliar	14	u122.bmp
46.0082	0	50609	Unfamiliar	13	u023.bmp
49.1655	0	54082	Famous	5	f074.bmp
52.3391	0	57573	Scrambled	17	s092.bmp
55.5136	0	61065	Scrambled	18	s092.bmp
58.6373	0	64501	Famous	5	f105.bmp
61.7773	0	67955	Famous	6	f105.bmp
64.9182	0	71410	Scrambled	17	s054.bmp
68.2091	0	75030	Unfamiliar	13	u075.bmp
71.4	0	78540	Unfamiliar	15	u023.bmp
74.6736	0	82141	Famous	5	f067.bmp
77.7145	0	85486	Famous	6	f067.bmp
80.8545	0	88940	Famous	7	f074.bmp
84.1464	0	92561	Scrambled	17	s091.bmp
87.27	0	95997	Scrambled	18	s091.bmp
90.4936	0	99543	Famous	5	f104.bmp
93.5845	0	102943	Scrambled	17	s026.bmp
96.7418	0	106416	Scrambled	19	s054.bmp
99.9327	0	109926	Scrambled	17	s106.bmp
103.056	0	113362	Scrambled	18	s106.bmp
106.164	0	116780	Unfamiliar	15	u075.bmp
109.287	0	120216	Scrambled	17	s006.bmp
112.411	0	123652	Scrambled	18	s006.bmp
115.485	0	127033	Unfamiliar	13	u038.bmp
118.642	0	130506	Unfamiliar	13	u020.bmp
121.816	0	133998	Famous	7	f104.bmp
125.024	0	137526	Unfamiliar	13	u077.bmp
131.489	0	144638	Scrambled	19	s026.bmp
134.529	0	147982	Scrambled	17	s101.bmp
137.619	0	151381	Scrambled	17	s069.bmp
140.944	0	155038	Scrambled	18	s069.bmp
143.984	0	158382	Unfamiliar	13	u105.bmp
147.092	0	161801	Unfamiliar	15	u038.bmp
150.315	0	165347	Unfamiliar	13	u046.bmp
153.623	0	168985	Unfamiliar	15	u020.bmp
156.814	0	172495	Famous	5	f062.bmp
160.071	0	176078	Scrambled	17	s097.bmp
163.328	0	179661	Scrambled	19	s101.bmp
166.569	0	183226	Unfamiliar	13	u095.bmp
169.744	0	186718	Unfamiliar	14	u095.bmp
172.951	0	190246	Unfamiliar	13	u022.bmp
176.292	0	193921	Unfamiliar	15	u105.bmp
179.399	0	197339	Famous	5	f073.bmp
182.423	0	200665	Famous	6	f073.bmp
185.613	0	204174	Unfamiliar	15	u046.bmp
188.77	0	207647	Scrambled	17	s088.bmp
191.861	0	211047	Famous	7	f062.bmp
195.202	0	214722	Famous	5	f039.bmp
198.375	0	218213	Scrambled	19	s097.bmp
201.5	0	221650	Unfamiliar	13	u084.bmp
204.624	0	225086	Unfamiliar	14	u084.bmp
