onset	duration	trial_type	value	sample
369.5275	0.0	encode4	1	443433
374.54583333333335	0.0	probe4	3	449455
374.54583333333335	0.0	probe_not_in_set	6	449455
375.1533333333333	0.0	response_r	11	450184
375.1533333333333	0.0	response_correct_rejection	7	450184
377.0308333333333	0.0	encode6	2	452437
382.0491666666667	0.0	probe_in_set	5	458459
382.0491666666667	0.0	probe6	4	458459
383.0283333333333	0.0	response_hit	8	459634
383.0283333333333	0.0	response_l	9	459634
384.53333333333336	0.0	encode6	2	461440
389.535	0.0	probe_in_set	5	467442
389.535	0.0	probe6	4	467442
390.4575	0.0	response_hit	8	468549
390.4575	0.0	response_l	9	468549
392.0366666666667	0.0	encode6	2	470444
397.055	0.0	probe_not_in_set	6	476466
397.055	0.0	probe6	4	476466
397.88	0.0	response_r	11	477456
397.88	0.0	response_correct_rejection	7	477456
399.5225	0.0	encode6	2	479427
404.525	0.0	probe_in_set	5	485430
404.525	0.0	probe6	4	485430
405.385	0.0	response_hit	8	486462
405.385	0.0	response_l	9	486462
407.0258333333333	0.0	encode6	2	488431
412.0441666666667	0.0	probe_not_in_set	6	494453
412.0441666666667	0.0	probe6	4	494453
412.84583333333336	0.0	response_r	11	495415
412.84583333333336	0.0	response_correct_rejection	7	495415
414.5283333333333	0.0	encode6	2	497434
419.5475	0.0	probe_not_in_set	6	503457
419.5475	0.0	probe6	4	503457
420.1616666666667	0.0	response_r	11	504194
420.1616666666667	0.0	response_correct_rejection	7	504194
422.0316666666667	0.0	encode6	2	506438
427.06666666666666	0.0	probe_in_set	5	512480
427.06666666666666	0.0	probe6	4	512480
427.8233333333333	0.0	response_hit	8	513388
427.8233333333333	0.0	response_l	9	513388
429.5341666666667	0.0	encode6	2	515441
434.57	0.0	probe_not_in_set	6	521484
434.57	0.0	probe6	4	521484
435.3183333333333	0.0	response_r	11	522382
435.3183333333333	0.0	response_correct_rejection	7	522382
437.0375	0.0	encode6	2	524445
442.05583333333334	0.0	probe_not_in_set	6	530467
442.05583333333334	0.0	probe6	4	530467
442.6191666666667	0.0	response_r	11	531143
442.6191666666667	0.0	response_correct_rejection	7	531143
444.5233333333333	0.0	encode6	2	533428
449.5258333333333	0.0	probe_in_set	5	539431
449.5258333333333	0.0	probe6	4	539431
449.5258333333333	0.0	response_miss	10	539431
450.455	0.0	response_r	11	540546
452.02666666666664	0.0	encode4	1	542432
457.045	0.0	probe4	3	548454
457.045	0.0	probe_not_in_set	6	548454
457.62333333333333	0.0	response_r	11	549148
457.62333333333333	0.0	response_correct_rejection	7	549148
459.52916666666664	0.0	encode4	1	551435
464.54833333333335	0.0	probe_in_set	5	557458
464.54833333333335	0.0	probe4	3	557458
465.0	0.0	response_hit	8	558000
465.0	0.0	response_l	9	558000
467.0325	0.0	encode4	1	560439
472.0341666666667	0.0	probe4	3	566441
472.0341666666667	0.0	probe_not_in_set	6	566441
472.68416666666667	0.0	response_r	11	567221
472.68416666666667	0.0	response_correct_rejection	7	567221
474.53583333333336	0.0	encode4	1	569443
479.5541666666667	0.0	probe_in_set	5	575465
479.5541666666667	0.0	probe4	3	575465
480.17083333333335	0.0	response_hit	8	576205
480.17083333333335	0.0	response_l	9	576205
482.02166666666665	0.0	encode4	1	578426
487.0233333333333	0.0	probe_in_set	5	584428
487.0233333333333	0.0	probe4	3	584428
487.7133333333333	0.0	response_hit	8	585256
487.7133333333333	0.0	response_l	9	585256
489.525	0.0	encode4	1	587430
494.54333333333335	0.0	probe_in_set	5	593452
494.54333333333335	0.0	probe4	3	593452
495.0183333333333	0.0	response_hit	8	594022
495.0183333333333	0.0	response_l	9	594022
497.0275	0.0	encode4	1	596433
502.04583333333335	0.0	probe4	3	602455
502.04583333333335	0.0	probe_not_in_set	6	602455
503.06	0.0	response_r	11	603672
503.06	0.0	response_correct_rejection	7	603672
504.5308333333333	0.0	encode4	1	605437
509.5491666666667	0.0	probe4	3	611459
509.5491666666667	0.0	probe_not_in_set	6	611459
510.2291666666667	0.0	response_r	11	612275
510.2291666666667	0.0	response_correct_rejection	7	612275
512.0333333333333	0.0	encode4	1	614440
517.0691666666667	0.0	probe4	3	620483
517.0691666666667	0.0	probe_not_in_set	6	620483
517.6175	0.0	response_r	11	621141
517.6175	0.0	response_correct_rejection	7	621141
519.52	0.0	encode4	1	623424
524.5383333333333	0.0	probe_in_set	5	629446
524.5383333333333	0.0	probe4	3	629446
525.2741666666667	0.0	response_hit	8	630329
525.2741666666667	0.0	response_l	9	630329
527.0225	0.0	encode6	2	632427
532.025	0.0	probe_in_set	5	638430
532.025	0.0	probe6	4	638430
533.205	0.0	response_hit	8	639846
533.205	0.0	response_l	9	639846
534.5258333333334	0.0	encode6	2	641431
539.5441666666667	0.0	probe_not_in_set	6	647453
539.5441666666667	0.0	probe6	4	647453
540.3908333333334	0.0	response_r	11	648469
