name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MLF56-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF61-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF62-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF63-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF64-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF65-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF66-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLF67-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO13-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO14-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO24-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO34-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO41-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO42-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO43-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO44-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO51-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO52-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLO53-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP11-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP12-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP21-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP22-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP23-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP31-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP32-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
MLP33-1609	OTHER	T	0.0	600.0	Other type of channel	1200.0	good
