name	type	units	description
SCLK01	SYSCLOCK	s	system clock
BG1	MEGREFMAG	T	reference magnetometer
BG2	MEGREFMAG	T	reference magnetometer
BG3	MEGREFMAG	T	reference magnetometer
BP1	MEGREFMAG	T	reference magnetometer
BP2	MEGREFMAG	T	reference magnetometer
BP3	MEGREFMAG	T	reference magnetometer
BR1	MEGREFMAG	T	reference magnetometer
BR2	MEGREFMAG	T	reference magnetometer
BR3	MEGREFMAG	T	reference magnetometer
G11	MEGREFGRADAXIAL	T	reference gradiometer
G12	MEGREFGRADAXIAL	T	reference gradiometer
G13	MEGREFGRADAXIAL	T	reference gradiometer
G22	MEGREFGRADAXIAL	T	reference gradiometer
G23	MEGREFGRADAXIAL	T	reference gradiometer
P11	MEGREFGRADAXIAL	T	reference gradiometer
P12	MEGREFGRADAXIAL	T	reference gradiometer
P22	MEGREFGRADAXIAL	T	reference gradiometer
P23	MEGREFGRADAXIAL	T	reference gradiometer
Q11	MEGREFGRADAXIAL	T	reference gradiometer
Q12	MEGREFGRADAXIAL	T	reference gradiometer
Q13	MEGREFGRADAXIAL	T	reference gradiometer
Q22	MEGREFGRADAXIAL	T	reference gradiometer
Q23	MEGREFGRADAXIAL	T	reference gradiometer
R11	MEGREFGRADAXIAL	T	reference gradiometer
R12	MEGREFGRADAXIAL	T	reference gradiometer
R13	MEGREFGRADAXIAL	T	reference gradiometer
R22	MEGREFGRADAXIAL	T	reference gradiometer
R23	MEGREFGRADAXIAL	T	reference gradiometer
MLC11	MEGGRADAXIAL	T	primary gradiometer
MLC12	MEGGRADAXIAL	T	primary gradiometer
MLC13	MEGGRADAXIAL	T	primary gradiometer
MLC14	MEGGRADAXIAL	T	primary gradiometer
MLC15	MEGGRADAXIAL	T	primary gradiometer
MLC16	MEGGRADAXIAL	T	primary gradiometer
MLC17	MEGGRADAXIAL	T	primary gradiometer
MLC21	MEGGRADAXIAL	T	primary gradiometer
MLC22	MEGGRADAXIAL	T	primary gradiometer
MLC23	MEGGRADAXIAL	T	primary gradiometer
MLC24	MEGGRADAXIAL	T	primary gradiometer
MLC25	MEGGRADAXIAL	T	primary gradiometer
MLC31	MEGGRADAXIAL	T	primary gradiometer
MLC32	MEGGRADAXIAL	T	primary gradiometer
MLC41	MEGGRADAXIAL	T	primary gradiometer
MLC42	MEGGRADAXIAL	T	primary gradiometer
MLC51	MEGGRADAXIAL	T	primary gradiometer
MLC52	MEGGRADAXIAL	T	primary gradiometer
MLC53	MEGGRADAXIAL	T	primary gradiometer
MLC54	MEGGRADAXIAL	T	primary gradiometer
MLC55	MEGGRADAXIAL	T	primary gradiometer
MLC61	MEGGRADAXIAL	T	primary gradiometer
MLC62	MEGGRADAXIAL	T	primary gradiometer
MLC63	MEGGRADAXIAL	T	primary gradiometer
MLF11	MEGGRADAXIAL	T	primary gradiometer
MLF12	MEGGRADAXIAL	T	primary gradiometer
MLF13	MEGGRADAXIAL	T	primary gradiometer
MLF14	MEGGRADAXIAL	T	primary gradiometer
MLF21	MEGGRADAXIAL	T	primary gradiometer
MLF22	MEGGRADAXIAL	T	primary gradiometer
MLF23	MEGGRADAXIAL	T	primary gradiometer
MLF24	MEGGRADAXIAL	T	primary gradiometer
MLF31	MEGGRADAXIAL	T	primary gradiometer
MLF32	MEGGRADAXIAL	T	primary gradiometer
MLF33	MEGGRADAXIAL	T	primary gradiometer
MLF34	MEGGRADAXIAL	T	primary gradiometer
MLF35	MEGGRADAXIAL	T	primary gradiometer
MLF41	MEGGRADAXIAL	T	primary gradiometer
MLF42	MEGGRADAXIAL	T	primary gradiometer
MLF43	MEGGRADAXIAL	T	primary gradiometer
MLF44	MEGGRADAXIAL	T	primary gradiometer
MLF45	MEGGRADAXIAL	T	primary gradiometer
MLF46	MEGGRADAXIAL	T	primary gradiometer
MLF51	MEGGRADAXIAL	T	primary gradiometer
MLF52	MEGGRADAXIAL	T	primary gradiometer
MLF53	MEGGRADAXIAL	T	primary gradiometer
MLF54	MEGGRADAXIAL	T	primary gradiometer
MLF55	MEGGRADAXIAL	T	primary gradiometer
MLF56	MEGGRADAXIAL	T	primary gradiometer
MLF61	MEGGRADAXIAL	T	primary gradiometer
MLF62	MEGGRADAXIAL	T	primary gradiometer
MLF63	MEGGRADAXIAL	T	primary gradiometer
MLF64	MEGGRADAXIAL	T	primary gradiometer
MLF65	MEGGRADAXIAL	T	primary gradiometer
MLF66	MEGGRADAXIAL	T	primary gradiometer
MLF67	MEGGRADAXIAL	T	primary gradiometer
MLO11	MEGGRADAXIAL	T	primary gradiometer
MLO12	MEGGRADAXIAL	T	primary gradiometer
MLO13	MEGGRADAXIAL	T	primary gradiometer
MLO14	MEGGRADAXIAL	T	primary gradiometer
MLO21	MEGGRADAXIAL	T	primary gradiometer
MLO22	MEGGRADAXIAL	T	primary gradiometer
MLO23	MEGGRADAXIAL	T	primary gradiometer
MLO24	MEGGRADAXIAL	T	primary gradiometer
MLO31	MEGGRADAXIAL	T	primary gradiometer
MLO32	MEGGRADAXIAL	T	primary gradiometer
MLO33	MEGGRADAXIAL	T	primary gradiometer
MLO34	MEGGRADAXIAL	T	primary gradiometer
MLO41	MEGGRADAXIAL	T	primary gradiometer
MLO42	MEGGRADAXIAL	T	primary gradiometer
MLO43	MEGGRADAXIAL	T	primary gradiometer
MLO44	MEGGRADAXIAL	T	primary gradiometer
MLO51	MEGGRADAXIAL	T	primary gradiometer
MLO52	MEGGRADAXIAL	T	primary gradiometer
MLO53	MEGGRADAXIAL	T	primary gradiometer
MLP11	MEGGRADAXIAL	T	primary gradiometer
MLP12	MEGGRADAXIAL	T	primary gradiometer
MLP21	MEGGRADAXIAL	T	primary gradiometer
MLP22	MEGGRADAXIAL	T	primary gradiometer
MLP23	MEGGRADAXIAL	T	primary gradiometer
MLP31	MEGGRADAXIAL	T	primary gradiometer
MLP32	MEGGRADAXIAL	T	primary gradiometer
MLP33	MEGGRADAXIAL	T	primary gradiometer
MLP34	MEGGRADAXIAL	T	primary gradiometer
MLP35	MEGGRADAXIAL	T	primary gradiometer
MLP41	MEGGRADAXIAL	T	primary gradiometer
MLP42	MEGGRADAXIAL	T	primary gradiometer
MLP43	MEGGRADAXIAL	T	primary gradiometer
MLP44	MEGGRADAXIAL	T	primary gradiometer
MLP45	MEGGRADAXIAL	T	primary gradiometer
MLP51	MEGGRADAXIAL	T	primary gradiometer
MLP52	MEGGRADAXIAL	T	primary gradiometer
MLP53	MEGGRADAXIAL	T	primary gradiometer
MLP54	MEGGRADAXIAL	T	primary gradiometer
MLP55	MEGGRADAXIAL	T	primary gradiometer
MLP56	MEGGRADAXIAL	T	primary gradiometer
MLP57	MEGGRADAXIAL	T	primary gradiometer
MLT11	MEGGRADAXIAL	T	primary gradiometer
MLT12	MEGGRADAXIAL	T	primary gradiometer
MLT13	MEGGRADAXIAL	T	primary gradiometer
MLT14	MEGGRADAXIAL	T	primary gradiometer
MLT15	MEGGRADAXIAL	T	primary gradiometer
MLT16	MEGGRADAXIAL	T	primary gradiometer
MLT21	MEGGRADAXIAL	T	primary gradiometer
MLT22	MEGGRADAXIAL	T	primary gradiometer
MLT23	MEGGRADAXIAL	T	primary gradiometer
MLT24	MEGGRADAXIAL	T	primary gradiometer
MLT25	MEGGRADAXIAL	T	primary gradiometer
MLT26	MEGGRADAXIAL	T	primary gradiometer
MLT27	MEGGRADAXIAL	T	primary gradiometer
MLT31	MEGGRADAXIAL	T	primary gradiometer
MLT32	MEGGRADAXIAL	T	primary gradiometer
MLT33	MEGGRADAXIAL	T	primary gradiometer
MLT34	MEGGRADAXIAL	T	primary gradiometer
MLT35	MEGGRADAXIAL	T	primary gradiometer
MLT36	MEGGRADAXIAL	T	primary gradiometer
MLT37	MEGGRADAXIAL	T	primary gradiometer
MLT41	MEGGRADAXIAL	T	primary gradiometer
MLT42	MEGGRADAXIAL	T	primary gradiometer
MLT43	MEGGRADAXIAL	T	primary gradiometer
MLT44	MEGGRADAXIAL	T	primary gradiometer
MLT45	MEGGRADAXIAL	T	primary gradiometer
MLT46	MEGGRADAXIAL	T	primary gradiometer
MLT47	MEGGRADAXIAL	T	primary gradiometer
MLT51	MEGGRADAXIAL	T	primary gradiometer
MLT52	MEGGRADAXIAL	T	primary gradiometer
MLT53	MEGGRADAXIAL	T	primary gradiometer
MLT54	MEGGRADAXIAL	T	primary gradiometer
MLT55	MEGGRADAXIAL	T	primary gradiometer
MLT56	MEGGRADAXIAL	T	primary gradiometer
MLT57	MEGGRADAXIAL	T	primary gradiometer
MRC11	MEGGRADAXIAL	T	primary gradiometer
MRC12	MEGGRADAXIAL	T	primary gradiometer
MRC13	MEGGRADAXIAL	T	primary gradiometer
MRC14	MEGGRADAXIAL	T	primary gradiometer
MRC15	MEGGRADAXIAL	T	primary gradiometer
MRC16	MEGGRADAXIAL	T	primary gradiometer
MRC17	MEGGRADAXIAL	T	primary gradiometer
MRC21	MEGGRADAXIAL	T	primary gradiometer
MRC22	MEGGRADAXIAL	T	primary gradiometer
MRC23	MEGGRADAXIAL	T	primary gradiometer
MRC24	MEGGRADAXIAL	T	primary gradiometer
MRC25	MEGGRADAXIAL	T	primary gradiometer
MRC31	MEGGRADAXIAL	T	primary gradiometer
MRC32	MEGGRADAXIAL	T	primary gradiometer
MRC41	MEGGRADAXIAL	T	primary gradiometer
MRC42	MEGGRADAXIAL	T	primary gradiometer
MRC51	MEGGRADAXIAL	T	primary gradiometer
MRC52	MEGGRADAXIAL	T	primary gradiometer
MRC53	MEGGRADAXIAL	T	primary gradiometer
