name	type	units	sampling_frequency	low_cutoff	high_cutoff	notch	reference	status
1	ECOG	microV	1000	200	0.15	n/a	scalp	good
2	ECOG	microV	1000	200	0.15	n/a	scalp	good
3	ECOG	microV	1000	200	0.15	n/a	scalp	good
4	ECOG	microV	1000	200	0.15	n/a	scalp	good
5	ECOG	microV	1000	200	0.15	n/a	scalp	good
6	ECOG	microV	1000	200	0.15	n/a	scalp	good
7	ECOG	microV	1000	200	0.15	n/a	scalp	good
8	ECOG	microV	1000	200	0.15	n/a	scalp	good
9	ECOG	microV	1000	200	0.15	n/a	scalp	good
10	ECOG	microV	1000	200	0.15	n/a	scalp	good
11	ECOG	microV	1000	200	0.15	n/a	scalp	good
12	ECOG	microV	1000	200	0.15	n/a	scalp	good
13	ECOG	microV	1000	200	0.15	n/a	scalp	good
14	ECOG	microV	1000	200	0.15	n/a	scalp	good
15	ECOG	microV	1000	200	0.15	n/a	scalp	good
16	ECOG	microV	1000	200	0.15	n/a	scalp	good
17	ECOG	microV	1000	200	0.15	n/a	scalp	good
18	ECOG	microV	1000	200	0.15	n/a	scalp	good
19	ECOG	microV	1000	200	0.15	n/a	scalp	good
20	ECOG	microV	1000	200	0.15	n/a	scalp	good
21	ECOG	microV	1000	200	0.15	n/a	scalp	good
22	ECOG	microV	1000	200	0.15	n/a	scalp	good
23	ECOG	microV	1000	200	0.15	n/a	scalp	good
24	ECOG	microV	1000	200	0.15	n/a	scalp	good
25	ECOG	microV	1000	200	0.15	n/a	scalp	good
26	ECOG	microV	1000	200	0.15	n/a	scalp	good
27	ECOG	microV	1000	200	0.15	n/a	scalp	good
28	ECOG	microV	1000	200	0.15	n/a	scalp	good
29	ECOG	microV	1000	200	0.15	n/a	scalp	good
30	ECOG	microV	1000	200	0.15	n/a	scalp	good
31	ECOG	microV	1000	200	0.15	n/a	scalp	good
32	ECOG	microV	1000	200	0.15	n/a	scalp	good
33	ECOG	microV	1000	200	0.15	n/a	scalp	good
34	ECOG	microV	1000	200	0.15	n/a	scalp	good
35	ECOG	microV	1000	200	0.15	n/a	scalp	good
36	ECOG	microV	1000	200	0.15	n/a	scalp	good
37	ECOG	microV	1000	200	0.15	n/a	scalp	good
38	ECOG	microV	1000	200	0.15	n/a	scalp	good
39	ECOG	microV	1000	200	0.15	n/a	scalp	good
40	ECOG	microV	1000	200	0.15	n/a	scalp	good
41	ECOG	microV	1000	200	0.15	n/a	scalp	good
42	ECOG	microV	1000	200	0.15	n/a	scalp	good
43	ECOG	microV	1000	200	0.15	n/a	scalp	good
44	ECOG	microV	1000	200	0.15	n/a	scalp	good
45	ECOG	microV	1000	200	0.15	n/a	scalp	good
46	ECOG	microV	1000	200	0.15	n/a	scalp	good
47	ECOG	microV	1000	200	0.15	n/a	scalp	good
48	ECOG	microV	1000	200	0.15	n/a	scalp	good
49	ECOG	microV	1000	200	0.15	n/a	scalp	good
50	ECOG	microV	1000	200	0.15	n/a	scalp	good
51	ECOG	microV	1000	200	0.15	n/a	scalp	good
52	ECOG	microV	1000	200	0.15	n/a	scalp	good
53	ECOG	microV	1000	200	0.15	n/a	scalp	good
54	ECOG	microV	1000	200	0.15	n/a	scalp	good
55	ECOG	microV	1000	200	0.15	n/a	scalp	good
56	ECOG	microV	1000	200	0.15	n/a	scalp	good
57	ECOG	microV	1000	200	0.15	n/a	scalp	good
58	ECOG	microV	1000	200	0.15	n/a	scalp	good
59	ECOG	microV	1000	200	0.15	n/a	scalp	good
60	ECOG	microV	1000	200	0.15	n/a	scalp	good
61	ECOG	microV	1000	200	0.15	n/a	scalp	good
62	ECOG	microV	1000	200	0.15	n/a	scalp	good
63	ECOG	microV	1000	200	0.15	n/a	scalp	good
64	ECOG	microV	1000	200	0.15	n/a	scalp	good
