name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
LIF1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LIF2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LIF3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LIF4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LIF5	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LIF6	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	2.0
LAF1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LAF2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LAF3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LAF4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LAF5	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-anterior	good	2.0
LAF6	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	2.0
IT1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	3.0
IT2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	3.0
IT3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	3.0
IT4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	sub_temporal	good	3.0
TG1	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG2	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG3	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG4	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG5	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG6	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG7	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
TG8	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-inferior	good	1.0
TG9	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG10	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG11	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG12	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG13	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG14	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG15	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG16	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG17	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG18	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG19	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG20	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG21	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG22	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG23	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG24	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG25	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG26	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG27	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG28	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
TG29	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-inferior	good	1.0
