name	x	y	z	size	type
LIF1	13.264113	341.33406099999996	n/a	4	surface
LIF2	31.209677000000003	347.778748	n/a	4	surface
LIF3	56.56754	351.29403199999996	n/a	4	surface
LIF4	88.947581	355.981077	n/a	4	surface
LIF5	126.78931499999999	357.738719	n/a	4	surface
LIF6	172.043347	359.496361	n/a	4	surface
LAF1	49.155242	203.65211100000002	n/a	4	surface
LAF2	66.320565	226.50145600000002	n/a	4	surface
LAF3	87.387097	249.936681	n/a	4	surface
LAF4	110.014113	273.957787	n/a	4	surface
LAF5	140.443548	300.908297	n/a	4	surface
LAF6	176.724798	327.272926	n/a	4	surface
IT1	430.693548	462.02547300000003	n/a	4	surface
IT2	406.506048	477.25837	n/a	4	surface
IT3	378.027218	493.66302800000005	n/a	4	surface
IT4	343.306452	476.086608	n/a	4	surface
TG1	590.0	303.0	n/a	4	surface
TG2	548.0	300.0	n/a	4	surface
TG3	504.0	301.0	n/a	4	surface
TG4	458.0	299.0	n/a	4	surface
TG5	419.0	298.0	n/a	4	surface
TG6	374.0	297.0	n/a	4	surface
TG7	334.0	299.0	n/a	4	surface
TG8	289.0	303.0	n/a	4	surface
TG9	585.0	346.0	n/a	4	surface
TG10	545.0	345.0	n/a	4	surface
TG11	504.0	345.0	n/a	4	surface
TG12	460.0	341.0	n/a	4	surface
TG13	418.0	340.0	n/a	4	surface
TG14	375.0	342.0	n/a	4	surface
TG15	334.0	343.0	n/a	4	surface
TG16	301.0	340.0	n/a	4	surface
TG17	581.0	390.0	n/a	4	surface
TG18	537.0	390.0	n/a	4	surface
TG19	503.0	382.0	n/a	4	surface
TG20	458.0	383.0	n/a	4	surface
TG21	416.0	383.0	n/a	4	surface
TG22	374.0	386.0	n/a	4	surface
TG23	340.0	383.0	n/a	4	surface
TG24	309.0	381.0	n/a	4	surface
TG25	583.0	427.0	n/a	4	surface
TG26	537.0	428.0	n/a	4	surface
TG27	495.0	420.0	n/a	4	surface
TG28	458.0	426.0	n/a	4	surface
TG29	417.0	427.0	n/a	4	surface
TG30	372.0	429.0	n/a	4	surface
TG31	338.0	426.0	n/a	4	surface
TG32	312.0	415.0	n/a	4	surface
LSF1	198.0	291.0	n/a	4	surface
LSF2	191.0	251.0	n/a	4	surface
LSF3	190.0	209.0	n/a	4	surface
LSF4	193.0	170.0	n/a	4	surface
LSF5	199.0	135.0	n/a	4	surface
LSF6	208.0	101.0	n/a	4	surface
LSF7	240.0	285.0	n/a	4	surface
LSF8	233.0	243.0	n/a	4	surface
LSF9	229.0	202.0	n/a	4	surface
LSF10	233.0	161.0	n/a	4	surface
LSF11	236.0	126.0	n/a	4	surface
LSF12	249.0	97.0	n/a	4	surface
