onset	duration	trial_type	Response	Stimulus	response_time
4.951	0.200	visual standard stimulus presentation	n/a	n/a	n/a
7.366	0.200	visual standard stimulus presentation	n/a	n/a	n/a
10.378	0.200	visual standard stimulus presentation	0.000	standard	n/a
12.380	0.200	visual standard stimulus presentation	0.000	standard	n/a
14.977	0.200	visual standard stimulus presentation	0.000	standard	n/a
17.179	0.200	visual standard stimulus presentation	0.000	standard	n/a
20.173	0.200	visual standard stimulus presentation	0.000	standard	n/a
22.770	0.200	visual standard stimulus presentation	0.000	standard	n/a
24.773	0.371	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
24.773	0.200	visual oddball stimulus presentation	1.000	target	n/a
27.768	0.200	visual standard stimulus presentation	0.000	standard	n/a
30.168	0.200	visual standard stimulus presentation	0.000	standard	n/a
32.765	0.200	visual standard stimulus presentation	0.000	standard	n/a
35.759	0.200	visual oddball stimulus presentation	1.000	target	n/a
35.759	0.338	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
37.761	0.200	visual standard stimulus presentation	0.000	standard	n/a
40.359	0.200	visual standard stimulus presentation	0.000	standard	n/a
43.354	0.200	visual standard stimulus presentation	0.000	standard	n/a
45.754	0.200	visual standard stimulus presentation	0.000	standard	n/a
48.352	0.200	visual oddball stimulus presentation	1.000	target	n/a
48.352	0.384	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
50.353	0.200	visual standard stimulus presentation	0.000	standard	n/a
52.951	0.200	visual standard stimulus presentation	0.000	standard	n/a
55.747	0.200	visual standard stimulus presentation	0.000	standard	n/a
58.148	0.379	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
58.148	0.200	visual oddball stimulus presentation	1.000	target	n/a
60.348	0.200	visual standard stimulus presentation	0.000	standard	n/a
63.144	0.200	visual standard stimulus presentation	0.000	standard	n/a
65.742	0.200	visual standard stimulus presentation	0.000	standard	n/a
68.339	0.200	visual standard stimulus presentation	0.000	standard	n/a
70.540	0.200	visual oddball stimulus presentation	1.000	target	n/a
70.540	0.371	behavioral response time following visual oddball stimulus onset	1.000	target	n/a
