onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	RT	Correct	Feedback
0.189	2.0	feedback	0.6	1	1	10	L	1.775	1	L
4.586	2.0	feedback	0.6	2	1	4	L	1.461	1	L
9.108	2.0	feedback	0.6	3	1	10	L	0.653	1	L
13.6045	2.0	feedback	0.6	4	1	10	L	0.832	1	L
18.088	2.0	feedback	0.6	5	1	1	R	0.893	1	R
22.677	n/a	n/a	n/a	6	1	0	R	0.733	-	-
27.183	n/a	n/a	n/a	7	1	0	R	0.467	-	-
31.673	n/a	n/a	n/a	8	1	0	R	0.633	-	-
36.1155	2.0	feedback	0.6	9	1	8	R	1.687	1	R
40.681	2.0	feedback	-1.4	10	1	12	L	2.052	-1	R
45.1105	2.0	feedback	0.6	11	1	6	L	1.609	1	L
49.685	2.0	feedback	-1.4	12	1	11	L	0.605	0	R
54.0865	2.0	feedback	0.6	13	1	3	R	0.617	0	R
58.676	n/a	n/a	n/a	14	1	0	R	0.671	-	-
63.179	n/a	n/a	n/a	15	1	0	R	0.304	-	-
67.676	n/a	n/a	n/a	16	1	0	R	0.393	-	-
72.1945	2.0	feedback	-1.4	17	1	11	L	1.063	0	R
76.5885	2.0	feedback	-1.4	18	1	1	L	0.93	0	R
81.11	2.0	feedback	-1.4	19	1	8	L	0.668	0	R
85.621	2.0	feedback	0.6	20	1	5	R	1.738	1	R
90.108	2.0	feedback	0.6	21	1	10	L	0.922	1	L
94.676	n/a	n/a	n/a	22	1	0	R	0.632	-	-
99.177	n/a	n/a	n/a	23	1	0	R	0.443	-	-
103.677	n/a	n/a	n/a	24	1	0	R	0.375	-	-
108.082	2.0	feedback	0.6	25	1	4	R	1.652	0	R
112.591	2.0	feedback	-1.4	26	1	2	L	0.998	0	R
117.11	2.0	feedback	0.6	27	1	10	L	1.709	1	L
121.6095	2.0	feedback	0.6	28	1	6	L	1.826	1	L
126.2	2.0	feedback	-1.4	29	1	11	L	2.149	0	R
130.684	n/a	n/a	n/a	30	1	0	R	0.618	-	-
135.176	n/a	n/a	n/a	31	1	0	R	0.317	-	-
139.677	n/a	n/a	n/a	32	1	0	R	0.296	-	-
144.088	2.0	feedback	0.6	33	1	1	R	1.674	1	R
148.6115	2.0	feedback	0.6	34	1	6	L	1.159	1	L
153.0855	2.0	feedback	0.6	35	1	3	L	1.415	1	L
157.6095	2.0	feedback	-1.4	36	1	6	R	1.411	0	L
162.19	2.0	feedback	0.6	37	1	13	L	1.642	1	L
166.677	n/a	n/a	n/a	38	1	0	R	0.642	-	-
171.177	n/a	n/a	n/a	39	1	0	R	0.325	-	-
175.674	n/a	n/a	n/a	40	1	0	R	0.597	-	-
180.086	2.0	feedback	0.6	41	1	3	L	1.968	1	L
184.6905	2.0	feedback	0.6	42	1	14	R	1.415	1	R
189.108	2.0	feedback	0.6	43	1	10	L	1.036	1	L
193.5835	2.0	feedback	-1.4	44	1	3	L	0.864	1	R
198.0855	2.0	feedback	0.6	45	1	4	L	1.097	1	L
202.676	n/a	n/a	n/a	46	1	0	R	0.78	-	-
207.175	n/a	n/a	n/a	47	1	0	R	0.346	-	-
211.668	n/a	n/a	n/a	48	1	0	R	0.42	-	-
216.118	2.0	feedback	0.6	49	1	5	R	1.336	1	R
220.608	2.0	feedback	0.6	50	1	10	L	0.688	1	L
225.189	2.0	feedback	0.6	51	1	11	R	1.127	1	R
229.5855	2.0	feedback	0.6	52	1	3	L	0.766	1	L
234.086	2.0	feedback	0.6	53	1	3	L	0.778	1	L
238.675	n/a	n/a	n/a	54	1	0	R	0.767	-	-
243.177	n/a	n/a	n/a	55	1	0	R	0.401	-	-
247.677	n/a	n/a	n/a	56	1	0	R	0.341	-	-
252.111	2.0	feedback	-1.4	57	1	6	R	1.824	0	L
256.607	2.0	feedback	0.6	58	1	10	L	1.26	1	L
261.091	2.0	feedback	-1.4	59	1	2	R	0.64	1	L
265.615	2.0	feedback	-1.4	60	1	8	L	1.349	0	R
270.1085	2.0	feedback	0.6	61	1	10	L	0.878	1	L
274.678	n/a	n/a	n/a	62	1	0	R	0.717	-	-
279.177	n/a	n/a	n/a	63	1	0	R	0.362	-	-
283.677	n/a	n/a	n/a	64	1	0	R	0.424	-	-
288.0825	2.0	feedback	-1.4	65	1	4	L	0.632	1	R
292.6895	2.0	feedback	0.6	66	1	14	R	1.06	1	R
297.082	2.0	feedback	0.6	67	1	4	L	0.772	1	L
301.5865	2.0	feedback	0.6	68	1	1	R	1.302	1	R
306.092	2.0	feedback	0.6	69	1	2	R	0.864	1	R
310.704	n/a	n/a	n/a	70	1	0	R	0.788	-	-
315.184	n/a	n/a	n/a	71	1	0	R	0.345	-	-
319.671	n/a	n/a	n/a	72	1	0	R	0.381	-	-
324.119	2.0	feedback	0.6	73	1	5	R	1.23	1	R
328.6075	2.0	feedback	-1.4	74	1	6	L	1.462	1	R
333.087	2.0	feedback	0.6	75	1	2	R	1.579	1	R
337.6035	2.0	feedback	0.6	76	1	10	L	0.558	1	L
342.0855	2.0	feedback	-1.4	77	1	4	L	0.734	1	R
346.678	n/a	n/a	n/a	78	1	0	R	0.663	-	-
351.177	n/a	n/a	n/a	79	1	0	R	0.493	-	-
355.672	n/a	n/a	n/a	80	1	0	R	0.453	-	-
