onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	response_time	Correct
0.120	2.000	classification-probabilistic	1	1	10	L	2.062	1
5.901	2.000	classification-deterministic	3	2	5	R	1.085	1
13.206	2.000	classification-deterministic	5	2	13	L	2.030	1
18.402	2.000	classification-deterministic	7	2	10	L	1.255	1
25.680	2.000	classification-probabilistic	9	1	6	L	1.478	1
32.423	2.000	classification-probabilistic	11	1	1	R	1.916	1
35.775	2.000	classification-probabilistic	13	1	8	R	1.621	1
40.982	2.000	classification-deterministic	15	2	3	R	1.359	1
44.189	2.000	classification-deterministic	17	2	12	L	1.818	0
48.577	2.000	classification-probabilistic	19	1	14	L	1.659	0
51.584	2.000	classification-probabilistic	21	1	1	L	1.493	0
56.679	2.000	classification-probabilistic	23	1	8	L	2.225	0
60.117	2.000	classification-probabilistic	25	1	5	R	1.317	1
65.505	2.000	classification-probabilistic	27	1	10	L	2.246	1
71.206	2.000	classification-deterministic	29	2	12	L	2.033	0
75.984	2.000	classification-deterministic	31	2	2	R	0.796	1
80.625	2.000	classification-deterministic	33	2	5	R	1.131	1
84.496	2.000	classification-probabilistic	35	1	10	L	0.868	1
91.204	2.000	classification-deterministic	37	2	4	L	1.398	1
97.204	2.000	classification-deterministic	39	2	4	L	1.341	1
101.190	2.000	classification-deterministic	41	2	12	L	1.418	0
105.910	2.000	classification-probabilistic	43	1	14	L	1.781	0
113.203	2.000	classification-deterministic	45	2	4	L	1.072	1
116.496	2.000	classification-probabilistic	47	1	6	L	1.337	1
119.699	2.000	classification-probabilistic	49	1	2	R	0.812	1
124.423	2.000	classification-probabilistic	51	1	4	L	0.949	1
131.820	2.000	classification-deterministic	53	2	1	L	1.663	1
139.484	2.000	classification-probabilistic	55	1	13	L	1.577	1
142.817	2.000	classification-probabilistic	57	1	1	L	2.227	0
146.306	2.000	classification-probabilistic	59	1	4	L	0.782	1
150.319	2.000	classification-probabilistic	61	1	11	R	1.038	1
156.590	2.000	classification-deterministic	63	2	11	R	1.548	1
159.923	2.000	classification-probabilistic	65	1	1	R	2.053	1
163.084	2.000	classification-deterministic	67	2	4	L	0.821	1
167.384	2.000	classification-deterministic	69	2	7	L	1.241	1
170.402	2.000	classification-deterministic	71	2	7	L	1.534	1
174.221	2.000	classification-deterministic	73	2	9	R	0.853	1
180.398	2.000	classification-probabilistic	75	1	10	L	1.205	1
185.600	2.000	classification-probabilistic	77	1	11	R	1.161	1
190.482	2.000	classification-deterministic	79	2	4	L	0.976	1
194.976	2.000	classification-deterministic	81	2	3	R	1.043	1
199.190	2.000	classification-deterministic	83	2	13	R	1.862	0
202.190	2.000	classification-deterministic	85	2	12	L	1.582	0
208.790	2.000	classification-probabilistic	87	1	5	R	1.374	1
213.397	2.000	classification-probabilistic	89	1	6	L	1.488	1
219.900	2.000	classification-deterministic	91	2	5	R	1.373	1
223.186	2.000	classification-deterministic	93	2	11	R	1.133	1
226.777	2.000	classification-deterministic	95	2	8	R	1.504	1
229.886	2.000	classification-deterministic	97	2	8	R	1.074	1
235.786	2.000	classification-probabilistic	99	1	6	L	1.064	1
240.821	2.000	classification-probabilistic	101	1	11	R	1.857	1
244.111	2.000	classification-deterministic	103	2	5	R	1.240	1
247.976	2.000	classification-probabilistic	105	1	2	R	1.477	1
252.414	2.000	classification-probabilistic	107	1	13	L	1.056	1
258.007	2.000	classification-probabilistic	109	1	6	L	1.869	1
261.584	2.000	classification-probabilistic	111	1	3	L	2.411	1
