name	type	units	description	sampling_frequency	high_cutoff	low_cutoff	notch	software_filters	status
EEG007	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG008	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG009	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG010	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG011	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG012	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG013	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG014	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG015	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG016	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG017	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG018	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG019	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG020	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG021	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG022	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG023	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG024	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG025	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG026	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG027	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG028	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG029	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG030	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG031	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG032	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG033	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG034	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG035	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG036	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG037	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG038	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG039	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG040	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG041	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG042	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG043	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG044	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG045	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG046	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG047	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG048	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG049	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG050	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG051	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG052	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG053	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG054	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG055	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG056	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG057	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG058	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG059	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG060	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG061	HEOG	V	horizontaleog	1100	350	0	n/a	n/a	good
EEG062	VEOG	V	verticaleog	1100	350	0	n/a	n/a	good
EEG063	ECG	V	cardiac	1100	350	0	n/a	n/a	good
EEG064	MISC	n/a	unused	1100	350	0	n/a	n/a	good
EEG065	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG066	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG067	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG068	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG069	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG070	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG071	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG072	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG073	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
EEG074	EEG	V	eegchannel	1100	350	0	n/a	n/a	good
STI101	TRIG	n/a	digitaltrigger	1100	Inf	0	n/a	n/a	good
STI201	TRIG	n/a	othertrigger	1100	Inf	0	n/a	n/a	good
STI301	TRIG	n/a	othertrigger	1100	Inf	0	n/a	n/a	good
MISC201	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC202	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC203	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC204	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC205	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC206	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC301	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC302	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC303	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC304	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC305	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
MISC306	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI001	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI002	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI003	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI004	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI005	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI006	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI007	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI008	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
CHPI009	MISC	n/a	n/a	1100	Inf	0	n/a	n/a	good
