name	type	units	description	sampling_frequency	high_cutoff	low_cutoff	notch	software_filters	status
MEG0941	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1013	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1012	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1011	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1023	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1022	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1021	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1032	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1033	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1031	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1043	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1042	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1041	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1112	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1113	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1111	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1123	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1122	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1121	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1133	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1132	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1131	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1142	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1143	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1141	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1213	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1212	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1211	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1223	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1222	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1221	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1232	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1233	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1231	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1243	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1242	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1241	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1312	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1313	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1311	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1323	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1322	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1321	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1333	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1332	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1331	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1342	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1343	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1341	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1412	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1413	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1411	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1423	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1422	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1421	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1433	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1432	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1431	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1442	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1443	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1441	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1512	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1513	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1511	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1522	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1523	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1521	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1533	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1532	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1531	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1543	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1542	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1541	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1613	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1612	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1611	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1622	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1623	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1621	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1632	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1633	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1631	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1643	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1642	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1641	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1713	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1712	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1711	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1722	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1723	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1721	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1732	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1733	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1731	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1743	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1742	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1741	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1813	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1812	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1811	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1822	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1823	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1821	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1832	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1833	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1831	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1843	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1842	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1841	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1912	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1913	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1911	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1923	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1922	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1921	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1932	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1933	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1931	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG1943	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1942	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG1941	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2013	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2012	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2011	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2023	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2022	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2021	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2032	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2033	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2031	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2042	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2043	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2041	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2113	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2112	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2111	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2122	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2123	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2121	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2133	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2132	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2131	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2143	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2142	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2141	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2212	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2213	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2211	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2223	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2222	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2221	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2233	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2232	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2231	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2242	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2243	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2241	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2312	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2313	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2311	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2323	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2322	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2321	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2332	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2333	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2331	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2343	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2342	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2341	MEGMAG	T	magnetometer	1100	350	0	n/a	n/a	good
MEG2412	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
MEG2413	MEGGRADPLANAR	T/m	planar_gradiometer	1100	350	0	n/a	n/a	good
