onset	duration	trial_type	response_time	sample	value
70.9257812500	n/a	stimulus	n/a	18157.0000000000	128
76.8789062500	n/a	response	n/a	19681.0000000000	8
79.6601562500	n/a	response	n/a	20393.0000000000	4
218.6718750000	n/a	stimulus	n/a	55980.0000000000	128
225.2187500000	n/a	response	n/a	57656.0000000000	4
227.5585937500	n/a	response	n/a	58255.0000000000	4
330.5664062500	n/a	stimulus	n/a	84625.0000000000	128
336.7031250000	n/a	response	n/a	86196.0000000000	4
339.2070312500	n/a	response	n/a	86837.0000000000	4
477.2187500000	n/a	stimulus	n/a	122168.0000000000	128
483.7031250000	n/a	response	n/a	123828.0000000000	4
485.9726562500	n/a	response	n/a	124409.0000000000	2
564.9804687500	n/a	stimulus	n/a	144635.0000000000	128
571.3398437500	n/a	response	n/a	146263.0000000000	2
574.9023437500	n/a	response	n/a	147175.0000000000	2
652.9101562500	n/a	stimulus	n/a	167145.0000000000	128
658.7187500000	n/a	response	n/a	168632.0000000000	4
661.8710937500	n/a	response	n/a	169439.0000000000	2
780.8789062500	n/a	stimulus	n/a	199905.0000000000	128
785.9726562500	n/a	response	n/a	201209.0000000000	4
789.2578125000	n/a	response	n/a	202050.0000000000	2
814.2539062500	n/a	stimulus	n/a	208449.0000000000	128
820.9843750000	n/a	response	n/a	210172.0000000000	4
823.8007812500	n/a	response	n/a	210893.0000000000	2
899.8046875000	n/a	stimulus	n/a	230350.0000000000	128
902.7070312500	n/a	response	n/a	231093.0000000000	2
905.2773437500	n/a	response	n/a	231751.0000000000	4
908.5585937500	n/a	response	n/a	232591.0000000000	2
1003.5585937500	n/a	stimulus	n/a	256911.0000000000	128
1006.3750000000	n/a	response	n/a	257632.0000000000	2
1008.5039062500	n/a	response	n/a	258177.0000000000	4
1010.7851562500	n/a	response	n/a	258761.0000000000	2
1142.7968750000	n/a	stimulus	n/a	292556.0000000000	128
1145.4101562500	n/a	response	n/a	293225.0000000000	2
1147.9414062500	n/a	response	n/a	293873.0000000000	2
1151.3710937500	n/a	response	n/a	294751.0000000000	2
1189.3710937500	n/a	stimulus	n/a	304479.0000000000	128
1194.6328125000	n/a	response	n/a	305826.0000000000	2
1197.7109375000	n/a	response	n/a	306614.0000000000	2
1281.6914062500	n/a	stimulus	n/a	328113.0000000000	128
1284.3320312500	n/a	response	n/a	328789.0000000000	2
1286.4960937500	n/a	response	n/a	329343.0000000000	2
1288.6953125000	n/a	response	n/a	329906.0000000000	2
1399.7031250000	n/a	stimulus	n/a	358324.0000000000	128
1404.6992187500	n/a	response	n/a	359603.0000000000	4
1406.9531250000	n/a	response	n/a	360180.0000000000	4
1464.9570312500	n/a	stimulus	n/a	375029.0000000000	128
1470.2695312500	n/a	response	n/a	376389.0000000000	4
1472.4960937500	n/a	response	n/a	376959.0000000000	4
1525.5000000000	n/a	stimulus	n/a	390528.0000000000	128
1531.0898437500	n/a	response	n/a	391959.0000000000	4
1533.2656250000	n/a	response	n/a	392516.0000000000	4
1600.2695312500	n/a	stimulus	n/a	409669.0000000000	128
1603.4453125000	n/a	response	n/a	410482.0000000000	2
1605.5976562500	n/a	response	n/a	411033.0000000000	4
1609.5703125000	n/a	response	n/a	412050.0000000000	4
1714.5781250000	n/a	stimulus	n/a	438932.0000000000	128
1717.2109375000	n/a	response	n/a	439606.0000000000	2
1719.5507812500	n/a	response	n/a	440205.0000000000	2
1721.7890625000	n/a	response	n/a	440778.0000000000	4
1805.7968750000	n/a	stimulus	n/a	462284.0000000000	128
1808.4726562500	n/a	response	n/a	462969.0000000000	2
1810.9921875000	n/a	response	n/a	463614.0000000000	2
1813.1835937500	n/a	response	n/a	464175.0000000000	4
1876.1875000000	n/a	stimulus	n/a	480304.0000000000	128
1881.2812500000	n/a	response	n/a	481608.0000000000	4
1883.5546875000	n/a	response	n/a	482190.0000000000	4
1924.5312500000	n/a	stimulus	n/a	492680.0000000000	128
1927.2187500000	n/a	response	n/a	493368.0000000000	2
1929.6289062500	n/a	response	n/a	493985.0000000000	2
1931.9570312500	n/a	response	n/a	494581.0000000000	4
1997.9609375000	n/a	stimulus	n/a	511478.0000000000	128
2002.2304687500	n/a	response	n/a	512571.0000000000	2
2004.7734375000	n/a	response	n/a	513222.0000000000	4
2007.1445312500	n/a	response	n/a	513829.0000000000	4
2058.1484375000	n/a	stimulus	n/a	526886.0000000000	128
2060.8515625000	n/a	response	n/a	527578.0000000000	2
2062.9726562500	n/a	response	n/a	528121.0000000000	4
2065.1757812500	n/a	response	n/a	528685.0000000000	4
2108.1796875000	n/a	stimulus	n/a	539694.0000000000	128
2110.8359375000	n/a	response	n/a	540374.0000000000	2
2113.0546875000	n/a	response	n/a	540942.0000000000	2
2115.2226562500	n/a	response	n/a	541497.0000000000	4
2233.2304687500	n/a	stimulus	n/a	571707.0000000000	128
2235.9179687500	n/a	response	n/a	572395.0000000000	2
2238.2226562500	n/a	response	n/a	572985.0000000000	2
2240.3906250000	n/a	response	n/a	573540.0000000000	4
2352.3984375000	n/a	stimulus	n/a	602214.0000000000	128
2355.4296875000	n/a	response	n/a	602990.0000000000	2
2357.5820312500	n/a	response	n/a	603541.0000000000	2
2359.7812500000	n/a	response	n/a	604104.0000000000	4
2405.7851562500	n/a	stimulus	n/a	615881.0000000000	128
2410.5390625000	n/a	response	n/a	617098.0000000000	4
2413.7812500000	n/a	response	n/a	617928.0000000000	4
2519.7851562500	n/a	stimulus	n/a	645065.0000000000	128
2522.6601562500	n/a	response	n/a	645801.0000000000	2
2525.0390625000	n/a	response	n/a	646410.0000000000	2
2527.2421875000	n/a	response	n/a	646974.0000000000	4
2658.2500000000	n/a	stimulus	n/a	680512.0000000000	128
2660.9062500000	n/a	response	n/a	681192.0000000000	2
2663.2812500000	n/a	response	n/a	681800.0000000000	2
2665.5351562500	n/a	response	n/a	682377.0000000000	4
