name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text
RO1	13.06511498	67.61359064	-51.92367238	n/a	R	n/a	12131	rh_G_rectus
RO2	16.53351479	67.25712793	-51.67850639	n/a	R	n/a	12131	rh_G_rectus
RO3	20.01423125	66.89895661	-51.42454997	n/a	R	n/a	12164	rh_S_orbital_med-olfact
RO4	23.48263106	66.5424939	-51.17938398	n/a	R	n/a	12164	rh_S_orbital_med-olfact
RO5	26.96334753	66.18432258	-50.92542757	n/a	R	n/a	41	Right_Cerebral_White_Matter
RO6	30.43174734	65.82785987	-50.68026158	n/a	R	n/a	12165	rh_S_orbital-H_Shaped
RO7	33.9124638	65.46968855	-50.42630516	n/a	R	n/a	12165	rh_S_orbital-H_Shaped
RO8	37.38136034	65.12252153	-50.18002836	n/a	R	n/a	12124	rh_G_orbital
RO9	40.86207681	64.76435021	-49.92607194	n/a	R	n/a	12165	rh_S_orbital-H_Shaped
RO10	44.33047662	64.4078875	-49.68090595	n/a	R	n/a	12124	rh_G_orbital
RO11	47.81119308	64.04971618	-49.42694954	n/a	R	n/a	12124	rh_G_orbital
RO12	51.27959289	63.69325347	-49.18178355	n/a	R	n/a	12124	rh_G_orbital
RO13	54.76030935	63.33508215	-48.92782713	n/a	R	n/a	12124	rh_G_orbital
RO14	58.22870917	62.97861944	-48.68266114	n/a	R	n/a	12124	rh_G_orbital
RA1	28.28415745	32.13752997	-65.68398961	n/a	R	IrritativeZone	54	Right_Amygdala
RA2	31.6051785	32.217357	-66.57114257	n/a	R	IrritativeZone	54	Right_Amygdala
RA3	34.91406912	32.28733769	-67.44959592	n/a	R	IrritativeZone	54	Right_Amygdala
RA4	38.23509017	32.36716473	-68.33674888	n/a	R	IrritativeZone	54	Right_Amygdala
RA5	41.54398079	32.43714541	-69.21520222	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RA6	44.86500184	32.51697245	-70.10235518	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA7	48.17389246	32.58695314	-70.98080853	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA8	51.49491352	32.66678018	-71.86796149	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA9	54.81593457	32.74660721	-72.75511445	n/a	R	n/a	12173	rh_S_temporal_inf
RA10	58.12482519	32.8165879	-73.6335678	n/a	R	EarlyPropagationZone	12138	rh_G_temporal_middle
RA11	61.44584624	32.89641494	-74.52072076	n/a	R	EarlyPropagationZone	12138	rh_G_temporal_middle
RA12	64.75473686	32.96639562	-75.39917411	n/a	R	EarlyPropagationZone	12138	rh_G_temporal_middle
RA13	68.07575791	33.04622266	-76.28632707	n/a	R	n/a	0	n/a
RB1	29.0743946	18.32838618	-70.98132833	n/a	R	IrritativeZone	12123	rh_G_oc-temp_med-Parahip
RB2	32.55308579	18.01595073	-71.10919959	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB3	36.04459036	17.71110236	-71.2271696	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB4	39.52328155	17.39866691	-71.35504085	n/a	R	IrritativeZone	12123	rh_G_oc-temp_med-Parahip
RB5	43.01444465	17.09494817	-71.4823113	n/a	R	IrritativeZone	12162	rh_S_oc-temp_med&Lingual
RB6	46.49347731	16.78138309	-71.60088212	n/a	R	IrritativeZone	12162	rh_S_oc-temp_med&Lingual
